seqname	gene_id	transcript_id	region	length	selection_reason	short_utrs
ENSBTAG00000020035_ENSBTAT00000037243_mRNA	ENSBTAG00000020035	ENSBTAT00000037243	mRNA	2417	Ensembl_canonical	false
ENSBTAG00000020035_ENSBTAT00000037243_CDS	ENSBTAG00000020035	ENSBTAT00000037243	CDS	594	Ensembl_canonical	false
ENSBTAG00000020035_ENSBTAT00000037243_5UTR	ENSBTAG00000020035	ENSBTAT00000037243	5UTR	222	Ensembl_canonical	false
ENSBTAG00000020035_ENSBTAT00000037243_3UTR	ENSBTAG00000020035	ENSBTAT00000037243	3UTR	1601	Ensembl_canonical	false
ENSBTAG00000020035_ENSBTAT00000037243_start_codon_region	ENSBTAG00000020035	ENSBTAT00000037243	start_codon_region	63	Ensembl_canonical	false
ENSBTAG00000020035_ENSBTAT00000037243_stop_codon_region	ENSBTAG00000020035	ENSBTAT00000037243	stop_codon_region	63	Ensembl_canonical	false
ENSBTAG00000020035_ENSBTAT00000037243_tail_region	ENSBTAG00000020035	ENSBTAT00000037243	tail_region	100	Ensembl_canonical	false
ENSBTAG00000020035_ENSBTAT00000037243_UTR_pair	ENSBTAG00000020035	ENSBTAT00000037243	UTR_pair	1830	Ensembl_canonical	false
ENSBTAG00000018278_ENSBTAT00000073708_mRNA	ENSBTAG00000018278	ENSBTAT00000073708	mRNA	2044	Ensembl_canonical	false
ENSBTAG00000018278_ENSBTAT00000073708_CDS	ENSBTAG00000018278	ENSBTAT00000073708	CDS	642	Ensembl_canonical	false
ENSBTAG00000018278_ENSBTAT00000073708_5UTR	ENSBTAG00000018278	ENSBTAT00000073708	5UTR	1337	Ensembl_canonical	false
ENSBTAG00000018278_ENSBTAT00000073708_3UTR	ENSBTAG00000018278	ENSBTAT00000073708	3UTR	65	Ensembl_canonical	false
ENSBTAG00000018278_ENSBTAT00000073708_start_codon_region	ENSBTAG00000018278	ENSBTAT00000073708	start_codon_region	63	Ensembl_canonical	false
ENSBTAG00000018278_ENSBTAT00000073708_stop_codon_region	ENSBTAG00000018278	ENSBTAT00000073708	stop_codon_region	63	Ensembl_canonical	false
ENSBTAG00000018278_ENSBTAT00000073708_tail_region	ENSBTAG00000018278	ENSBTAT00000073708	tail_region	100	Ensembl_canonical	false
ENSBTAG00000018278_ENSBTAT00000073708_UTR_pair	ENSBTAG00000018278	ENSBTAT00000073708	UTR_pair	1409	Ensembl_canonical	false
ENSBTAG00000035175_ENSBTAT00000049667_mRNA	ENSBTAG00000035175	ENSBTAT00000049667	mRNA	2724	Ensembl_canonical	false
ENSBTAG00000035175_ENSBTAT00000049667_CDS	ENSBTAG00000035175	ENSBTAT00000049667	CDS	1863	Ensembl_canonical	false
ENSBTAG00000035175_ENSBTAT00000049667_5UTR	ENSBTAG00000035175	ENSBTAT00000049667	5UTR	199	Ensembl_canonical	false
ENSBTAG00000035175_ENSBTAT00000049667_3UTR	ENSBTAG00000035175	ENSBTAT00000049667	3UTR	662	Ensembl_canonical	false
ENSBTAG00000035175_ENSBTAT00000049667_start_codon_region	ENSBTAG00000035175	ENSBTAT00000049667	start_codon_region	63	Ensembl_canonical	false
ENSBTAG00000035175_ENSBTAT00000049667_stop_codon_region	ENSBTAG00000035175	ENSBTAT00000049667	stop_codon_region	63	Ensembl_canonical	false
ENSBTAG00000035175_ENSBTAT00000049667_tail_region	ENSBTAG00000035175	ENSBTAT00000049667	tail_region	100	Ensembl_canonical	false
ENSBTAG00000035175_ENSBTAT00000049667_UTR_pair	ENSBTAG00000035175	ENSBTAT00000049667	UTR_pair	868	Ensembl_canonical	false
ENSBTAG00000008482_ENSBTAT00000011175_mRNA	ENSBTAG00000008482	ENSBTAT00000011175	mRNA	8469	Ensembl_canonical	false
ENSBTAG00000008482_ENSBTAT00000011175_CDS	ENSBTAG00000008482	ENSBTAT00000011175	CDS	7269	Ensembl_canonical	false
ENSBTAG00000008482_ENSBTAT00000011175_5UTR	ENSBTAG00000008482	ENSBTAT00000011175	5UTR	199	Ensembl_canonical	false
ENSBTAG00000008482_ENSBTAT00000011175_3UTR	ENSBTAG00000008482	ENSBTAT00000011175	3UTR	1001	Ensembl_canonical	false
ENSBTAG00000008482_ENSBTAT00000011175_start_codon_region	ENSBTAG00000008482	ENSBTAT00000011175	start_codon_region	63	Ensembl_canonical	false
ENSBTAG00000008482_ENSBTAT00000011175_stop_codon_region	ENSBTAG00000008482	ENSBTAT00000011175	stop_codon_region	63	Ensembl_canonical	false
ENSBTAG00000008482_ENSBTAT00000011175_tail_region	ENSBTAG00000008482	ENSBTAT00000011175	tail_region	100	Ensembl_canonical	false
ENSBTAG00000008482_ENSBTAT00000011175_UTR_pair	ENSBTAG00000008482	ENSBTAT00000011175	UTR_pair	1207	Ensembl_canonical	false
ENSBTAG00000009188_ENSBTAT00000116578_mRNA	ENSBTAG00000009188	ENSBTAT00000116578	mRNA	3797	Ensembl_canonical	false
ENSBTAG00000009188_ENSBTAT00000116578_CDS	ENSBTAG00000009188	ENSBTAT00000116578	CDS	3084	Ensembl_canonical	false
ENSBTAG00000009188_ENSBTAT00000116578_5UTR	ENSBTAG00000009188	ENSBTAT00000116578	5UTR	122	Ensembl_canonical	false
ENSBTAG00000009188_ENSBTAT00000116578_3UTR	ENSBTAG00000009188	ENSBTAT00000116578	3UTR	591	Ensembl_canonical	false
ENSBTAG00000009188_ENSBTAT00000116578_start_codon_region	ENSBTAG00000009188	ENSBTAT00000116578	start_codon_region	63	Ensembl_canonical	false
ENSBTAG00000009188_ENSBTAT00000116578_stop_codon_region	ENSBTAG00000009188	ENSBTAT00000116578	stop_codon_region	63	Ensembl_canonical	false
ENSBTAG00000009188_ENSBTAT00000116578_tail_region	ENSBTAG00000009188	ENSBTAT00000116578	tail_region	100	Ensembl_canonical	false
ENSBTAG00000009188_ENSBTAT00000116578_UTR_pair	ENSBTAG00000009188	ENSBTAT00000116578	UTR_pair	720	Ensembl_canonical	false
