jobid	jobname	maxrss	maxvmsize	elapsed	state
5604040_0.batch	batch	6703764K	7865880K	00:15:26	COMPLETED
5604040_0.extern	extern	100K	100K	00:15:26	COMPLETED
5604040_1.batch	batch	6124820K	7342944K	00:14:58	COMPLETED
5604040_1.extern	extern	0	0	00:14:58	COMPLETED
5604040_2.batch	batch	6232992K	7456644K	00:14:55	COMPLETED
5604040_2.extern	extern	0	0	00:14:55	COMPLETED
5604040_3.batch	batch	6704944K	7853028K	00:15:24	COMPLETED
5604040_3.extern	extern	0	0	00:15:24	COMPLETED
5604040_4.batch	batch	6301648K	7525276K	00:14:55	COMPLETED
5604040_4.extern	extern	0	0	00:14:55	COMPLETED
5604040_5.batch	batch	6701516K	7861112K	00:15:25	COMPLETED
5604040_5.extern	extern	0	0	00:15:25	COMPLETED
5604040_6.batch	batch	6124448K	7340768K	00:14:56	COMPLETED
5604040_6.extern	extern	0	0	00:14:56	COMPLETED
5604040_7.batch	batch	6703952K	7860448K	00:15:26	COMPLETED
5604040_7.extern	extern	0	0	00:15:26	COMPLETED
5604040_8.batch	batch	6328504K	7541184K	00:14:52	COMPLETED
5604040_8.extern	extern	0	0	00:14:52	COMPLETED
5604040_9.batch	batch	6700204K	7848388K	00:15:29	COMPLETED
5604040_9.extern	extern	0	0	00:15:29	COMPLETED
