Gene_ID,Transcript_ID,Selection_Reason,Total_Length,CDS_Length,5UTR_Length,3UTR_Length,UTR_pair_Length,Status
ENSMUSG00000033845,ENSMUST00000156816.7,appris_principal_1,4203,888,62,3253,3322,Success
ENSMUSG00000025903,ENSMUST00000027036.11,appris_principal_1,2507,693,91,1723,1821,Success
ENSMUSG00000033813,ENSMUST00000081551.14,appris_principal_1,2547,906,100,1541,1648,Success
ENSMUSG00000002459,ENSMUST00000118000.8,Ensembl_canonical,2125,1119,108,898,1013,Success
ENSMUSG00000033793,ENSMUST00000192698.3,appris_principal_1,1811,1398,159,254,420,Success
ENSMUSG00000025907,ENSMUST00000027040.13,appris_principal_1,7607,4767,467,2373,2847,Success
ENSMUSG00000051285,ENSMUST00000061280.17,appris_principal_1,5232,1074,412,3746,4165,Success
ENSMUSG00000025912,ENSMUST00000088658.11,Ensembl_canonical,4980,2256,255,2469,2731,Success
ENSMUSG00000045210,ENSMUST00000057438.7,appris_principal_1,9749,3663,226,5860,6093,Success
ENSMUSG00000056763,ENSMUST00000071087.12,appris_principal_3,4355,3594,138,623,768,Success
ENSMUSG00000067851,ENSMUST00000088615.11,appris_principal_1,6978,5541,176,1261,1444,Success
ENSMUSG00000016918,ENSMUST00000177608.8,appris_principal_1,5598,2613,635,2350,2992,Success
ENSMUSG00000005886,ENSMUST00000006037.13,Ensembl_canonical,4897,4389,222,286,515,Success
ENSMUSG00000025935,ENSMUST00000027068.11,appris_principal_1,2938,1125,188,1625,1820,Success
ENSMUSG00000025937,ENSMUST00000027071.7,appris_principal_1,4494,867,96,3531,3634,Success
ENSMUSG00000025932,ENSMUST00000027066.13,Ensembl_canonical,4347,1776,609,1962,2578,Success
ENSMUSG00000025921,ENSMUST00000027053.8,appris_principal_1,3587,1026,244,2317,2568,Success
ENSMUSG00000025920,ENSMUST00000162751.8,appris_principal_1,3030,1713,218,1099,1324,Success
ENSMUSG00000079658,ENSMUST00000188641.7,appris_principal_1,2014,339,112,1563,1682,Success
ENSMUSG00000041859,ENSMUST00000053266.11,appris_principal_1,3031,2439,104,488,599,Success
ENSMUSG00000025931,ENSMUST00000189400.7,appris_principal_1,5330,1065,303,3962,4272,Success
ENSMUSG00000041779,ENSMUST00000037998.6,appris_principal_1,6492,1113,116,5263,5386,Success
ENSMUSG00000025933,ENSMUST00000027065.12,appris_principal_1,1168,300,331,537,875,Success
ENSMUSG00000026158,ENSMUST00000027343.6,appris_principal_1,4844,1395,124,3325,3456,Success
ENSMUSG00000026155,ENSMUST00000027339.14,appris_principal_1,2289,1323,162,804,973,Success
ENSMUSG00000026153,ENSMUST00000187369.7,appris_principal_2,4976,3933,342,701,1050,Success
ENSMUSG00000073725,ENSMUST00000095062.10,appris_principal_2,5228,1404,259,3565,3831,Success
ENSMUSG00000004768,ENSMUST00000088287.10,appris_principal_1,4322,714,436,3172,3615,Success
ENSMUSG00000042215,ENSMUST00000044691.9,appris_principal_1,1860,633,104,1123,1234,Success
ENSMUSG00000042197,ENSMUST00000044455.8,appris_principal_1,11876,1680,212,9984,10203,Success
ENSMUSG00000026127,ENSMUST00000027303.14,appris_principal_1,5836,876,74,4886,4967,Success
ENSMUSG00000037503,ENSMUST00000167518.8,Ensembl_canonical,5058,621,234,4203,4444,Success
ENSMUSG00000026123,ENSMUST00000027297.11,appris_principal_1,3279,666,80,2533,2620,Success
ENSMUSG00000045216,ENSMUST00000088174.4,appris_principal_1,3719,1236,258,2225,2490,Success
ENSMUSG00000037470,ENSMUST00000046875.14,appris_principal_1,9033,4656,178,4199,4384,Success
