seqname	len_5utr	linker_len	len_3utr
ENSMUSG00000033845_ENSMUST00000156816.7_UTR_pair	62	7	3253
ENSMUSG00000025903_ENSMUST00000027036.11_UTR_pair	91	7	1723
ENSMUSG00000033813_ENSMUST00000081551.14_UTR_pair	100	7	1541
ENSMUSG00000002459_ENSMUST00000118000.8_UTR_pair	108	7	898
ENSMUSG00000033793_ENSMUST00000192698.3_UTR_pair	159	7	254
ENSMUSG00000025907_ENSMUST00000027040.13_UTR_pair	467	7	2373
ENSMUSG00000051285_ENSMUST00000061280.17_UTR_pair	412	7	3746
ENSMUSG00000025912_ENSMUST00000088658.11_UTR_pair	255	7	2469
ENSMUSG00000045210_ENSMUST00000057438.7_UTR_pair	226	7	5860
ENSMUSG00000056763_ENSMUST00000071087.12_UTR_pair	138	7	623
ENSMUSG00000067851_ENSMUST00000088615.11_UTR_pair	176	7	1261
ENSMUSG00000016918_ENSMUST00000177608.8_UTR_pair	635	7	2350
ENSMUSG00000005886_ENSMUST00000006037.13_UTR_pair	222	7	286
ENSMUSG00000025935_ENSMUST00000027068.11_UTR_pair	188	7	1625
ENSMUSG00000025937_ENSMUST00000027071.7_UTR_pair	96	7	3531
ENSMUSG00000025932_ENSMUST00000027066.13_UTR_pair	609	7	1962
ENSMUSG00000025921_ENSMUST00000027053.8_UTR_pair	244	7	2317
ENSMUSG00000025920_ENSMUST00000162751.8_UTR_pair	218	7	1099
ENSMUSG00000079658_ENSMUST00000188641.7_UTR_pair	112	7	1563
ENSMUSG00000041859_ENSMUST00000053266.11_UTR_pair	104	7	488
ENSMUSG00000025931_ENSMUST00000189400.7_UTR_pair	303	7	3962
ENSMUSG00000041779_ENSMUST00000037998.6_UTR_pair	116	7	5263
ENSMUSG00000025933_ENSMUST00000027065.12_UTR_pair	331	7	537
ENSMUSG00000026158_ENSMUST00000027343.6_UTR_pair	124	7	3325
ENSMUSG00000026155_ENSMUST00000027339.14_UTR_pair	162	7	804
ENSMUSG00000026153_ENSMUST00000187369.7_UTR_pair	342	7	701
ENSMUSG00000073725_ENSMUST00000095062.10_UTR_pair	259	7	3565
ENSMUSG00000004768_ENSMUST00000088287.10_UTR_pair	436	7	3172
ENSMUSG00000042215_ENSMUST00000044691.9_UTR_pair	104	7	1123
ENSMUSG00000042197_ENSMUST00000044455.8_UTR_pair	212	7	9984
ENSMUSG00000026127_ENSMUST00000027303.14_UTR_pair	74	7	4886
ENSMUSG00000037503_ENSMUST00000167518.8_UTR_pair	234	7	4203
ENSMUSG00000026123_ENSMUST00000027297.11_UTR_pair	80	7	2533
ENSMUSG00000045216_ENSMUST00000088174.4_UTR_pair	258	7	2225
ENSMUSG00000037470_ENSMUST00000046875.14_UTR_pair	178	7	4199
ENSMUSG00000037447_ENSMUST00000115032.8_UTR_pair	79	7	2788
ENSMUSG00000001143_ENSMUST00000125304.8_UTR_pair	38	7	2296
ENSMUSG00000037408_ENSMUST00000153128.2_UTR_pair	73	7	2158
ENSMUSG00000026121_ENSMUST00000191677.6_UTR_pair	374	7	900
ENSMUSG00000037351_ENSMUST00000043951.10_UTR_pair	155	7	1962
ENSMUSG00000026116_ENSMUST00000027290.12_UTR_pair	182	7	730
ENSMUSG00000026113_ENSMUST00000027287.11_UTR_pair	394	7	2477
ENSMUSG00000026112_ENSMUST00000027286.7_UTR_pair	136	7	3502
ENSMUSG00000026111_ENSMUST00000114925.10_UTR_pair	148	7	166
ENSMUSG00000026110_ENSMUST00000042161.15_UTR_pair	103	7	5319
ENSMUSG00000026088_ENSMUST00000139725.8_UTR_pair	97	7	328
ENSMUSG00000026083_ENSMUST00000027252.8_UTR_pair	280	7	3866
ENSMUSG00000026082_ENSMUST00000027251.12_UTR_pair	211	7	301
ENSMUSG00000037138_ENSMUST00000238906.2_UTR_pair	60	7	2123
ENSMUSG00000026080_ENSMUST00000027249.13_UTR_pair	273	7	1631
ENSMUSG00000073702_ENSMUST00000086535.12_UTR_pair	93	7	578
ENSMUSG00000003135_ENSMUST00000161515.8_UTR_pair	341	7	1623
ENSMUSG00000026072_ENSMUST00000027241.11_UTR_pair	224	7	3864
ENSMUSG00000041945_ENSMUST00000039672.6_UTR_pair	44	7	1715
ENSMUSG00000070939_ENSMUST00000095014.8_UTR_pair	565	7	2459
ENSMUSG00000010290_ENSMUST00000010434.8_UTR_pair	54	7	2705
ENSMUSG00000008136_ENSMUST00000008280.14_UTR_pair	283	7	440
ENSMUSG00000066877_ENSMUST00000086421.9_UTR_pair	456	7	1173
ENSMUSG00000057363_ENSMUST00000126008.8_UTR_pair	92	7	3265
ENSMUSG00000041763_ENSMUST00000188313.7_UTR_pair	74	7	807
ENSMUSG00000026049_ENSMUST00000027215.12_UTR_pair	317	7	277
ENSMUSG00000026047_ENSMUST00000065767.9_UTR_pair	309	7	541
ENSMUSG00000056870_ENSMUST00000074525.10_UTR_pair	406	7	1817
ENSMUSG00000026043_ENSMUST00000087883.13_UTR_pair	210	7	959
ENSMUSG00000026042_ENSMUST00000086430.5_UTR_pair	368	7	1763
ENSMUSG00000025993_ENSMUST00000027137.11_UTR_pair	319	7	1338
ENSMUSG00000025986_ENSMUST00000027131.6_UTR_pair	587	7	2409
ENSMUSG00000026107_ENSMUST00000027279.12_UTR_pair	484	7	1757
ENSMUSG00000018417_ENSMUST00000018561.14_UTR_pair	177	7	1179
ENSMUSG00000026104_ENSMUST00000070968.14_UTR_pair	333	7	2568
