jobid	jobname	maxrss	maxvmsize	elapsed	state
5708185_0.batch	batch	6048724K	7877456K	00:13:32	COMPLETED
5708185_0.extern	extern	0	0	00:13:32	COMPLETED
5708185_1.batch	batch	6046768K	7909824K	00:13:36	COMPLETED
5708185_1.extern	extern	0	0	00:13:36	COMPLETED
5708185_2.batch	batch	6053148K	7917000K	00:13:30	COMPLETED
5708185_2.extern	extern	68K	68K	00:13:30	COMPLETED
5708185_3.batch	batch	6048220K	7877856K	00:13:30	COMPLETED
5708185_3.extern	extern	68K	68K	00:13:30	COMPLETED
5708185_4.batch	batch	6050608K	7909472K	00:13:30	COMPLETED
5708185_4.extern	extern	68K	68K	00:13:30	COMPLETED
5708185_5.batch	batch	6049972K	7913948K	00:13:29	COMPLETED
5708185_5.extern	extern	64K	64K	00:13:29	COMPLETED
5708185_6.batch	batch	6050528K	7879604K	00:13:33	COMPLETED
5708185_6.extern	extern	56K	56K	00:13:33	COMPLETED
5708185_7.batch	batch	6050172K	7879832K	00:13:31	COMPLETED
5708185_7.extern	extern	68K	68K	00:13:31	COMPLETED
5708185_8.batch	batch	6046076K	7779372K	00:13:41	COMPLETED
5708185_8.extern	extern	60K	60K	00:13:41	COMPLETED
5708185_9.batch	batch	6051564K	8917316K	00:13:38	COMPLETED
5708185_9.extern	extern	24K	24K	00:13:38	COMPLETED
