jobid	jobname	maxrss	maxvmsize	elapsed	state
5472125_0.batch	batch	6044384K	7906772K	00:13:29	COMPLETED
5472125_0.extern	extern	28K	28K	00:13:29	COMPLETED
5472125_1.batch	batch	6049600K	7890800K	00:13:46	COMPLETED
5472125_1.extern	extern	104K	104K	00:13:46	COMPLETED
5472125_2.batch	batch	6050288K	7914132K	00:13:30	COMPLETED
5472125_2.extern	extern	60K	60K	00:13:30	COMPLETED
5472125_3.batch	batch	6048484K	7888656K	00:13:46	COMPLETED
5472125_3.extern	extern	100K	100K	00:13:46	COMPLETED
5472125_4.batch	batch	6049644K	7907764K	00:13:29	COMPLETED
5472125_4.extern	extern	28K	28K	00:13:29	COMPLETED
5472125_5.batch	batch	6046716K	7887244K	00:13:46	COMPLETED
5472125_5.extern	extern	104K	104K	00:13:46	COMPLETED
5472125_6.batch	batch	6049304K	7911460K	00:13:30	COMPLETED
5472125_6.extern	extern	24K	24K	00:13:30	COMPLETED
5472125_7.batch	batch	6053796K	7894060K	00:13:44	COMPLETED
5472125_7.extern	extern	92K	92K	00:13:44	COMPLETED
5472125_8.batch	batch	6048708K	7910388K	00:13:29	COMPLETED
5472125_8.extern	extern	40K	40K	00:13:29	COMPLETED
5472125_9.batch	batch	6051780K	7892908K	00:13:45	COMPLETED
5472125_9.extern	extern	104K	104K	00:13:45	COMPLETED
