jobid	jobname	maxrss	maxvmsize	elapsed	state
5706676_0.batch	batch	7628364K	8857436K	00:16:24	COMPLETED
5706676_0.extern	extern	0	0	00:16:24	COMPLETED
5706676_1.batch	batch	6049848K	7912996K	00:13:32	COMPLETED
5706676_1.extern	extern	60K	60K	00:13:32	COMPLETED
5706676_2.batch	batch	6047276K	7877020K	00:13:37	COMPLETED
5706676_2.extern	extern	40K	40K	00:13:37	COMPLETED
5706676_3.batch	batch	7760528K	8986564K	00:16:24	COMPLETED
5706676_3.extern	extern	0	0	00:16:24	COMPLETED
5706676_4.batch	batch	6048540K	7878180K	00:13:32	COMPLETED
5706676_4.extern	extern	56K	56K	00:13:32	COMPLETED
5706676_5.batch	batch	6049728K	7879572K	00:13:33	COMPLETED
5706676_5.extern	extern	68K	68K	00:13:33	COMPLETED
5706676_6.batch	batch	7627332K	8862348K	00:16:23	COMPLETED
5706676_6.extern	extern	0	0	00:16:23	COMPLETED
5706676_7.batch	batch	6051984K	7912484K	00:13:30	COMPLETED
5706676_7.extern	extern	64K	64K	00:13:30	COMPLETED
5706676_8.batch	batch	7624708K	8858552K	00:16:24	COMPLETED
5706676_8.extern	extern	0	0	00:16:24	COMPLETED
5706676_9.batch	batch	6048712K	7878156K	00:13:31	COMPLETED
5706676_9.extern	extern	60K	60K	00:13:32	COMPLETED
