jobid	jobname	maxrss	maxvmsize	elapsed	state
5508413_0.batch	batch	6051648K	7913352K	00:13:30	COMPLETED
5508413_0.extern	extern	0	0	00:13:30	COMPLETED
5508413_1.batch	batch	6049092K	7912244K	00:13:35	COMPLETED
5508413_1.extern	extern	12K	12K	00:13:35	COMPLETED
5508413_2.batch	batch	6047808K	7877692K	00:13:32	COMPLETED
5508413_2.extern	extern	44K	44K	00:13:32	COMPLETED
5508413_3.batch	batch	6048212K	7912084K	00:13:28	COMPLETED
5508413_3.extern	extern	44K	44K	00:13:28	COMPLETED
5508413_4.batch	batch	6049952K	7879644K	00:13:30	COMPLETED
5508413_4.extern	extern	56K	56K	00:13:30	COMPLETED
5508413_5.batch	batch	6051484K	7915456K	00:13:30	COMPLETED
5508413_5.extern	extern	56K	56K	00:13:30	COMPLETED
5508413_6.batch	batch	6046556K	7773160K	00:13:34	COMPLETED
5508413_6.extern	extern	100K	100K	00:13:34	COMPLETED
5508413_7.batch	batch	6048880K	7912732K	00:13:31	COMPLETED
5508413_7.extern	extern	36K	36K	00:13:31	COMPLETED
5508413_8.batch	batch	6050048K	7844776K	00:13:35	COMPLETED
5508413_8.extern	extern	100K	100K	00:13:35	COMPLETED
5508413_9.batch	batch	6048976K	7878632K	00:13:30	COMPLETED
5508413_9.extern	extern	24K	24K	00:13:30	COMPLETED
