jobid	jobname	maxrss	maxvmsize	elapsed	state
5507456_0.batch	batch	6048812K	7878572K	00:13:37	COMPLETED
5507456_0.extern	extern	12K	12K	00:13:37	COMPLETED
5507456_1.batch	batch	6046544K	7876132K	00:13:37	COMPLETED
5507456_1.extern	extern	24K	24K	00:13:37	COMPLETED
5507456_2.batch	batch	6048708K	7878324K	00:13:36	COMPLETED
5507456_2.extern	extern	0	0	00:13:36	COMPLETED
5507456_3.batch	batch	6045716K	7875392K	00:13:37	COMPLETED
5507456_3.extern	extern	0	0	00:13:37	COMPLETED
5507456_4.batch	batch	6051372K	7915244K	00:13:30	COMPLETED
5507456_4.extern	extern	24K	24K	00:13:30	COMPLETED
5507456_5.batch	batch	6048284K	7878020K	00:13:30	COMPLETED
5507456_5.extern	extern	28K	28K	00:13:30	COMPLETED
5507456_6.batch	batch	6050884K	7914788K	00:13:34	COMPLETED
5507456_6.extern	extern	0	0	00:13:34	COMPLETED
5507456_7.batch	batch	6051616K	7881264K	00:13:31	COMPLETED
5507456_7.extern	extern	0	0	00:13:31	COMPLETED
5507456_8.batch	batch	6049008K	7878600K	00:13:32	COMPLETED
5507456_8.extern	extern	36K	36K	00:13:32	COMPLETED
5507456_9.batch	batch	6049336K	7913208K	00:13:29	COMPLETED
5507456_9.extern	extern	64K	64K	00:13:29	COMPLETED
