jobid	jobname	maxrss	maxvmsize	elapsed	state
5644773_0.batch	batch	6698432K	7857976K	00:15:25	COMPLETED
5644773_0.extern	extern	0	0	00:15:25	COMPLETED
5644773_1.batch	batch	6700652K	7860272K	00:15:27	COMPLETED
5644773_1.extern	extern	0	0	00:15:27	COMPLETED
5644773_2.batch	batch	6701612K	7861172K	00:15:28	COMPLETED
5644773_2.extern	extern	4K	4K	00:15:28	COMPLETED
5644773_3.batch	batch	6701560K	7861296K	00:15:25	COMPLETED
5644773_3.extern	extern	0	0	00:15:25	COMPLETED
5644773_4.batch	batch	6702568K	7862116K	00:15:26	COMPLETED
5644773_4.extern	extern	0	0	00:15:26	COMPLETED
5644773_5.batch	batch	6699204K	7858824K	00:15:27	COMPLETED
5644773_5.extern	extern	4K	4K	00:15:27	COMPLETED
5644773_6.batch	batch	6702984K	7862684K	00:15:25	COMPLETED
5644773_6.extern	extern	0	0	00:15:25	COMPLETED
5644773_7.batch	batch	6701784K	7861424K	00:15:26	COMPLETED
5644773_7.extern	extern	0	0	00:15:26	COMPLETED
5644773_8.batch	batch	6703864K	7863408K	00:15:26	COMPLETED
5644773_8.extern	extern	0	0	00:15:26	COMPLETED
5644773_9.batch	batch	6697476K	7857044K	00:15:26	COMPLETED
5644773_9.extern	extern	0	0	00:15:26	COMPLETED
