jobid	jobname	maxrss	maxvmsize	elapsed	state
5470852_0.batch	batch	6049124K	7912976K	00:13:31	COMPLETED
5470852_0.extern	extern	0	0	00:13:31	COMPLETED
5470852_1.batch	batch	6052040K	7915928K	00:13:31	COMPLETED
5470852_1.extern	extern	0	0	00:13:31	COMPLETED
5470852_2.batch	batch	6050208K	7914020K	00:13:30	COMPLETED
5470852_2.extern	extern	28K	28K	00:13:30	COMPLETED
5470852_3.batch	batch	6050632K	7914616K	00:13:29	COMPLETED
5470852_3.extern	extern	56K	56K	00:13:29	COMPLETED
5470852_4.batch	batch	6049164K	7892892K	00:13:47	COMPLETED
5470852_4.extern	extern	100K	100K	00:13:47	COMPLETED
5470852_5.batch	batch	5908M	7910960K	00:13:29	COMPLETED
5470852_5.extern	extern	24K	24K	00:13:29	COMPLETED
5470852_6.batch	batch	6049632K	7913068K	00:13:30	COMPLETED
5470852_6.extern	extern	44K	44K	00:13:30	COMPLETED
5470852_7.batch	batch	6046500K	7885724K	00:13:44	COMPLETED
5470852_7.extern	extern	64K	64K	00:13:44	COMPLETED
5470852_8.batch	batch	6048260K	7877864K	00:13:31	COMPLETED
5470852_8.extern	extern	4K	4K	00:13:31	COMPLETED
5470852_9.batch	batch	6047064K	7884632K	00:13:46	COMPLETED
5470852_9.extern	extern	100K	100K	00:13:46	COMPLETED
