jobid	jobname	maxrss	maxvmsize	elapsed	state
5570533_0.batch	batch	6048520K	7911272K	00:13:35	COMPLETED
5570533_0.extern	extern	0	0	00:13:35	COMPLETED
5570533_1.batch	batch	6052572K	7884804K	00:13:33	COMPLETED
5570533_1.extern	extern	0	0	00:13:33	COMPLETED
5570533_2.batch	batch	6054308K	7849756K	00:13:33	COMPLETED
5570533_2.extern	extern	40K	40K	00:13:33	COMPLETED
5570533_3.batch	batch	6049556K	7879244K	00:13:31	COMPLETED
5570533_3.extern	extern	64K	64K	00:13:31	COMPLETED
5570533_4.batch	batch	6054716K	7887156K	00:13:34	COMPLETED
5570533_4.extern	extern	28K	28K	00:13:34	COMPLETED
5570533_5.batch	batch	6047160K	7911244K	00:13:37	COMPLETED
5570533_5.extern	extern	28K	28K	00:13:37	COMPLETED
5570533_6.batch	batch	6050400K	7879604K	00:13:32	COMPLETED
5570533_6.extern	extern	64K	64K	00:13:32	COMPLETED
5570533_7.batch	batch	6050456K	7880236K	00:13:30	COMPLETED
5570533_7.extern	extern	56K	56K	00:13:30	COMPLETED
5570533_8.batch	batch	6051720K	7776348K	00:13:35	COMPLETED
5570533_8.extern	extern	56K	56K	00:13:35	COMPLETED
5570533_9.batch	batch	6050004K	7913864K	00:13:30	COMPLETED
5570533_9.extern	extern	60K	60K	00:13:30	COMPLETED
