jobid	jobname	maxrss	maxvmsize	elapsed	state
5587886_0.batch	batch	6704216K	7854892K	00:15:29	COMPLETED
5587886_0.extern	extern	0	0	00:15:29	COMPLETED
5587886_1.batch	batch	6702156K	7858352K	00:15:28	COMPLETED
5587886_1.extern	extern	0	0	00:15:28	COMPLETED
5587886_2.batch	batch	6703476K	7851584K	00:15:29	COMPLETED
5587886_2.extern	extern	0	0	00:15:29	COMPLETED
5587886_3.batch	batch	6699636K	7855816K	00:15:27	COMPLETED
5587886_3.extern	extern	4K	4K	00:15:27	COMPLETED
5587886_4.batch	batch	6704904K	7864460K	00:15:32	COMPLETED
5587886_4.extern	extern	28K	28K	00:15:32	COMPLETED
5587886_5.batch	batch	6704248K	7852340K	00:15:27	COMPLETED
5587886_5.extern	extern	96K	96K	00:15:27	COMPLETED
5587886_6.batch	batch	6705532K	7853704K	00:15:29	COMPLETED
5587886_6.extern	extern	64K	64K	00:15:29	COMPLETED
5587886_7.batch	batch	6703908K	7863460K	00:15:26	COMPLETED
5587886_7.extern	extern	0	0	00:15:26	COMPLETED
5587886_8.batch	batch	6702492K	7852412K	00:15:28	COMPLETED
5587886_8.extern	extern	0	0	00:15:28	COMPLETED
5587886_9.batch	batch	6705516K	7860692K	00:15:26	COMPLETED
5587886_9.extern	extern	0	0	00:15:26	COMPLETED
