seqname	len_5utr	linker_len	len_3utr
ENSG00000187961_ENST00000338591.8_UTR_pair	110	7	528
ENSG00000188290_ENST00000304952.11_UTR_pair	124	7	95
ENSG00000187608_ENST00000649529.1_UTR_pair	77	7	62
ENSG00000188157_ENST00000379370.7_UTR_pair	53	7	1135
ENSG00000176022_ENST00000379198.5_UTR_pair	42	7	1773
ENSG00000160087_ENST00000349431.11_UTR_pair	189	7	1291
ENSG00000131584_ENST00000354700.10_UTR_pair	115	7	1173
ENSG00000224051_ENST00000343938.9_UTR_pair	376	7	1133
ENSG00000107404_ENST00000378888.10_UTR_pair	353	7	864
ENSG00000162576_ENST00000309212.11_UTR_pair	51	7	913
ENSG00000221978_ENST00000400809.8_UTR_pair	29	7	1520
ENSG00000179403_ENST00000476993.2_UTR_pair	59	7	3095
ENSG00000197785_ENST00000378756.8_UTR_pair	107	7	613
ENSG00000248333_ENST00000341832.11_UTR_pair	104	7	539
ENSG00000189339_ENST00000617444.5_UTR_pair	912	7	4304
ENSG00000008130_ENST00000341426.9_UTR_pair	222	7	1672
ENSG00000078369_ENST00000378609.9_UTR_pair	363	7	1777
ENSG00000067606_ENST00000378567.8_UTR_pair	220	7	386
ENSG00000157933_ENST00000378536.5_UTR_pair	448	7	3448
ENSG00000116151_ENST00000378531.8_UTR_pair	21	7	130
ENSG00000157916_ENST00000605895.6_UTR_pair	125	7	2312
ENSG00000157911_ENST00000447513.7_UTR_pair	62	7	1792
ENSG00000130762_ENST00000378378.9_UTR_pair	166	7	526
ENSG00000116213_ENST00000270708.12_UTR_pair	104	7	205
ENSG00000116198_ENST00000378230.8_UTR_pair	337	7	3316
ENSG00000069424_ENST00000378083.8_UTR_pair	322	7	2606
ENSG00000116237_ENST00000343813.10_UTR_pair	53	7	3887
ENSG00000097021_ENST00000361521.9_UTR_pair	368	7	325
ENSG00000171680_ENST00000377728.8_UTR_pair	118	7	441
ENSG00000204859_ENST00000377674.9_UTR_pair	212	7	68
ENSG00000162413_ENST00000377658.8_UTR_pair	52	7	2641
ENSG00000116273_ENST00000377648.5_UTR_pair	336	7	2393
ENSG00000041988_ENST00000054650.9_UTR_pair	156	7	485
ENSG00000171735_ENST00000303635.12_UTR_pair	77	7	3215
ENSG00000049245_ENST00000054666.11_UTR_pair	88	7	1787
ENSG00000116285_ENST00000377482.10_UTR_pair	225	7	1483
ENSG00000142599_ENST00000400908.7_UTR_pair	625	7	2683
ENSG00000074800_ENST00000234590.10_UTR_pair	116	7	360
ENSG00000049239_ENST00000377403.7_UTR_pair	303	7	6468
ENSG00000171621_ENST00000328089.11_UTR_pair	327	7	1957
ENSG00000171612_ENST00000302692.7_UTR_pair	227	7	2672
ENSG00000188807_ENST00000340381.11_UTR_pair	20	7	1794
ENSG00000171608_ENST00000377346.9_UTR_pair	209	7	2068
ENSG00000171603_ENST00000377298.9_UTR_pair	232	7	1582
ENSG00000178585_ENST00000377263.6_UTR_pair	318	7	2442
ENSG00000162441_ENST00000377223.6_UTR_pair	310	7	4106
ENSG00000173614_ENST00000377205.6_UTR_pair	97	7	2797
ENSG00000130939_ENST00000343090.11_UTR_pair	713	7	1283
ENSG00000054523_ENST00000676179.1_UTR_pair	388	7	5016
ENSG00000160049_ENST00000377038.8_UTR_pair	71	7	4968
ENSG00000130940_ENST00000377022.8_UTR_pair	316	7	2338
ENSG00000120948_ENST00000240185.8_UTR_pair	102	7	2838
ENSG00000116649_ENST00000376957.7_UTR_pair	75	7	276
ENSG00000198793_ENST00000361445.9_UTR_pair	121	7	950
ENSG00000120942_ENST00000376810.6_UTR_pair	334	7	2303
ENSG00000116661_ENST00000354287.5_UTR_pair	89	7	307
ENSG00000132879_ENST00000251547.10_UTR_pair	106	7	2054
ENSG00000116663_ENST00000376753.9_UTR_pair	59	7	503
ENSG00000116670_ENST00000376692.9_UTR_pair	122	7	295
ENSG00000177674_ENST00000314340.10_UTR_pair	73	7	577
ENSG00000177000_ENST00000376590.9_UTR_pair	90	7	4957
ENSG00000011021_ENST00000346436.11_UTR_pair	72	7	2907
ENSG00000083444_ENST00000196061.5_UTR_pair	63	7	729
ENSG00000116688_ENST00000235329.10_UTR_pair	190	7	1943
ENSG00000162496_ENST00000616661.5_UTR_pair	862	7	430
ENSG00000162493_ENST00000621990.5_UTR_pair	202	7	2046
ENSG00000116731_ENST00000311066.10_UTR_pair	178	7	1944
ENSG00000171729_ENST00000376008.3_UTR_pair	474	7	735
ENSG00000142634_ENST00000375980.9_UTR_pair	84	7	1615
ENSG00000116138_ENST00000375847.8_UTR_pair	129	7	3556
ENSG00000116786_ENST00000375799.8_UTR_pair	239	7	835
ENSG00000162458_ENST00000375766.8_UTR_pair	264	7	1928
ENSG00000116809_ENST00000375743.9_UTR_pair	208	7	100
ENSG00000142627_ENST00000358432.8_UTR_pair	137	7	878
ENSG00000142632_ENST00000270747.8_UTR_pair	180	7	733
ENSG00000037637_ENST00000375592.8_UTR_pair	243	7	3830
ENSG00000157191_ENST00000337132.10_UTR_pair	38	7	1188
ENSG00000117122_ENST00000375535.4_UTR_pair	75	7	418
ENSG00000159363_ENST00000326735.13_UTR_pair	190	7	263
ENSG00000117115_ENST00000375486.9_UTR_pair	80	7	2283
ENSG00000179051_ENST00000375436.9_UTR_pair	141	7	2330
ENSG00000074964_ENST00000361221.8_UTR_pair	296	7	489
ENSG00000159423_ENST00000375341.8_UTR_pair	32	7	1415
ENSG00000053371_ENST00000235835.8_UTR_pair	20	7	260
ENSG00000040487_ENST00000375153.8_UTR_pair	642	7	657
ENSG00000077549_ENST00000264202.8_UTR_pair	101	7	755
ENSG00000158747_ENST00000375136.8_UTR_pair	155	7	1323
ENSG00000162542_ENST00000294543.11_UTR_pair	241	7	800
ENSG00000169914_ENST00000375120.4_UTR_pair	119	7	5199
ENSG00000162545_ENST00000375078.4_UTR_pair	831	7	1258
ENSG00000090432_ENST00000264198.5_UTR_pair	127	7	1242
ENSG00000158825_ENST00000375071.4_UTR_pair	33	7	335
ENSG00000158828_ENST00000321556.5_UTR_pair	91	7	820
ENSG00000127483_ENST00000438032.6_UTR_pair	213	7	4531
ENSG00000117298_ENST00000374893.11_UTR_pair	49	7	2705
ENSG00000090686_ENST00000308271.14_UTR_pair	192	7	1119
ENSG00000070831_ENST00000656825.1_UTR_pair	84	7	9843
ENSG00000184677_ENST00000375647.5_UTR_pair	223	7	4758
ENSG00000004487_ENST00000400181.9_UTR_pair	129	7	325
ENSG00000169641_ENST00000302291.9_UTR_pair	316	7	4865
ENSG00000125945_ENST00000314011.9_UTR_pair	531	7	2521
ENSG00000088280_ENST00000336689.8_UTR_pair	46	7	1293
ENSG00000007968_ENST00000361729.3_UTR_pair	440	7	3442
ENSG00000117318_ENST00000374561.6_UTR_pair	75	7	515
ENSG00000142676_ENST00000643754.2_UTR_pair	18	7	462
ENSG00000011007_ENST00000613537.5_UTR_pair	33	7	2486
ENSG00000057757_ENST00000246151.9_UTR_pair	98	7	856
ENSG00000011009_ENST00000374514.8_UTR_pair	132	7	807
ENSG00000117308_ENST00000617979.5_UTR_pair	119	7	350
ENSG00000189266_ENST00000334351.8_UTR_pair	395	7	1585
ENSG00000188529_ENST00000492112.3_UTR_pair	72	7	6795
ENSG00000001461_ENST00000374399.9_UTR_pair	360	7	3791
ENSG00000117602_ENST00000374395.9_UTR_pair	374	7	5763
ENSG00000133226_ENST00000323848.14_UTR_pair	25	7	995
ENSG00000169504_ENST00000374379.9_UTR_pair	107	7	3384
ENSG00000117614_ENST00000236273.9_UTR_pair	35	7	990
ENSG00000117616_ENST00000243189.12_UTR_pair	212	7	340
ENSG00000183726_ENST00000374358.5_UTR_pair	136	7	1656
ENSG00000204178_ENST00000374343.5_UTR_pair	202	7	1743
