seqname	gene_id	transcript_id	region	length	selection_reason	short_utrs
ENSG00000187961_ENST00000338591.8_mRNA	ENSG00000187961	ENST00000338591.8	mRNA	2567	MANE_Select	false
ENSG00000187961_ENST00000338591.8_CDS	ENSG00000187961	ENST00000338591.8	CDS	1929	MANE_Select	false
ENSG00000187961_ENST00000338591.8_5UTR	ENSG00000187961	ENST00000338591.8	5UTR	110	MANE_Select	false
ENSG00000187961_ENST00000338591.8_3UTR	ENSG00000187961	ENST00000338591.8	3UTR	528	MANE_Select	false
ENSG00000187961_ENST00000338591.8_start_codon_region	ENSG00000187961	ENST00000338591.8	start_codon_region	63	MANE_Select	false
ENSG00000187961_ENST00000338591.8_stop_codon_region	ENSG00000187961	ENST00000338591.8	stop_codon_region	63	MANE_Select	false
ENSG00000187961_ENST00000338591.8_tail_region	ENSG00000187961	ENST00000338591.8	tail_region	100	MANE_Select	false
ENSG00000187961_ENST00000338591.8_UTR_pair	ENSG00000187961	ENST00000338591.8	UTR_pair	645	MANE_Select	false
ENSG00000188290_ENST00000304952.11_mRNA	ENSG00000188290	ENST00000304952.11	mRNA	885	MANE_Select	false
ENSG00000188290_ENST00000304952.11_CDS	ENSG00000188290	ENST00000304952.11	CDS	666	MANE_Select	false
ENSG00000188290_ENST00000304952.11_5UTR	ENSG00000188290	ENST00000304952.11	5UTR	124	MANE_Select	false
ENSG00000188290_ENST00000304952.11_3UTR	ENSG00000188290	ENST00000304952.11	3UTR	95	MANE_Select	false
ENSG00000188290_ENST00000304952.11_start_codon_region	ENSG00000188290	ENST00000304952.11	start_codon_region	63	MANE_Select	false
ENSG00000188290_ENST00000304952.11_stop_codon_region	ENSG00000188290	ENST00000304952.11	stop_codon_region	63	MANE_Select	false
ENSG00000188290_ENST00000304952.11_tail_region	ENSG00000188290	ENST00000304952.11	tail_region	100	MANE_Select	false
ENSG00000188290_ENST00000304952.11_UTR_pair	ENSG00000188290	ENST00000304952.11	UTR_pair	226	MANE_Select	false
ENSG00000187608_ENST00000649529.1_mRNA	ENSG00000187608	ENST00000649529.1	mRNA	637	MANE_Select	false
ENSG00000187608_ENST00000649529.1_CDS	ENSG00000187608	ENST00000649529.1	CDS	498	MANE_Select	false
ENSG00000187608_ENST00000649529.1_5UTR	ENSG00000187608	ENST00000649529.1	5UTR	77	MANE_Select	false
ENSG00000187608_ENST00000649529.1_3UTR	ENSG00000187608	ENST00000649529.1	3UTR	62	MANE_Select	false
ENSG00000187608_ENST00000649529.1_start_codon_region	ENSG00000187608	ENST00000649529.1	start_codon_region	63	MANE_Select	false
ENSG00000187608_ENST00000649529.1_stop_codon_region	ENSG00000187608	ENST00000649529.1	stop_codon_region	63	MANE_Select	false
ENSG00000187608_ENST00000649529.1_tail_region	ENSG00000187608	ENST00000649529.1	tail_region	100	MANE_Select	false
ENSG00000187608_ENST00000649529.1_UTR_pair	ENSG00000187608	ENST00000649529.1	UTR_pair	146	MANE_Select	false
ENSG00000188157_ENST00000379370.7_mRNA	ENSG00000188157	ENST00000379370.7	mRNA	7326	MANE_Select	false
ENSG00000188157_ENST00000379370.7_CDS	ENSG00000188157	ENST00000379370.7	CDS	6138	MANE_Select	false
ENSG00000188157_ENST00000379370.7_5UTR	ENSG00000188157	ENST00000379370.7	5UTR	53	MANE_Select	false
