Gene_ID,Transcript_ID,Selection_Reason,Total_Length,CDS_Length,5UTR_Length,3UTR_Length,UTR_pair_Length,Status
ENSG00000187961,ENST00000338591.8,MANE_Select,2567,1929,110,528,645,Success
ENSG00000188290,ENST00000304952.11,MANE_Select,885,666,124,95,226,Success
ENSG00000187608,ENST00000649529.1,MANE_Select,637,498,77,62,146,Success
ENSG00000188157,ENST00000379370.7,MANE_Select,7326,6138,53,1135,1195,Success
ENSG00000176022,ENST00000379198.5,MANE_Select,2805,990,42,1773,1822,Success
ENSG00000160087,ENST00000349431.11,MANE_Select,2260,780,189,1291,1487,Success
ENSG00000131584,ENST00000354700.10,MANE_Select,3793,2505,115,1173,1295,Success
ENSG00000224051,ENST00000343938.9,MANE_Select,2154,645,376,1133,1516,Success
ENSG00000107404,ENST00000378888.10,MANE_Select,3305,2088,353,864,1224,Success
ENSG00000162576,ENST00000309212.11,MANE_Select,2293,1329,51,913,971,Success
ENSG00000221978,ENST00000400809.8,MANE_Select,3112,1563,29,1520,1556,Short_or_Missing_UTRs
ENSG00000179403,ENST00000476993.2,MANE_Select,4492,1338,59,3095,3161,Success
ENSG00000197785,ENST00000378756.8,MANE_Select,2481,1761,107,613,727,Success
ENSG00000248333,ENST00000341832.11,MANE_Select,2992,2349,104,539,650,Success
ENSG00000189339,ENST00000617444.5,MANE_Select,6434,1218,912,4304,5223,Success
ENSG00000008130,ENST00000341426.9,MANE_Select,3235,1341,222,1672,1901,Success
ENSG00000078369,ENST00000378609.9,MANE_Select,3163,1023,363,1777,2147,Success
ENSG00000067606,ENST00000378567.8,MANE_Select,2385,1779,220,386,613,Success
ENSG00000157933,ENST00000378536.5,MANE_Select,6083,2187,448,3448,3903,Success
ENSG00000116151,ENST00000378531.8,MANE_Select,1645,1494,21,130,158,Short_or_Missing_UTRs
ENSG00000157916,ENST00000605895.6,MANE_Select,3028,591,125,2312,2444,Success
ENSG00000157911,ENST00000447513.7,MANE_Select,2835,981,62,1792,1861,Success
