Gene_ID,Transcript_ID,Selection_Reason,Total_Length,CDS_Length,5UTR_Length,3UTR_Length,UTR_pair_Length,Status
ENSBTAG00000020035,ENSBTAT00000037243,Ensembl_canonical,2417,594,222,1601,1830,Success
ENSBTAG00000018278,ENSBTAT00000073708,Ensembl_canonical,2044,642,1337,65,1409,Success
ENSBTAG00000035175,ENSBTAT00000049667,Ensembl_canonical,2724,1863,199,662,868,Success
ENSBTAG00000008482,ENSBTAT00000011175,Ensembl_canonical,8469,7269,199,1001,1207,Success
ENSBTAG00000009188,ENSBTAT00000116578,Ensembl_canonical,3797,3084,122,591,720,Success
ENSBTAG00000009187,ENSBTAT00000133069,Ensembl_canonical,4277,1143,669,2465,3141,Success
ENSBTAG00000001258,ENSBTAT00000001660,Ensembl_canonical,3622,477,1716,1429,3152,Success
ENSBTAG00000012899,ENSBTAT00000080092,Ensembl_canonical,2147,1206,149,792,948,Success
ENSBTAG00000021819,ENSBTAT00000029080,Ensembl_canonical,3293,1686,185,1422,1614,Success
ENSBTAG00000003064,ENSBTAT00000003986,Ensembl_canonical,4825,2769,199,1857,2063,Success
ENSBTAG00000020762,ENSBTAT00000027668,Ensembl_canonical,3339,2139,199,1001,1207,Success
ENSBTAG00000018855,ENSBTAT00000083963,Ensembl_canonical,4208,3432,413,363,783,Success
ENSBTAG00000018854,ENSBTAT00000032452,Ensembl_canonical,1334,993,23,318,348,Short_or_Missing_UTRs
ENSBTAG00000048631,ENSBTAT00000023716,Ensembl_canonical,2538,1875,353,310,670,Success
ENSBTAG00000004139,ENSBTAT00000005416,Ensembl_canonical,3465,2226,238,1001,1246,Success
ENSBTAG00000014233,ENSBTAT00000096559,Ensembl_canonical,1958,1662,59,237,303,Success
ENSBTAG00000020122,ENSBTAT00000026801,Ensembl_canonical,2876,2484,104,288,399,Success
ENSBTAG00000020121,ENSBTAT00000026800,Ensembl_canonical,2239,873,351,1015,1373,Success
ENSBTAG00000001412,ENSBTAT00000074692,Ensembl_canonical,988,783,6,199,212,Short_or_Missing_UTRs
