seqname	len_5utr	linker_len	len_3utr
ENSBTAG00000020035_ENSBTAT00000037243_UTR_pair	222	7	1601
ENSBTAG00000018278_ENSBTAT00000073708_UTR_pair	1337	7	65
ENSBTAG00000035175_ENSBTAT00000049667_UTR_pair	199	7	662
ENSBTAG00000008482_ENSBTAT00000011175_UTR_pair	199	7	1001
ENSBTAG00000009188_ENSBTAT00000116578_UTR_pair	122	7	591
ENSBTAG00000009187_ENSBTAT00000133069_UTR_pair	669	7	2465
ENSBTAG00000001258_ENSBTAT00000001660_UTR_pair	1716	7	1429
ENSBTAG00000012899_ENSBTAT00000080092_UTR_pair	149	7	792
ENSBTAG00000021819_ENSBTAT00000029080_UTR_pair	185	7	1422
ENSBTAG00000003064_ENSBTAT00000003986_UTR_pair	199	7	1857
ENSBTAG00000020762_ENSBTAT00000027668_UTR_pair	199	7	1001
ENSBTAG00000018855_ENSBTAT00000083963_UTR_pair	413	7	363
ENSBTAG00000018854_ENSBTAT00000032452_UTR_pair	23	7	318
ENSBTAG00000048631_ENSBTAT00000023716_UTR_pair	353	7	310
ENSBTAG00000004139_ENSBTAT00000005416_UTR_pair	238	7	1001
ENSBTAG00000014233_ENSBTAT00000096559_UTR_pair	59	7	237
ENSBTAG00000020122_ENSBTAT00000026801_UTR_pair	104	7	288
ENSBTAG00000020121_ENSBTAT00000026800_UTR_pair	351	7	1015
ENSBTAG00000001412_ENSBTAT00000074692_UTR_pair	6	7	199
ENSBTAG00000000706_ENSBTAT00000000944_UTR_pair	441	7	1324
ENSBTAG00000017753_ENSBTAT00000085054_UTR_pair	150	7	1120
ENSBTAG00000019043_ENSBTAT00000025345_UTR_pair	114	7	149
ENSBTAG00000001395_ENSBTAT00000001832_UTR_pair	199	7	4644
ENSBTAG00000018704_ENSBTAT00000024895_UTR_pair	181	7	420
ENSBTAG00000019314_ENSBTAT00000109948_UTR_pair	199	7	1001
ENSBTAG00000047293_ENSBTAT00000114020_UTR_pair	4507	7	4213
ENSBTAG00000073338_ENSBTAT00000139161_UTR_pair	8	7	3492
ENSBTAG00000009851_ENSBTAT00000101606_UTR_pair	437	7	1677
ENSBTAG00000036262_ENSBTAT00000083071_UTR_pair	199	7	1001
ENSBTAG00000046959_ENSBTAT00000109204_UTR_pair	1359	7	3816
ENSBTAG00000005155_ENSBTAT00000006796_UTR_pair	300	7	1
ENSBTAG00000015728_ENSBTAT00000020876_UTR_pair	124	7	1822
ENSBTAG00000010091_ENSBTAT00000013306_UTR_pair	470	7	2650
ENSBTAG00000073969_ENSBTAT00000151826_UTR_pair	265	7	274
ENSBTAG00000015546_ENSBTAT00000113470_UTR_pair	199	7	293
ENSBTAG00000020996_ENSBTAT00000080474_UTR_pair	138	7	1175
ENSBTAG00000004124_ENSBTAT00000005398_UTR_pair	124	7	635
ENSBTAG00000004471_ENSBTAT00000005868_UTR_pair	531	7	1545
ENSBTAG00000014889_ENSBTAT00000134326_UTR_pair	199	7	1216
ENSBTAG00000015010_ENSBTAT00000134465_UTR_pair	15	7	1562
ENSBTAG00000004833_ENSBTAT00000087123_UTR_pair	15	7	377
ENSBTAG00000014302_ENSBTAT00000019001_UTR_pair	75	7	265
ENSBTAG00000004459_ENSBTAT00000074340_UTR_pair	318	7	16
ENSBTAG00000016363_ENSBTAT00000068901_UTR_pair	207	7	430
ENSBTAG00000016932_ENSBTAT00000022522_UTR_pair	59	7	1681
ENSBTAG00000015069_ENSBTAT00000143378_UTR_pair	199	7	913
ENSBTAG00000013460_ENSBTAT00000017903_UTR_pair	596	7	38
ENSBTAG00000013461_ENSBTAT00000130779_UTR_pair	37	7	85
ENSBTAG00000013464_ENSBTAT00000101506_UTR_pair	77	7	1001
ENSBTAG00000013465_ENSBTAT00000150377_UTR_pair	383	7	955
ENSBTAG00000010987_ENSBTAT00000014591_UTR_pair	195	7	1327
ENSBTAG00000000088_ENSBTAT00000000097_UTR_pair	676	7	2455
ENSBTAG00000013057_ENSBTAT00000062945_UTR_pair	144	7	230
ENSBTAG00000006893_ENSBTAT00000009058_UTR_pair	298	7	501
ENSBTAG00000003585_ENSBTAT00000131152_UTR_pair	118	7	1001
ENSBTAG00000005787_ENSBTAT00000007606_UTR_pair	106	7	206
ENSBTAG00000006158_ENSBTAT00000129215_UTR_pair	199	7	1624
ENSBTAG00000013769_ENSBTAT00000132201_UTR_pair	216	7	3370
ENSBTAG00000001209_ENSBTAT00000068946_UTR_pair	48	7	797
ENSBTAG00000004601_ENSBTAT00000006038_UTR_pair	199	7	484
ENSBTAG00000009084_ENSBTAT00000011976_UTR_pair	419	7	163
ENSBTAG00000009085_ENSBTAT00000011977_UTR_pair	30	7	1608
ENSBTAG00000005723_ENSBTAT00000118693_UTR_pair	76	7	1001
ENSBTAG00000007784_ENSBTAT00000120788_UTR_pair	199	7	2167
ENSBTAG00000002703_ENSBTAT00000055158_UTR_pair	392	7	2248
ENSBTAG00000004971_ENSBTAT00000065613_UTR_pair	399	7	1577
ENSBTAG00000001390_ENSBTAT00000047259_UTR_pair	236	7	777
ENSBTAG00000000210_ENSBTAT00000071475_UTR_pair	632	7	1249
ENSBTAG00000000213_ENSBTAT00000083926_UTR_pair	355	7	163
ENSBTAG00000008562_ENSBTAT00000011287_UTR_pair	54	7	3109
ENSBTAG00000033170_ENSBTAT00000047119_UTR_pair	199	7	440
ENSBTAG00000022155_ENSBTAT00000029891_UTR_pair	79	7	2577
ENSBTAG00000016848_ENSBTAT00000070754_UTR_pair	239	7	206
ENSBTAG00000013069_ENSBTAT00000017379_UTR_pair	186	7	349
ENSBTAG00000054326_ENSBTAT00000113503_UTR_pair	251	7	1781
ENSBTAG00000011143_ENSBTAT00000080763_UTR_pair	259	7	847
ENSBTAG00000021791_ENSBTAT00000029045_UTR_pair	376	7	454
ENSBTAG00000009933_ENSBTAT00000013108_UTR_pair	72	7	2087
ENSBTAG00000016656_ENSBTAT00000022152_UTR_pair	48	7	203
ENSBTAG00000005066_ENSBTAT00000095463_UTR_pair	220	7	364
ENSBTAG00000005071_ENSBTAT00000006685_UTR_pair	99	7	909
ENSBTAG00000018877_ENSBTAT00000106951_UTR_pair	39	7	150
ENSBTAG00000014797_ENSBTAT00000019691_UTR_pair	171	7	1001
ENSBTAG00000023607_ENSBTAT00000032276_UTR_pair	199	7	143
ENSBTAG00000014567_ENSBTAT00000090379_UTR_pair	251	7	58
ENSBTAG00000000566_ENSBTAT00000109092_UTR_pair	147	7	1173
ENSBTAG00000013727_ENSBTAT00000125275_UTR_pair	77	7	1001
ENSBTAG00000013755_ENSBTAT00000018278_UTR_pair	45	7	394
ENSBTAG00000021396_ENSBTAT00000146576_UTR_pair	199	7	1001
ENSBTAG00000000496_ENSBTAT00000018208_UTR_pair	428	7	302
ENSBTAG00000050482_ENSBTAT00000070820_UTR_pair	202	7	1001
ENSBTAG00000006471_ENSBTAT00000103845_UTR_pair	161	7	923
ENSBTAG00000014208_ENSBTAT00000018888_UTR_pair	34	7	50
ENSBTAG00000018025_ENSBTAT00000023995_UTR_pair	175	7	372
ENSBTAG00000014874_ENSBTAT00000046614_UTR_pair	59	7	94
ENSBTAG00000032839_ENSBTAT00000025116_UTR_pair	199	7	86
ENSBTAG00000001890_ENSBTAT00000002461_UTR_pair	180	7	2608
ENSBTAG00000021364_ENSBTAT00000028482_UTR_pair	297	7	746
ENSBTAG00000032719_ENSBTAT00000118037_UTR_pair	308	7	207
ENSBTAG00000016979_ENSBTAT00000022580_UTR_pair	280	7	121
ENSBTAG00000007577_ENSBTAT00000009970_UTR_pair	182	7	468
ENSBTAG00000013317_ENSBTAT00000017712_UTR_pair	325	7	1756
ENSBTAG00000006388_ENSBTAT00000050590_UTR_pair	57	7	568
ENSBTAG00000013192_ENSBTAT00000017558_UTR_pair	243	7	983
ENSBTAG00000048195_ENSBTAT00000108301_UTR_pair	233	7	857
ENSBTAG00000047856_ENSBTAT00000082239_UTR_pair	155	7	1660
ENSBTAG00000032674_ENSBTAT00000080821_UTR_pair	211	7	3256
ENSBTAG00000008873_ENSBTAT00000099835_UTR_pair	473	7	513
ENSBTAG00000020378_ENSBTAT00000067511_UTR_pair	199	7	1001
ENSBTAG00000000448_ENSBTAT00000082799_UTR_pair	199	7	356
ENSBTAG00000006724_ENSBTAT00000101017_UTR_pair	208	7	904
ENSBTAG00000054986_ENSBTAT00000098057_UTR_pair	179	7	673
ENSBTAG00000008462_ENSBTAT00000117439_UTR_pair	998	7	1615
ENSBTAG00000008461_ENSBTAT00000072998_UTR_pair	82	7	276
ENSBTAG00000002394_ENSBTAT00000032260_UTR_pair	144	7	813
ENSBTAG00000013204_ENSBTAT00000017579_UTR_pair	50	7	1179
ENSBTAG00000000569_ENSBTAT00000000742_UTR_pair	222	7	1001
ENSBTAG00000019514_ENSBTAT00000082852_UTR_pair	122	7	1045
ENSBTAG00000006945_ENSBTAT00000075658_UTR_pair	215	7	402
ENSBTAG00000013205_ENSBTAT00000070445_UTR_pair	28	7	1001
ENSBTAG00000001511_ENSBTAT00000071778_UTR_pair	84	7	1074
ENSBTAG00000010357_ENSBTAT00000012565_UTR_pair	172	7	308
ENSBTAG00000014724_ENSBTAT00000019596_UTR_pair	362	7	633
ENSBTAG00000003151_ENSBTAT00000004094_UTR_pair	75	7	380
ENSBTAG00000003143_ENSBTAT00000004087_UTR_pair	315	7	930
ENSBTAG00000014915_ENSBTAT00000105660_UTR_pair	139	7	2251
ENSBTAG00000001697_ENSBTAT00000149595_UTR_pair	149	7	3796
ENSBTAG00000007666_ENSBTAT00000123291_UTR_pair	71	7	173
ENSBTAG00000001749_ENSBTAT00000002296_UTR_pair	199	7	729
ENSBTAG00000017115_ENSBTAT00000148663_UTR_pair	199	7	1622
ENSBTAG00000019625_ENSBTAT00000089657_UTR_pair	41	7	1983
ENSBTAG00000019014_ENSBTAT00000025309_UTR_pair	310	7	1307
ENSBTAG00000005313_ENSBTAT00000120222_UTR_pair	199	7	765
