jobid	jobname	maxrss	maxvmsize	elapsed	state
5455768_0.batch	batch	6049076K	7775840K	00:13:45	COMPLETED
5455768_0.extern	extern	0	0	00:13:45	COMPLETED
5455768_1.batch	batch	6048864K	7892484K	00:13:42	COMPLETED
5455768_1.extern	extern	4K	4K	00:13:42	COMPLETED
5455768_2.batch	batch	6055440K	7931008K	00:13:38	COMPLETED
5455768_2.extern	extern	64K	64K	00:13:38	COMPLETED
5455768_3.batch	batch	6045872K	7776232K	00:13:37	COMPLETED
5455768_3.extern	extern	68K	68K	00:13:37	COMPLETED
5455768_4.batch	batch	6053348K	7922684K	00:13:40	COMPLETED
5455768_4.extern	extern	4K	4K	00:13:40	COMPLETED
5455768_5.batch	batch	6047332K	7775468K	00:13:42	COMPLETED
5455768_5.extern	extern	0	0	00:13:42	COMPLETED
5455768_6.batch	batch	6049996K	7792312K	00:13:40	COMPLETED
5455768_6.extern	extern	48K	48K	00:13:40	COMPLETED
5455768_7.batch	batch	6048560K	7775416K	00:13:35	COMPLETED
5455768_7.extern	extern	44K	44K	00:13:35	COMPLETED
5455768_8.batch	batch	6049532K	7788708K	00:13:41	COMPLETED
5455768_8.extern	extern	56K	56K	00:13:41	COMPLETED
