transcript_id	gene_id	region	sequence_length	stopfree_length	stopfree_fraction	direction	frame	stopfree_start	stopfree_end	source_start	source_end	n_full_codons_scanned	n_stop_codons
ind_0054_00000	ind_0054_00000	3UTR	197	197	1.0	forward	1	1	197	1	197	195	5
ind_0054_00001	ind_0054_00001	3UTR	197	197	1.0	forward	1	1	197	1	197	195	5
ind_0054_00002	ind_0054_00002	3UTR	197	138	0.700507614213198	forward	3	3	140	3	140	195	4
ind_0054_00003	ind_0054_00003	3UTR	197	197	1.0	forward	1	1	197	1	197	195	5
ind_0054_00004	ind_0054_00004	3UTR	197	105	0.5329949238578681	forward	3	36	140	36	140	195	7
ind_0054_00005	ind_0054_00005	3UTR	197	197	1.0	forward	1	1	197	1	197	195	4
ind_0054_00006	ind_0054_00006	3UTR	197	197	1.0	forward	1	1	197	1	197	195	5
ind_0054_00007	ind_0054_00007	3UTR	197	197	1.0	forward	1	1	197	1	197	195	5
ind_0054_00008	ind_0054_00008	3UTR	197	140	0.7106598984771574	forward	1	58	197	58	197	195	5
ind_0054_00009	ind_0054_00009	3UTR	197	197	1.0	forward	1	1	197	1	197	195	5
ind_0054_00010	ind_0054_00010	3UTR	197	197	1.0	forward	1	1	197	1	197	195	4
ind_0054_00011	ind_0054_00011	3UTR	197	197	1.0	forward	1	1	197	1	197	195	5
ind_0054_00012	ind_0054_00012	3UTR	197	197	1.0	forward	1	1	197	1	197	195	4
ind_0054_00013	ind_0054_00013	3UTR	197	197	1.0	forward	1	1	197	1	197	195	5
ind_0054_00014	ind_0054_00014	3UTR	197	197	1.0	forward	1	1	197	1	197	195	4
ind_0054_00015	ind_0054_00015	3UTR	197	138	0.700507614213198	forward	3	3	140	3	140	195	6
ind_0054_00016	ind_0054_00016	3UTR	197	197	1.0	forward	1	1	197	1	197	195	5
ind_0054_00017	ind_0054_00017	3UTR	197	105	0.5329949238578681	forward	3	36	140	36	140	195	7
ind_0054_00018	ind_0054_00018	3UTR	197	197	1.0	forward	1	1	197	1	197	195	2
ind_0054_00019	ind_0054_00019	3UTR	197	197	1.0	forward	1	1	197	1	197	195	4
ind_0054_00020	ind_0054_00020	3UTR	197	197	1.0	forward	1	1	197	1	197	195	5
ind_0054_00021	ind_0054_00021	3UTR	197	150	0.7614213197969543	forward	1	1	150	1	150	195	6
ind_0054_00022	ind_0054_00022	3UTR	197	105	0.5329949238578681	forward	3	36	140	36	140	195	8
ind_0054_00023	ind_0054_00023	3UTR	197	149	0.7563451776649747	forward	1	49	197	49	197	195	5
ind_0054_00024	ind_0054_00024	3UTR	197	197	1.0	forward	1	1	197	1	197	195	4
ind_0054_00025	ind_0054_00025	3UTR	197	144	0.7309644670050761	forward	1	1	144	1	144	195	4
ind_0054_00026	ind_0054_00026	3UTR	197	197	1.0	forward	1	1	197	1	197	195	4
ind_0054_00027	ind_0054_00027	3UTR	197	150	0.7614213197969543	forward	1	1	150	1	150	195	6
ind_0054_00028	ind_0054_00028	3UTR	197	197	1.0	forward	1	1	197	1	197	195	7
ind_0054_00029	ind_0054_00029	3UTR	197	197	1.0	forward	1	1	197	1	197	195	5
ind_0054_00030	ind_0054_00030	3UTR	197	167	0.8477157360406091	forward	1	31	197	31	197	195	5
ind_0054_00031	ind_0054_00031	3UTR	197	197	1.0	forward	1	1	197	1	197	195	3
ind_0054_00032	ind_0054_00032	3UTR	197	197	1.0	forward	1	1	197	1	197	195	6
ind_0054_00033	ind_0054_00033	3UTR	197	197	1.0	forward	1	1	197	1	197	195	3
ind_0054_00034	ind_0054_00034	3UTR	197	197	1.0	forward	1	1	197	1	197	195	5
ind_0054_00035	ind_0054_00035	3UTR	197	197	1.0	forward	1	1	197	1	197	195	4
ind_0054_00036	ind_0054_00036	3UTR	197	105	0.5329949238578681	forward	3	36	140	36	140	195	5
ind_0054_00037	ind_0054_00037	3UTR	197	197	1.0	forward	1	1	197	1	197	195	5
ind_0054_00038	ind_0054_00038	3UTR	197	197	1.0	forward	1	1	197	1	197	195	3
ind_0054_00039	ind_0054_00039	3UTR	197	138	0.700507614213198	forward	3	3	140	3	140	195	7
ind_0054_00040	ind_0054_00040	3UTR	197	197	1.0	forward	1	1	197	1	197	195	6
ind_0054_00041	ind_0054_00041	3UTR	197	185	0.9390862944162437	forward	1	13	197	13	197	195	4
ind_0054_00042	ind_0054_00042	3UTR	197	173	0.8781725888324873	forward	1	25	197	25	197	195	4
ind_0054_00043	ind_0054_00043	3UTR	197	197	1.0	forward	1	1	197	1	197	195	6
ind_0054_00044	ind_0054_00044	3UTR	197	197	1.0	forward	1	1	197	1	197	195	5
ind_0054_00045	ind_0054_00045	3UTR	197	197	1.0	forward	1	1	197	1	197	195	5
ind_0054_00046	ind_0054_00046	3UTR	197	138	0.700507614213198	forward	3	3	140	3	140	195	5
ind_0054_00047	ind_0054_00047	3UTR	197	197	1.0	forward	1	1	197	1	197	195	4
ind_0054_00048	ind_0054_00048	3UTR	197	197	1.0	forward	1	1	197	1	197	195	4
ind_0054_00049	ind_0054_00049	3UTR	197	197	1.0	forward	1	1	197	1	197	195	4
ind_0054_00000	ind_0054_00000	5UTR	51	50	0.9803921568627451	forward	2	2	51	2	51	49	2
ind_0054_00001	ind_0054_00001	5UTR	51	50	0.9803921568627451	forward	2	2	51	2	51	49	2
ind_0054_00002	ind_0054_00002	5UTR	51	50	0.9803921568627451	forward	2	2	51	2	51	49	2
ind_0054_00003	ind_0054_00003	5UTR	51	50	0.9803921568627451	forward	2	2	51	2	51	49	2
ind_0054_00004	ind_0054_00004	5UTR	51	50	0.9803921568627451	forward	2	2	51	2	51	49	2
ind_0054_00005	ind_0054_00005	5UTR	51	50	0.9803921568627451	forward	2	2	51	2	51	49	2
ind_0054_00006	ind_0054_00006	5UTR	51	50	0.9803921568627451	forward	2	2	51	2	51	49	2
ind_0054_00007	ind_0054_00007	5UTR	51	50	0.9803921568627451	forward	2	2	51	2	51	49	2
ind_0054_00008	ind_0054_00008	5UTR	51	50	0.9803921568627451	forward	2	2	51	2	51	49	2
ind_0054_00009	ind_0054_00009	5UTR	51	50	0.9803921568627451	forward	2	2	51	2	51	49	2
ind_0054_00010	ind_0054_00010	5UTR	51	50	0.9803921568627451	forward	2	2	51	2	51	49	2
ind_0054_00011	ind_0054_00011	5UTR	51	50	0.9803921568627451	forward	2	2	51	2	51	49	2
ind_0054_00012	ind_0054_00012	5UTR	51	50	0.9803921568627451	forward	2	2	51	2	51	49	2
ind_0054_00013	ind_0054_00013	5UTR	51	50	0.9803921568627451	forward	2	2	51	2	51	49	2
