seqname	gene_id	transcript_id	region	length	selection_reason	short_utrs
ENSG00000162585_ENST00000378546.9_mRNA	ENSG00000162585	ENST00000378546.9	mRNA	727	MANE_Select	true
ENSG00000162585_ENST00000378546.9_CDS	ENSG00000162585	ENST00000378546.9	CDS	543	MANE_Select	true
ENSG00000162585_ENST00000378546.9_5UTR	ENSG00000162585	ENST00000378546.9	5UTR	23	MANE_Select	true
ENSG00000162585_ENST00000378546.9_3UTR	ENSG00000162585	ENST00000378546.9	3UTR	161	MANE_Select	true
ENSG00000162585_ENST00000378546.9_start_codon_region	ENSG00000162585	ENST00000378546.9	start_codon_region	56	MANE_Select	true
ENSG00000162585_ENST00000378546.9_stop_codon_region	ENSG00000162585	ENST00000378546.9	stop_codon_region	63	MANE_Select	true
ENSG00000162585_ENST00000378546.9_tail_region	ENSG00000162585	ENST00000378546.9	tail_region	100	MANE_Select	true
ENSG00000162585_ENST00000378546.9_UTR_pair	ENSG00000162585	ENST00000378546.9	UTR_pair	191	MANE_Select	true
ENSG00000116649_ENST00000376957.7_mRNA	ENSG00000116649	ENST00000376957.7	mRNA	1260	MANE_Select	false
ENSG00000116649_ENST00000376957.7_CDS	ENSG00000116649	ENST00000376957.7	CDS	909	MANE_Select	false
ENSG00000116649_ENST00000376957.7_5UTR	ENSG00000116649	ENST00000376957.7	5UTR	75	MANE_Select	false
ENSG00000116649_ENST00000376957.7_3UTR	ENSG00000116649	ENST00000376957.7	3UTR	276	MANE_Select	false
ENSG00000116649_ENST00000376957.7_start_codon_region	ENSG00000116649	ENST00000376957.7	start_codon_region	63	MANE_Select	false
ENSG00000116649_ENST00000376957.7_stop_codon_region	ENSG00000116649	ENST00000376957.7	stop_codon_region	63	MANE_Select	false
ENSG00000116649_ENST00000376957.7_tail_region	ENSG00000116649	ENST00000376957.7	tail_region	100	MANE_Select	false
ENSG00000116649_ENST00000376957.7_UTR_pair	ENSG00000116649	ENST00000376957.7	UTR_pair	358	MANE_Select	false
ENSG00000168528_ENST00000373709.8_mRNA	ENSG00000168528	ENST00000373709.8	mRNA	1900	MANE_Select	false
ENSG00000168528_ENST00000373709.8_CDS	ENSG00000168528	ENST00000373709.8	CDS	1368	MANE_Select	false
ENSG00000168528_ENST00000373709.8_5UTR	ENSG00000168528	ENST00000373709.8	5UTR	53	MANE_Select	false
ENSG00000168528_ENST00000373709.8_3UTR	ENSG00000168528	ENST00000373709.8	3UTR	479	MANE_Select	false
ENSG00000168528_ENST00000373709.8_start_codon_region	ENSG00000168528	ENST00000373709.8	start_codon_region	63	MANE_Select	false
ENSG00000168528_ENST00000373709.8_stop_codon_region	ENSG00000168528	ENST00000373709.8	stop_codon_region	63	MANE_Select	false
ENSG00000168528_ENST00000373709.8_tail_region	ENSG00000168528	ENST00000373709.8	tail_region	100	MANE_Select	false
ENSG00000168528_ENST00000373709.8_UTR_pair	ENSG00000168528	ENST00000373709.8	UTR_pair	539	MANE_Select	false
ENSG00000162600_ENST00000371226.8_mRNA	ENSG00000162600	ENST00000371226.8	mRNA	1861	MANE_Select	false
ENSG00000162600_ENST00000371226.8_CDS	ENSG00000162600	ENST00000371226.8	CDS	1575	MANE_Select	false
ENSG00000162600_ENST00000371226.8_5UTR	ENSG00000162600	ENST00000371226.8	5UTR	40	MANE_Select	false
ENSG00000162600_ENST00000371226.8_3UTR	ENSG00000162600	ENST00000371226.8	3UTR	246	MANE_Select	false
ENSG00000162600_ENST00000371226.8_start_codon_region	ENSG00000162600	ENST00000371226.8	start_codon_region	63	MANE_Select	false
ENSG00000162600_ENST00000371226.8_stop_codon_region	ENSG00000162600	ENST00000371226.8	stop_codon_region	63	MANE_Select	false
ENSG00000162600_ENST00000371226.8_tail_region	ENSG00000162600	ENST00000371226.8	tail_region	100	MANE_Select	false
ENSG00000162600_ENST00000371226.8_UTR_pair	ENSG00000162600	ENST00000371226.8	UTR_pair	293	MANE_Select	false
ENSG00000174842_ENST00000370360.8_mRNA	ENSG00000174842	ENST00000370360.8	mRNA	2006	MANE_Select	false
ENSG00000174842_ENST00000370360.8_CDS	ENSG00000174842	ENST00000370360.8	CDS	1785	MANE_Select	false
ENSG00000174842_ENST00000370360.8_5UTR	ENSG00000174842	ENST00000370360.8	5UTR	93	MANE_Select	false
ENSG00000174842_ENST00000370360.8_3UTR	ENSG00000174842	ENST00000370360.8	3UTR	128	MANE_Select	false
ENSG00000174842_ENST00000370360.8_start_codon_region	ENSG00000174842	ENST00000370360.8	start_codon_region	63	MANE_Select	false
ENSG00000174842_ENST00000370360.8_stop_codon_region	ENSG00000174842	ENST00000370360.8	stop_codon_region	63	MANE_Select	false
ENSG00000174842_ENST00000370360.8_tail_region	ENSG00000174842	ENST00000370360.8	tail_region	100	MANE_Select	false
