Gene_ID,Transcript_ID,Selection_Reason,Total_Length,CDS_Length,5UTR_Length,3UTR_Length,UTR_pair_Length,Status
ENSG00000162585,ENST00000378546.9,MANE_Select,727,543,23,161,191,Short_or_Missing_UTRs
ENSG00000116649,ENST00000376957.7,MANE_Select,1260,909,75,276,358,Success
ENSG00000168528,ENST00000373709.8,MANE_Select,1900,1368,53,479,539,Success
ENSG00000162600,ENST00000371226.8,MANE_Select,1861,1575,40,246,293,Success
ENSG00000174842,ENST00000370360.8,MANE_Select,2006,1785,93,128,228,Success
ENSG00000118292,ENST00000369099.8,MANE_Select,509,396,28,85,120,Short_or_Missing_UTRs
ENSG00000143569,ENST00000428931.6,MANE_Select,3877,3264,61,552,620,Success
ENSG00000000971,ENST00000367429.9,MANE_Select,3962,3696,75,191,273,Success
ENSG00000173409,ENST00000310256.7,MANE_Select,1428,816,12,600,619,Short_or_Missing_UTRs
ENSG00000188739,ENST00000408888.8,MANE_Select,1847,1293,24,530,561,Short_or_Missing_UTRs
ENSG00000163001,ENST00000349456.9,MANE_Select,1184,1029,84,71,162,Success
ENSG00000124370,ENST00000244217.6,MANE_Select,824,531,10,283,300,Short_or_Missing_UTRs
ENSG00000124383,ENST00000244230.7,MANE_Select,2164,2046,32,86,125,Success
ENSG00000158411,ENST00000289359.6,MANE_Select,939,750,77,112,196,Success
ENSG00000075884,ENST00000295095.11,MANE_Select,1670,1428,62,180,249,Success
ENSG00000163072,ENST00000317647.12,MANE_Select,2075,1521,10,544,561,Short_or_Missing_UTRs
ENSG00000172053,ENST00000306125.12,MANE_Select,2449,2328,24,97,128,Short_or_Missing_UTRs
ENSG00000163634,ENST00000295899.10,MANE_Select,892,615,15,262,284,Short_or_Missing_UTRs
ENSG00000145088,ENST00000273668.7,MANE_Select,998,783,77,138,222,Success
ENSG00000114631,ENST00000342480.7,MANE_Select,2175,1818,35,322,364,Success
ENSG00000132394,ENST00000254730.11,MANE_Select,2205,1791,27,387,421,Short_or_Missing_UTRs
ENSG00000136522,ENST00000476781.6,MANE_Select,1354,753,14,587,608,Short_or_Missing_UTRs
ENSG00000213139,ENST00000307944.6,MANE_Select,844,537,54,253,314,Success
ENSG00000164363,ENST00000324642.4,MANE_Select,2095,1887,97,111,215,Success
ENSG00000152422,ENST00000396027.9,MANE_Select,1602,1005,79,518,604,Success
ENSG00000152705,ENST00000282611.8,MANE_Select,1355,1197,85,73,165,Success
ENSG00000171720,ENST00000305264.8,MANE_Select,1933,1287,59,587,653,Success
ENSG00000241106,ENST00000438763.7,MANE_Select,1326,822,51,453,511,Success
ENSG00000124659,ENST00000372876.2,MANE_Select,1606,1041,30,535,572,Success
ENSG00000112742,ENST00000369798.7,MANE_Select,2966,2574,67,325,399,Success
ENSG00000112303,ENST00000326499.11,MANE_Select,2014,1563,21,430,458,Short_or_Missing_UTRs
ENSG00000188732,ENST00000344962.9,MANE_Select,1403,897,20,486,513,Short_or_Missing_UTRs
ENSG00000164897,ENST00000297533.9,MANE_Select,1295,741,90,464,561,Success
ENSG00000147586,ENST00000276585.9,MANE_Select,838,564,11,263,281,Short_or_Missing_UTRs
ENSG00000214954,ENST00000448384.3,MANE_Select,1344,1044,43,257,307,Success
ENSG00000135046,ENST00000257497.11,MANE_Select,1401,1041,74,286,367,Success
ENSG00000176248,ENST00000323927.3,MANE_Select,2655,2469,28,158,193,Short_or_Missing_UTRs
ENSG00000196139,ENST00000380554.5,MANE_Select,1186,972,31,183,221,Success
ENSG00000187522,ENST00000378372.8,MANE_Select,1762,1530,97,135,239,Success
ENSG00000166136,ENST00000299166.9,MANE_Select,678,561,20,97,124,Short_or_Missing_UTRs
ENSG00000214026,ENST00000397298.8,MANE_Select,673,462,31,180,218,Success
ENSG00000121690,ENST00000241051.8,MANE_Select,1741,1536,78,127,212,Success
ENSG00000213619,ENST00000263774.9,MANE_Select,894,795,18,81,106,Short_or_Missing_UTRs
ENSG00000149541,ENST00000265471.10,MANE_Select,1452,1008,39,405,451,Success
ENSG00000150773,ENST00000280350.10,MANE_Select,1090,948,69,73,149,Success
ENSG00000183395,ENST00000329406.5,MANE_Select,754,498,63,193,263,Success
ENSG00000111775,ENST00000229379.3,MANE_Select,537,330,14,193,214,Short_or_Missing_UTRs
ENSG00000166477,ENST00000299601.10,MANE_Select,2165,2001,33,131,171,Success
ENSG00000242173,ENST00000219409.8,MANE_Select,964,678,90,196,293,Success
ENSG00000140682,ENST00000394863.8,MANE_Select,1805,1386,37,382,426,Success
ENSG00000102981,ENST00000458121.7,MANE_Select,1244,1038,79,127,213,Success
ENSG00000205544,ENST00000302422.4,MANE_Select,446,342,13,91,111,Short_or_Missing_UTRs
ENSG00000161960,ENST00000293831.13,MANE_Select,1758,1221,17,520,544,Short_or_Missing_UTRs
ENSG00000240505,ENST00000261652.7,MANE_Select,1391,882,43,466,516,Success
ENSG00000198242,ENST00000422514.7,MANE_Select,970,471,21,478,506,Short_or_Missing_UTRs
ENSG00000132141,ENST00000314144.10,MANE_Select,1847,1593,67,187,261,Success
ENSG00000182173,ENST00000333213.11,MANE_Select,1937,1581,33,323,363,Success
ENSG00000167363,ENST00000300784.8,MANE_Select,1393,930,22,441,470,Short_or_Missing_UTRs
ENSG00000172232,ENST00000233997.4,MANE_Select,907,756,10,141,158,Short_or_Missing_UTRs
ENSG00000115286,ENST00000233627.14,MANE_Select,758,642,20,96,123,Short_or_Missing_UTRs
ENSG00000167476,ENST00000300961.10,MANE_Select,1138,996,65,77,149,Success
ENSG00000161082,ENST00000292672.7,MANE_Select,1896,1458,79,359,445,Success
ENSG00000130158,ENST00000294618.12,MANE_Select,6430,6144,84,202,293,Success
ENSG00000160410,ENST00000291842.10,MANE_Select,2341,2124,27,190,224,Short_or_Missing_UTRs
ENSG00000142227,ENST00000270221.11,MANE_Select,649,492,74,83,164,Success
ENSG00000087088,ENST00000345358.12,MANE_Select,795,579,54,162,223,Success
ENSG00000125968,ENST00000376112.4,MANE_Select,983,468,99,416,522,Success
ENSG00000101210,ENST00000217182.6,MANE_Select,1773,1392,97,284,388,Success
ENSG00000142173,ENST00000300527.9,MANE_Select,3445,3060,89,296,392,Success
ENSG00000128228,ENST00000248958.5,MANE_Select,825,666,35,124,166,Success
ENSG00000100412,ENST00000216254.9,MANE_Select,2734,2343,30,361,398,Success
ENSG00000073169,ENST00000380903.7,MANE_Select,2283,2010,26,247,280,Short_or_Missing_UTRs
ENSG00000068394,ENST00000156109.7,MANE_Select,1658,1431,13,214,234,Short_or_Missing_UTRs
ENSG00000147166,ENST00000373829.8,MANE_Select,1280,1044,57,179,243,Success
