jobid	jobname	maxrss	maxvmsize	elapsed	state
5680592_0.batch	batch	6699688K	7859224K	00:15:23	COMPLETED
5680592_0.extern	extern	44K	44K	00:15:23	COMPLETED
5680592_1.batch	batch	6384896K	7630144K	00:14:47	COMPLETED
5680592_1.extern	extern	100K	100K	00:14:47	COMPLETED
5680592_2.batch	batch	6383528K	7628880K	00:14:46	COMPLETED
5680592_2.extern	extern	0	0	00:14:46	COMPLETED
5680592_3.batch	batch	6699816K	7859476K	00:15:24	COMPLETED
5680592_3.extern	extern	0	0	00:15:24	COMPLETED
5680592_4.batch	batch	6381436K	7626684K	00:14:46	COMPLETED
5680592_4.extern	extern	0	0	00:14:46	COMPLETED
5680592_5.batch	batch	6702756K	7862376K	00:15:23	COMPLETED
5680592_5.extern	extern	76K	76K	00:15:23	COMPLETED
5680592_6.batch	batch	6379544K	7624964K	00:14:48	COMPLETED
5680592_6.extern	extern	0	0	00:14:48	COMPLETED
5680592_7.batch	batch	6704016K	7863596K	00:15:26	COMPLETED
5680592_7.extern	extern	24K	24K	00:15:26	COMPLETED
5680592_8.batch	batch	6348164K	7561048K	00:14:49	COMPLETED
5680592_8.extern	extern	4K	4K	00:14:49	COMPLETED
5680592_9.batch	batch	6700048K	7859620K	00:15:24	COMPLETED
5680592_9.extern	extern	24K	24K	00:15:25	COMPLETED
