transcript_id	codon_AAA	codon_AAC	codon_AAG	codon_AAT	codon_ACA	codon_ACC	codon_ACG	codon_ACT	codon_AGA	codon_AGC	codon_AGG	codon_AGT	codon_ATA	codon_ATC	codon_ATG	codon_ATT	codon_CAA	codon_CAC	codon_CAG	codon_CAT	codon_CCA	codon_CCC	codon_CCG	codon_CCT	codon_CGA	codon_CGC	codon_CGG	codon_CGT	codon_CTA	codon_CTC	codon_CTG	codon_CTT	codon_GAA	codon_GAC	codon_GAG	codon_GAT	codon_GCA	codon_GCC	codon_GCG	codon_GCT	codon_GGA	codon_GGC	codon_GGG	codon_GGT	codon_GTA	codon_GTC	codon_GTG	codon_GTT	codon_TAA	codon_TAC	codon_TAG	codon_TAT	codon_TCA	codon_TCC	codon_TCG	codon_TCT	codon_TGA	codon_TGC	codon_TGG	codon_TGT	codon_TTA	codon_TTC	codon_TTG	codon_TTT	codon_other	aa_A	aa_C	aa_D	aa_E	aa_F	aa_G	aa_H	aa_I	aa_K	aa_L	aa_M	aa_N	aa_P	aa_Q	aa_R	aa_S	aa_T	aa_V	aa_W	aa_Y	cds_length_codons	n_codons_scored	n_stops	aa_total
ENSMUST00000156816.7	10	3	9	6	2	5	2	4	14	4	7	4	1	2	5	12	3	1	10	2	8	3	4	10	2	1	7	1	4	6	12	7	11	4	4	11	4	6	1	7	7	9	3	6	1	2	6	4	0	5	0	7	2	3	0	0	1	2	1	1	2	5	2	8	0	18	3	15	15	13	25	3	15	19	33	5	9	25	13	32	13	13	13	1	12	296	296	1	295
ENSMUST00000027036.11	7	4	4	6	3	4	0	3	1	1	1	3	2	6	12	8	1	4	9	3	6	3	3	5	1	0	2	0	3	4	1	5	8	1	0	10	6	10	1	6	9	4	2	3	2	3	3	6	0	2	0	1	3	3	1	6	1	3	3	3	3	3	5	5	0	23	6	11	8	8	18	7	16	11	21	12	10	17	10	5	17	10	14	3	3	231	231	1	230
ENSMUST00000081551.14	19	3	13	14	10	4	0	7	5	7	6	5	3	2	12	7	2	0	8	1	4	1	0	6	3	2	3	1	4	2	4	5	17	5	11	14	8	5	1	9	6	2	2	1	3	2	5	4	0	1	0	4	5	3	0	7	1	1	2	7	4	2	4	3	0	23	8	19	28	5	11	1	12	32	23	12	17	11	10	20	27	21	14	2	5	302	302	1	301
ENSMUST00000118000.8	7	8	4	4	5	6	3	9	9	6	5	5	2	4	11	5	7	3	12	3	9	11	2	6	4	3	5	3	5	7	9	6	19	11	16	6	9	13	2	5	6	5	3	3	1	6	4	3	0	2	1	5	2	13	2	10	0	9	5	6	1	9	4	4	0	29	15	17	35	13	17	6	11	11	32	11	12	28	19	29	38	23	14	5	7	373	373	1	372
ENSMUST00000192698.3	20	8	11	12	4	2	2	7	6	7	2	9	5	9	19	11	12	8	26	3	4	2	0	4	2	4	7	3	3	4	12	14	25	9	14	12	6	7	2	19	5	4	2	5	5	7	9	10	0	7	0	11	8	2	0	6	1	1	9	7	4	6	10	11	0	34	8	21	39	17	16	11	25	31	47	19	20	10	38	24	32	15	31	9	18	466	466	1	465
ENSMUST00000027040.13	85	20	49	44	33	16	4	26	41	11	13	26	25	15	47	33	52	18	51	27	20	5	2	23	4	3	7	6	22	15	34	43	117	35	66	51	30	17	2	47	13	5	8	6	18	18	24	28	0	9	1	14	36	13	3	37	0	11	7	25	46	8	34	40	0	96	36	86	183	48	32	45	73	134	194	47	64	50	103	74	126	79	88	7	23	1589	1589	1	1588
ENSMUST00000061280.17	15	7	11	12	5	1	0	4	6	3	4	8	7	6	10	11	5	4	12	3	8	2	1	8	5	3	1	1	3	4	5	8	21	11	11	12	3	6	1	11	11	4	6	3	3	3	8	4	1	9	0	6	2	1	0	5	0	2	2	3	8	4	6	8	0	21	5	23	32	12	24	7	24	26	34	10	19	19	17	20	19	10	18	2	15	358	358	1	357
ENSMUST00000088658.11	38	12	27	27	21	9	0	22	19	9	8	12	12	6	12	17	18	8	26	9	15	3	0	27	4	2	1	3	7	8	10	22	52	12	15	28	11	8	3	15	13	7	6	5	7	5	10	15	1	2	0	13	12	5	3	23	0	5	14	6	14	5	8	15	0	37	11	40	67	20	31	17	35	65	69	12	39	45	44	37	64	52	37	14	15	752	752	1	751
ENSMUST00000057438.7	48	14	30	28	20	10	5	35	23	8	13	24	12	14	27	24	19	21	38	24	20	16	17	33	9	4	10	2	13	11	22	26	38	25	44	39	22	16	7	37	28	23	16	26	18	10	28	23	0	9	0	19	12	9	7	31	1	9	10	14	20	13	26	21	0	82	23	64	82	34	93	45	50	78	118	27	42	86	57	61	91	70	79	10	28	1221	1221	1	1220
ENSMUST00000071087.12	42	19	37	34	18	6	1	20	51	15	30	20	9	10	23	24	28	12	44	17	29	18	8	37	11	8	15	4	11	16	22	20	74	23	56	51	22	19	7	25	24	12	9	19	10	10	9	12	1	14	0	16	14	7	3	29	0	2	4	1	20	6	17	23	0	73	3	74	130	29	64	29	43	79	106	23	53	92	72	119	88	45	41	4	30	1198	1198	1	1197
