transcript_id	gene_id	strand	n_exons	n_internal_exons	first_exon_length	last_exon_length	internal_exon_mean	internal_exon_median	internal_exon_sd	intron_mean	intron_median	intron_sd
ENSMUST00000156816.7	ENSMUSG00000033845	-	5	3	167	3591	148.33333333333334	155	21.77919496522618	2081.5	1342.0	1916.7593310933257
ENSMUST00000027036.11	ENSMUSG00000025903	+	9	7	160	1777	81.42857142857143	71	47.46878673703083	4551.25	2153.5	6419.842271093137
ENSMUST00000081551.14	ENSMUSG00000033813	+	10	8	163	1550	104.25	97.0	40.33343171967536	4171.666666666667	1370	4072.964338169437
ENSMUST00000118000.8	ENSMUSG00000002459	-	6	4	276	1087	190.5	189.0	95.86274910864317	31717.0	6866	41223.066067433654
ENSMUST00000192698.3	ENSMUSG00000033793	+	13	11	125	315	124.63636363636364	114	34.106517638928565	6454.583333333333	5270.5	5134.140849757778
ENSMUST00000027040.13	ENSMUSG00000025907	+	24	22	313	2451	220.13636363636363	127.0	382.5502513464013	2365.086956521739	1487	3264.295690609419
ENSMUST00000061280.17	ENSMUSG00000051285	+	6	4	297	4114	205.25	148.0	147.35755834024937	15895.4	13152	12667.593232338968
ENSMUST00000088658.11	ENSMUSG00000025912	-	16	14	275	2598	150.5	116.0	81.02492494003596	1854.3333333333333	1750	1599.9043572604432
ENSMUST00000057438.7	ENSMUSG00000045210	-	3	1	2933	6729	87.0	87	NA	10006.0	10006.0	2275.46962185831
ENSMUST00000071087.12	ENSMUSG00000056763	+	30	28	128	835	121.14285714285714	109.5	64.39330209344256	3248.1724137931033	2225	3007.738959381823
ENSMUST00000088615.11	ENSMUSG00000067851	-	38	36	300	1426	145.88888888888889	143.5	50.34723869731531	2381.675675675676	1470	3035.8363029910815
ENSMUST00000177608.8	ENSMUSG00000016918	+	22	20	408	2381	140.45	136.5	62.914708346425556	7777.047619047619	2029	13931.247698882504
ENSMUST00000006037.13	ENSMUSG00000005886	-	23	21	146	298	212.04761904761904	173	248.8325694499167	10305.09090909091	2732.0	22113.95877830301
ENSMUST00000027068.11	ENSMUSG00000025935	-	11	9	311	1699	103.11111111111111	105	36.07438303160722	2227.5	1469.0	2574.5708703911546
ENSMUST00000027071.7	ENSMUSG00000025937	-	7	5	218	3575	140.2	149	37.78491762595229	5453.833333333333	5613.0	3819.64586927462
ENSMUST00000027066.13	ENSMUSG00000025932	-	18	16	555	2043	109.3125	108.0	38.729349336130085	8052.941176470588	3576	8782.112007303456
ENSMUST00000027053.8	ENSMUSG00000025921	+	6	4	533	2441	153.25	139.0	58.57971776420003	4874.8	1488	8553.554915939922
