transcript_id	gene_id	strand	n_exons	n_5UTR_junctions	n_CDS_junctions	n_3UTR_junctions	stop_dist_closest_upstream	stop_dist_closest_downstream	stop_dist_last_downstream	start_dist_closest_upstream	start_dist_closest_downstream
ENSMUST00000156816.7	ENSMUSG00000033845	-	5	0	4	0	337	NA	NA	NA	105
ENSMUST00000027036.11	ENSMUSG00000025903	+	9	0	8	0	53	NA	NA	NA	69
ENSMUST00000081551.14	ENSMUSG00000033813	+	10	0	9	0	8	NA	NA	NA	63
ENSMUST00000118000.8	ENSMUSG00000002459	-	6	0	5	0	188	NA	NA	NA	168
ENSMUST00000192698.3	ENSMUSG00000033793	+	13	1	11	0	60	NA	NA	34	113
ENSMUST00000027040.13	ENSMUSG00000025907	+	24	2	21	0	77	NA	NA	44	71
ENSMUST00000061280.17	ENSMUSG00000051285	+	6	1	4	0	367	NA	NA	115	307
ENSMUST00000088658.11	ENSMUSG00000025912	-	16	0	15	0	128	NA	NA	NA	20
ENSMUST00000057438.7	ENSMUSG00000045210	-	3	0	2	0	868	NA	NA	NA	2707
ENSMUST00000071087.12	ENSMUSG00000056763	+	30	1	28	0	211	NA	NA	10	99
ENSMUST00000088615.11	ENSMUSG00000067851	-	38	0	37	0	164	NA	NA	NA	124
ENSMUST00000177608.8	ENSMUSG00000016918	+	22	3	18	0	30	NA	NA	59	172
ENSMUST00000006037.13	ENSMUSG00000005886	-	23	2	20	0	11	NA	NA	19	86
ENSMUST00000027068.11	ENSMUSG00000025935	-	11	0	10	0	73	NA	NA	NA	123
ENSMUST00000027071.7	ENSMUSG00000025937	-	7	0	6	0	43	NA	NA	NA	122
ENSMUST00000027066.13	ENSMUSG00000025932	-	18	2	15	0	80	NA	NA	4	124
ENSMUST00000027053.8	ENSMUSG00000025921	+	6	0	5	0	123	NA	NA	NA	289
ENSMUST00000162751.8	ENSMUSG00000025920	-	14	2	11	0	93	NA	NA	17	114
ENSMUST00000188641.7	ENSMUSG00000079658	-	4	1	2	0	190	NA	NA	49	4
ENSMUST00000053266.11	ENSMUSG00000041859	-	17	0	16	0	198	NA	NA	NA	78
ENSMUST00000189400.7	ENSMUSG00000025931	+	3	2	0	0	1106	NA	NA	42	NA
ENSMUST00000037998.6	ENSMUSG00000041779	-	11	0	10	0	73	NA	NA	NA	120
ENSMUST00000027065.12	ENSMUSG00000025933	+	5	1	3	0	39	NA	NA	16	70
ENSMUST00000027343.6	ENSMUSG00000026158	-	7	0	6	0	699	NA	NA	NA	237
ENSMUST00000027339.14	ENSMUSG00000026155	-	10	0	9	0	134	NA	NA	NA	118
ENSMUST00000187369.7	ENSMUSG00000026153	-	22	3	18	0	205	NA	NA	39	77
ENSMUST00000095062.10	ENSMUSG00000073725	+	16	1	14	0	113	NA	NA	150	27
ENSMUST00000088287.10	ENSMUSG00000004768	+	8	2	5	0	139	NA	NA	65	155
ENSMUST00000044691.9	ENSMUSG00000042215	-	3	0	2	0	409	NA	NA	NA	113
ENSMUST00000044455.8	ENSMUSG00000042197	-	4	0	3	0	1493	NA	NA	NA	21
ENSMUST00000027303.14	ENSMUSG00000026127	+	9	0	8	0	112	NA	NA	NA	3
ENSMUST00000167518.8	ENSMUSG00000037503	-	8	1	5	1	112	18	18	11	70
ENSMUST00000027297.11	ENSMUSG00000026123	+	8	1	6	0	136	NA	NA	8	37
ENSMUST00000088174.4	ENSMUSG00000045216	+	2	0	1	0	708	NA	NA	NA	527
ENSMUST00000046875.14	ENSMUSG00000037470	-	41	0	40	0	25	NA	NA	NA	58
ENSMUST00000115032.8	ENSMUSG00000037447	+	7	0	6	0	1211	NA	NA	NA	4
ENSMUST00000125304.8	ENSMUSG00000001143	-	8	0	7	0	142	NA	NA	NA	184
ENSMUST00000153128.2	ENSMUSG00000037408	+	7	0	6	0	197	NA	NA	NA	1393
ENSMUST00000191677.6	ENSMUSG00000026121	-	15	1	13	0	829	NA	NA	40	109
ENSMUST00000043951.10	ENSMUSG00000037351	-	11	0	10	0	102	NA	NA	NA	48
ENSMUST00000027290.12	ENSMUSG00000026116	-	41	0	40	0	284	NA	NA	NA	181
ENSMUST00000027287.11	ENSMUSG00000026113	+	26	2	23	0	132	NA	NA	104	106
ENSMUST00000027286.7	ENSMUSG00000026112	-	3	0	2	0	41	NA	NA	NA	99
ENSMUST00000114925.10	ENSMUSG00000026111	+	6	1	4	0	136	NA	NA	4	280
ENSMUST00000042161.15	ENSMUSG00000026110	-	15	0	14	0	26	NA	NA	NA	94
ENSMUST00000139725.8	ENSMUSG00000026088	-	8	0	6	1	95	4	4	NA	151
ENSMUST00000027252.8	ENSMUSG00000026083	+	24	0	23	0	107	NA	NA	NA	35
ENSMUST00000027251.12	ENSMUSG00000026082	-	23	1	21	0	111	NA	NA	10	54
ENSMUST00000238906.2	ENSMUSG00000037138	-	23	0	22	0	121	NA	NA	NA	53
ENSMUST00000027249.13	ENSMUSG00000026080	-	7	2	4	0	537	NA	NA	32	100
ENSMUST00000086535.12	ENSMUSG00000073702	+	5	0	3	0	31	NA	NA	0	107
ENSMUST00000161515.8	ENSMUSG00000003135	+	8	1	6	0	197	NA	NA	285	499
ENSMUST00000027241.11	ENSMUSG00000026072	+	11	0	10	0	418	NA	NA	NA	3
ENSMUST00000039672.6	ENSMUSG00000041945	-	6	0	5	0	793	NA	NA	NA	135
ENSMUST00000095014.8	ENSMUSG00000070939	-	13	2	10	0	176	NA	NA	14	688
ENSMUST00000010434.8	ENSMUSG00000010290	+	4	0	3	0	56	NA	NA	NA	99
ENSMUST00000008280.14	ENSMUSG00000008136	-	6	1	4	0	151	NA	NA	23	156
ENSMUST00000086421.9	ENSMUSG00000066877	+	5	2	2	0	194	NA	NA	16	226
ENSMUST00000126008.8	ENSMUSG00000057363	-	15	0	14	0	131	NA	NA	NA	94
ENSMUST00000188313.7	ENSMUSG00000041763	+	29	0	28	0	89	NA	NA	NA	165
ENSMUST00000027215.12	ENSMUSG00000026049	-	8	3	4	0	173	NA	NA	139	15
ENSMUST00000065767.9	ENSMUSG00000026047	-	10	0	9	0	17	NA	NA	NA	182
ENSMUST00000074525.10	ENSMUSG00000056870	+	11	1	9	0	71	NA	NA	44	28
ENSMUST00000087883.13	ENSMUSG00000026043	+	51	0	50	0	146	NA	NA	NA	85
ENSMUST00000086430.5	ENSMUSG00000026042	-	54	0	53	0	146	NA	NA	NA	94
ENSMUST00000027137.11	ENSMUSG00000025993	-	8	0	7	0	313	NA	NA	NA	43
ENSMUST00000027131.6	ENSMUSG00000025986	-	10	1	8	0	158	NA	NA	11	1014
ENSMUST00000027279.12	ENSMUSG00000026107	-	6	0	5	0	166	NA	NA	NA	91
ENSMUST00000018561.14	ENSMUSG00000018417	-	31	1	29	0	123	NA	NA	9	135
