transcript_id	gene_id	strand	model	cds_length	zone_length	n_transition_fragile_codons	n_transversion_fragile_codons	n_snv_fragile_codons	n_alt_stop_codons	transition_fragile_codon_density	transversion_fragile_codon_density	snv_fragile_codon_density	alt_stop_codon_density	transition_fraction_of_snv_fragile
ENSMUST00000156816.7	ENSMUSG00000033845	-	full	888	500	13	43	56	24	0.026	0.086	0.112	0.048	0.23214285714285715
ENSMUST00000027036.11	ENSMUSG00000025903	+	full	693	589	12	42	54	19	0.02037351443123939	0.07130730050933787	0.09168081494057725	0.03225806451612903	0.2222222222222222
ENSMUST00000081551.14	ENSMUSG00000033813	+	full	906	847	14	90	104	39	0.01652892561983471	0.10625737898465171	0.12278630460448642	0.04604486422668241	0.1346153846153846
ENSMUST00000118000.8	ENSMUSG00000002459	-	full	1119	880	23	73	96	22	0.026136363636363635	0.08295454545454546	0.10909090909090909	0.025	0.23958333333333334
ENSMUST00000192698.3	ENSMUSG00000033793	+	full	1398	1287	43	122	165	60	0.03341103341103341	0.0947940947940948	0.1282051282051282	0.046620046620046623	0.2606060606060606
ENSMUST00000027040.13	ENSMUSG00000025907	+	full	4767	4639	110	531	641	263	0.02371200689803837	0.1144643242078034	0.13817633110584177	0.05669325285621901	0.17160686427457097
ENSMUST00000061280.17	ENSMUSG00000051285	+	full	1074	656	14	69	83	35	0.021341463414634148	0.10518292682926829	0.12652439024390244	0.053353658536585365	0.1686746987951807
ENSMUST00000088658.11	ENSMUSG00000025912	-	full	2256	2077	58	206	264	100	0.027924891670678863	0.0991815117958594	0.1271064034665383	0.04814636494944632	0.2196969696969697
ENSMUST00000057438.7	ENSMUSG00000045210	-	full	3663	2744	59	256	315	100	0.021501457725947522	0.09329446064139942	0.11479591836734694	0.03644314868804665	0.1873015873015873
ENSMUST00000071087.12	ENSMUSG00000056763	+	full	3594	3332	81	351	432	154	0.024309723889555823	0.10534213685474189	0.12965186074429771	0.046218487394957986	0.1875
ENSMUST00000088615.11	ENSMUSG00000067851	-	full	5541	5326	136	495	631	248	0.025535110777318813	0.09294029290274126	0.11847540368006008	0.04656402553511078	0.21553090332805072
