jobid	jobname	maxrss	maxvmsize	elapsed	state
5788763_0.batch	batch	6700100K	7859032K	00:15:35	COMPLETED
5788763_0.extern	extern	100K	100K	00:15:35	COMPLETED
5788763_1.batch	batch	7622984K	9504092K	00:16:53	COMPLETED
5788763_1.extern	extern	0	0	00:16:53	COMPLETED
5788763_2.batch	batch	6703256K	7851376K	00:15:33	COMPLETED
5788763_2.extern	extern	84K	84K	00:15:33	COMPLETED
5788763_3.batch	batch	7755396K	9002424K	00:16:38	COMPLETED
5788763_3.extern	extern	0	0	00:16:38	COMPLETED
5788763_4.batch	batch	6696260K	7844380K	00:15:33	COMPLETED
5788763_4.extern	extern	52K	52K	00:15:33	COMPLETED
5788763_5.batch	batch	7758140K	8951160K	00:16:12	COMPLETED
5788763_5.extern	extern	0	0	00:16:12	COMPLETED
5788763_6.batch	batch	6701836K	7861432K	00:15:30	COMPLETED
5788763_6.extern	extern	92K	92K	00:15:30	COMPLETED
5788763_7.batch	batch	7756688K	8949528K	00:16:12	COMPLETED
5788763_7.extern	extern	0	0	00:16:12	COMPLETED
5788763_8.batch	batch	6698736K	7846848K	00:15:33	COMPLETED
5788763_8.extern	extern	32K	32K	00:15:33	COMPLETED
5788763_9.batch	batch	7756208K	9004432K	00:16:11	COMPLETED
5788763_9.extern	extern	0	0	00:16:11	COMPLETED
