jobid	jobname	maxrss	maxvmsize	elapsed	state
5586846_0.batch	batch	6704132K	7852252K	00:15:28	COMPLETED
5586846_0.extern	extern	36K	36K	00:15:28	COMPLETED
5586846_1.batch	batch	6051856K	7918260K	00:13:30	COMPLETED
5586846_1.extern	extern	24K	24K	00:13:30	COMPLETED
5586846_2.batch	batch	6047716K	7911660K	00:13:30	COMPLETED
5586846_2.extern	extern	28K	28K	00:13:30	COMPLETED
5586846_3.batch	batch	6698328K	7846456K	00:15:27	COMPLETED
5586846_3.extern	extern	64K	64K	00:15:27	COMPLETED
5586846_4.batch	batch	6049476K	7694.50M	00:13:30	COMPLETED
5586846_4.extern	extern	28K	28K	00:13:30	COMPLETED
5586846_5.batch	batch	6700972K	7849048K	00:15:29	COMPLETED
5586846_5.extern	extern	0	0	00:15:29	COMPLETED
5586846_6.batch	batch	6049720K	7912932K	00:13:31	COMPLETED
5586846_6.extern	extern	28K	28K	00:13:31	COMPLETED
5586846_7.batch	batch	6703684K	7851768K	00:15:29	COMPLETED
5586846_7.extern	extern	0	0	00:15:29	COMPLETED
5586846_8.batch	batch	6050740K	7914576K	00:13:30	COMPLETED
5586846_8.extern	extern	28K	28K	00:13:30	COMPLETED
5586846_9.batch	batch	6702208K	7861928K	00:15:24	COMPLETED
5586846_9.extern	extern	88K	88K	00:15:24	COMPLETED
