jobid	jobname	maxrss	maxvmsize	elapsed	state
5468302_0.batch	batch	6051972K	7848652K	00:13:36	COMPLETED
5468302_0.extern	extern	4K	4K	00:13:36	COMPLETED
5468302_1.batch	batch	6050236K	7846988K	00:13:36	COMPLETED
5468302_1.extern	extern	0	0	00:13:36	COMPLETED
5468302_2.batch	batch	6046880K	7876644K	00:13:31	COMPLETED
5468302_2.extern	extern	24K	24K	00:13:31	COMPLETED
5468302_3.batch	batch	6049572K	7879328K	00:13:31	COMPLETED
5468302_3.extern	extern	56K	56K	00:13:31	COMPLETED
5468302_4.batch	batch	6047972K	7843528K	00:13:33	COMPLETED
5468302_4.extern	extern	28K	28K	00:13:33	COMPLETED
5468302_5.batch	batch	6047652K	7876500K	00:13:33	COMPLETED
5468302_5.extern	extern	32K	32K	00:13:33	COMPLETED
5468302_6.batch	batch	6048708K	7842436K	00:13:33	COMPLETED
5468302_6.extern	extern	64K	64K	00:13:33	COMPLETED
5468302_7.batch	batch	6051424K	7907192K	00:13:35	COMPLETED
5468302_7.extern	extern	64K	64K	00:13:35	COMPLETED
5468302_8.batch	batch	6052364K	7876912K	00:13:33	COMPLETED
5468302_8.extern	extern	60K	60K	00:13:33	COMPLETED
5468302_9.batch	batch	6047016K	7875008K	00:13:31	COMPLETED
5468302_9.extern	extern	64K	64K	00:13:31	COMPLETED
