jobid	jobname	maxrss	maxvmsize	elapsed	state
5582532_0.batch	batch	6700840K	7862924K	00:15:29	COMPLETED
5582532_0.extern	extern	0	0	00:15:29	COMPLETED
5582532_1.batch	batch	6702292K	7850396K	00:15:29	COMPLETED
5582532_1.extern	extern	0	0	00:15:29	COMPLETED
5582532_2.batch	batch	6702464K	7862052K	00:15:30	COMPLETED
5582532_2.extern	extern	68K	68K	00:15:30	COMPLETED
5582532_3.batch	batch	6699268K	7847456K	00:15:28	COMPLETED
5582532_3.extern	extern	0	0	00:15:28	COMPLETED
5582532_4.batch	batch	6698788K	7846924K	00:15:28	COMPLETED
5582532_4.extern	extern	104K	104K	00:15:28	COMPLETED
5582532_5.batch	batch	6698952K	7858540K	00:15:25	COMPLETED
5582532_5.extern	extern	24K	24K	00:15:25	COMPLETED
5582532_6.batch	batch	6700148K	7848452K	00:15:27	COMPLETED
5582532_6.extern	extern	100K	100K	00:15:27	COMPLETED
5582532_7.batch	batch	6703120K	7862660K	00:15:26	COMPLETED
5582532_7.extern	extern	52K	52K	00:15:26	COMPLETED
5582532_8.batch	batch	6705448K	7853664K	00:15:30	COMPLETED
5582532_8.extern	extern	96K	96K	00:15:30	COMPLETED
5582532_9.batch	batch	6703752K	7860208K	00:15:31	COMPLETED
5582532_9.extern	extern	0	0	00:15:31	COMPLETED
