jobid	jobname	maxrss	maxvmsize	elapsed	state
5604620_0.batch	batch	6699328K	7849936K	00:15:27	COMPLETED
5604620_0.extern	extern	96K	96K	00:15:27	COMPLETED
5604620_1.batch	batch	6124832K	7339952K	00:14:56	COMPLETED
5604620_1.extern	extern	0	0	00:14:56	COMPLETED
5604620_2.batch	batch	6269620K	7493176K	00:14:54	COMPLETED
5604620_2.extern	extern	0	0	00:14:54	COMPLETED
5604620_3.batch	batch	6703552K	7851736K	00:15:25	COMPLETED
5604620_3.extern	extern	0	0	00:15:25	COMPLETED
5604620_4.batch	batch	6265872K	7489500K	00:14:55	COMPLETED
5604620_4.extern	extern	0	0	00:14:55	COMPLETED
5604620_5.batch	batch	6701260K	7860876K	00:15:25	COMPLETED
5604620_5.extern	extern	76K	76K	00:15:25	COMPLETED
5604620_6.batch	batch	6121808K	7336912K	00:14:56	COMPLETED
5604620_6.extern	extern	0	0	00:14:56	COMPLETED
5604620_7.batch	batch	6696344K	7844444K	00:15:25	COMPLETED
5604620_7.extern	extern	4K	4K	00:15:25	COMPLETED
5604620_8.batch	batch	6123468K	7338492K	00:14:56	COMPLETED
5604620_8.extern	extern	0	0	00:14:56	COMPLETED
5604620_9.batch	batch	6698844K	7855564K	00:15:26	COMPLETED
5604620_9.extern	extern	0	0	00:15:26	COMPLETED
