transcript_id	gene_id	region	sequence_length	stopfree_length	stopfree_fraction	direction	frame	stopfree_start	stopfree_end	source_start	source_end	n_full_codons_scanned	n_stop_codons
ENSBTAG00000002191|NM_001191473.1|RRP12	ENSBTAG00000002191|NM_001191473.1|RRP12	3UTR	413	246	0.5956416464891041	forward	3	126	371	126	371	411	13
ENSBTAG00000004203|NM_001046049.2|VPS33A	ENSBTAG00000004203|NM_001046049.2|VPS33A	3UTR	316	316	1.0	forward	1	1	316	1	316	314	3
ENSBTAG00000004834|NM_001083755.1|CNOT10	ENSBTAG00000004834|NM_001083755.1|CNOT10	3UTR	315	132	0.41904761904761906	forward	3	114	245	114	245	313	18
ENSBTAG00000005614|NM_001206064.1|UXS1	ENSBTAG00000005614|NM_001206064.1|UXS1	3UTR	563	498	0.8845470692717584	forward	3	3	500	3	500	561	11
ENSBTAG00000012756|NM_001046171.2|CCT7	ENSBTAG00000012756|NM_001046171.2|CCT7	3UTR	122	114	0.9344262295081968	forward	1	1	114	1	114	120	3
ENSBTAG00000015961|NM_001034657.1|TSPAN2	ENSBTAG00000015961|NM_001034657.1|TSPAN2	3UTR	384	258	0.671875	forward	3	3	260	3	260	382	29
ENSBTAG00000018016|NM_001114515.2|NUPR1	ENSBTAG00000018016|NM_001114515.2|NUPR1	3UTR	309	187	0.6051779935275081	forward	3	123	309	123	309	307	12
ENSBTAG00000053755|NM_001163803.2|TMA7	ENSBTAG00000053755|NM_001163803.2|TMA7	3UTR	147	73	0.4965986394557823	forward	3	75	147	75	147	145	12
ENSBTAG00000002191|NM_001191473.1|RRP12	ENSBTAG00000002191|NM_001191473.1|RRP12	5UTR	10	10	1.0	forward	1	1	10	1	10	8	0
ENSBTAG00000004203|NM_001046049.2|VPS33A	ENSBTAG00000004203|NM_001046049.2|VPS33A	5UTR	85	84	0.9882352941176471	forward	2	2	85	2	85	83	5
ENSBTAG00000004834|NM_001083755.1|CNOT10	ENSBTAG00000004834|NM_001083755.1|CNOT10	5UTR	77	69	0.8961038961038961	forward	3	9	77	9	77	75	6
ENSBTAG00000005614|NM_001206064.1|UXS1	ENSBTAG00000005614|NM_001206064.1|UXS1	5UTR	63	63	1.0	forward	1	1	63	1	63	61	0
ENSBTAG00000012756|NM_001046171.2|CCT7	ENSBTAG00000012756|NM_001046171.2|CCT7	5UTR	15	14	0.9333333333333333	forward	2	2	15	2	15	13	1
ENSBTAG00000015961|NM_001034657.1|TSPAN2	ENSBTAG00000015961|NM_001034657.1|TSPAN2	5UTR	16	16	1.0	forward	1	1	16	1	16	14	0
ENSBTAG00000018016|NM_001114515.2|NUPR1	ENSBTAG00000018016|NM_001114515.2|NUPR1	5UTR	15	15	1.0	forward	1	1	15	1	15	13	0
ENSBTAG00000053755|NM_001163803.2|TMA7	ENSBTAG00000053755|NM_001163803.2|TMA7	5UTR	15	15	1.0	forward	1	1	15	1	15	13	0
ENSBTAG00000002191|NM_001191473.1|RRP12	ENSBTAG00000002191|NM_001191473.1|RRP12	CDS	717	717	1.0	forward	1	1	717	1	717	715	13
ENSBTAG00000004203|NM_001046049.2|VPS33A	ENSBTAG00000004203|NM_001046049.2|VPS33A	CDS	717	717	1.0	forward	1	1	717	1	717	715	13
ENSBTAG00000004834|NM_001083755.1|CNOT10	ENSBTAG00000004834|NM_001083755.1|CNOT10	CDS	717	717	1.0	forward	1	1	717	1	717	715	13
ENSBTAG00000005614|NM_001206064.1|UXS1	ENSBTAG00000005614|NM_001206064.1|UXS1	CDS	717	717	1.0	forward	1	1	717	1	717	715	13
ENSBTAG00000012756|NM_001046171.2|CCT7	ENSBTAG00000012756|NM_001046171.2|CCT7	CDS	717	717	1.0	forward	1	1	717	1	717	715	13
ENSBTAG00000015961|NM_001034657.1|TSPAN2	ENSBTAG00000015961|NM_001034657.1|TSPAN2	CDS	717	717	1.0	forward	1	1	717	1	717	715	13
ENSBTAG00000018016|NM_001114515.2|NUPR1	ENSBTAG00000018016|NM_001114515.2|NUPR1	CDS	717	717	1.0	forward	1	1	717	1	717	715	13
ENSBTAG00000053755|NM_001163803.2|TMA7	ENSBTAG00000053755|NM_001163803.2|TMA7	CDS	717	717	1.0	forward	1	1	717	1	717	715	13
ENSBTAG00000002191|NM_001191473.1|RRP12	ENSBTAG00000002191|NM_001191473.1|RRP12	mRNA	1140	906	0.7947368421052632	forward	2	2	907	2	907	1138	26
ENSBTAG00000004203|NM_001046049.2|VPS33A	ENSBTAG00000004203|NM_001046049.2|VPS33A	mRNA	1118	1117	0.9991055456171736	forward	2	2	1118	2	1118	1116	21
ENSBTAG00000004834|NM_001083755.1|CNOT10	ENSBTAG00000004834|NM_001083755.1|CNOT10	mRNA	1109	786	0.7087466185752931	forward	3	9	794	9	794	1107	37
ENSBTAG00000005614|NM_001206064.1|UXS1	ENSBTAG00000005614|NM_001206064.1|UXS1	mRNA	1343	1278	0.9516008935219658	forward	3	3	1280	3	1280	1341	24
ENSBTAG00000012756|NM_001046171.2|CCT7	ENSBTAG00000012756|NM_001046171.2|CCT7	mRNA	854	840	0.9836065573770492	forward	1	7	846	7	846	852	17
ENSBTAG00000015961|NM_001034657.1|TSPAN2	ENSBTAG00000015961|NM_001034657.1|TSPAN2	mRNA	1117	993	0.8889883616830797	forward	1	1	993	1	993	1115	42
ENSBTAG00000018016|NM_001114515.2|NUPR1	ENSBTAG00000018016|NM_001114515.2|NUPR1	mRNA	1041	861	0.8270893371757925	forward	1	1	861	1	861	1039	25
ENSBTAG00000053755|NM_001163803.2|TMA7	ENSBTAG00000053755|NM_001163803.2|TMA7	mRNA	879	753	0.856655290102389	forward	3	3	755	3	755	877	25
