jobid	jobname	maxrss	maxvmsize	elapsed	state
5606835_0.batch	batch	6702148K	7856712K	00:15:36	COMPLETED
5606835_0.extern	extern	60K	60K	00:15:36	COMPLETED
5606835_1.batch	batch	6051068K	7849092K	00:13:45	COMPLETED
5606835_1.extern	extern	0	0	00:13:45	COMPLETED
5606835_2.batch	batch	6048992K	7924404K	00:13:38	COMPLETED
5606835_2.extern	extern	0	0	00:13:38	COMPLETED
5606835_3.batch	batch	6704592K	7910004K	00:15:57	COMPLETED
5606835_3.extern	extern	0	0	00:15:57	COMPLETED
5606835_4.batch	batch	6052180K	7880324K	00:13:31	COMPLETED
5606835_4.extern	extern	0	0	00:13:31	COMPLETED
5606835_5.batch	batch	6703644K	7851768K	00:15:27	COMPLETED
5606835_5.extern	extern	0	0	00:15:27	COMPLETED
5606835_6.batch	batch	6047820K	7875780K	00:13:31	COMPLETED
5606835_6.extern	extern	0	0	00:13:31	COMPLETED
5606835_7.batch	batch	6703960K	7863576K	00:15:26	COMPLETED
5606835_7.extern	extern	64K	64K	00:15:26	COMPLETED
5606835_8.batch	batch	6050968K	7875524K	00:13:31	COMPLETED
5606835_8.extern	extern	0	0	00:13:31	COMPLETED
5606835_9.batch	batch	6701272K	7849336K	00:15:27	COMPLETED
5606835_9.extern	extern	0	0	00:15:27	COMPLETED
