transcript_id	gene_id	region	length	source_file	seqid	strand
ind_0038_00000	ind_0038_00000	mRNA	965	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00000	+
ind_0038_00000	ind_0038_00000	5UTR	51	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00000	+
ind_0038_00000	ind_0038_00000	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00000	+
ind_0038_00000	ind_0038_00000	3UTR	197	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00000	+
ind_0038_00001	ind_0038_00001	mRNA	965	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00001	+
ind_0038_00001	ind_0038_00001	5UTR	51	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00001	+
ind_0038_00001	ind_0038_00001	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00001	+
ind_0038_00001	ind_0038_00001	3UTR	197	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00001	+
ind_0038_00002	ind_0038_00002	mRNA	965	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00002	+
ind_0038_00002	ind_0038_00002	5UTR	51	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00002	+
ind_0038_00002	ind_0038_00002	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00002	+
ind_0038_00002	ind_0038_00002	3UTR	197	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00002	+
ind_0038_00003	ind_0038_00003	mRNA	965	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00003	+
ind_0038_00003	ind_0038_00003	5UTR	51	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00003	+
ind_0038_00003	ind_0038_00003	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00003	+
ind_0038_00003	ind_0038_00003	3UTR	197	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00003	+
ind_0038_00004	ind_0038_00004	mRNA	965	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00004	+
ind_0038_00004	ind_0038_00004	5UTR	51	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00004	+
ind_0038_00004	ind_0038_00004	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00004	+
ind_0038_00004	ind_0038_00004	3UTR	197	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00004	+
ind_0038_00005	ind_0038_00005	mRNA	965	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00005	+
ind_0038_00005	ind_0038_00005	5UTR	51	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00005	+
ind_0038_00005	ind_0038_00005	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00005	+
ind_0038_00005	ind_0038_00005	3UTR	197	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00005	+
ind_0038_00006	ind_0038_00006	mRNA	965	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00006	+
ind_0038_00006	ind_0038_00006	5UTR	51	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00006	+
ind_0038_00006	ind_0038_00006	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00006	+
ind_0038_00006	ind_0038_00006	3UTR	197	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00006	+
ind_0038_00007	ind_0038_00007	mRNA	965	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00007	+
ind_0038_00007	ind_0038_00007	5UTR	51	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00007	+
ind_0038_00007	ind_0038_00007	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00007	+
ind_0038_00007	ind_0038_00007	3UTR	197	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00007	+
ind_0038_00008	ind_0038_00008	mRNA	965	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00008	+
ind_0038_00008	ind_0038_00008	5UTR	51	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00008	+
ind_0038_00008	ind_0038_00008	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00008	+
ind_0038_00008	ind_0038_00008	3UTR	197	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00008	+
ind_0038_00009	ind_0038_00009	mRNA	965	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00009	+
ind_0038_00009	ind_0038_00009	5UTR	51	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00009	+
ind_0038_00009	ind_0038_00009	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00009	+
ind_0038_00009	ind_0038_00009	3UTR	197	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00009	+
ind_0038_00010	ind_0038_00010	mRNA	965	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00010	+
ind_0038_00010	ind_0038_00010	5UTR	51	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00010	+
ind_0038_00010	ind_0038_00010	CDS	717	/projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization/optimization_a7/38gen/_workspace/metrics_run/assembled_transcripts.fa	ind_0038_00010	+
