jobid	jobname	maxrss	maxvmsize	elapsed	state
5704553_0.batch	batch	6701528K	7861116K	00:15:25	COMPLETED
5704553_0.extern	extern	76K	76K	00:15:25	COMPLETED
5704553_1.batch	batch	6386384K	7624680K	00:14:45	COMPLETED
5704553_1.extern	extern	0	0	00:14:45	COMPLETED
5704553_2.batch	batch	6382972K	7627844K	00:14:43	COMPLETED
5704553_2.extern	extern	64K	64K	00:14:43	COMPLETED
5704553_3.batch	batch	6703520K	7863244K	00:15:24	COMPLETED
5704553_3.extern	extern	0	0	00:15:24	COMPLETED
5704553_4.batch	batch	6385936K	7627292K	00:14:42	COMPLETED
5704553_4.extern	extern	0	0	00:14:42	COMPLETED
5704553_5.batch	batch	6701436K	7861036K	00:15:25	COMPLETED
5704553_5.extern	extern	0	0	00:15:25	COMPLETED
5704553_6.batch	batch	6389116K	7633548K	00:14:44	COMPLETED
5704553_6.extern	extern	0	0	00:14:44	COMPLETED
5704553_7.batch	batch	6702772K	7862468K	00:15:26	COMPLETED
5704553_7.extern	extern	24K	24K	00:15:26	COMPLETED
5704553_8.batch	batch	6388252K	7626528K	00:14:45	COMPLETED
5704553_8.extern	extern	0	0	00:14:45	COMPLETED
5704553_9.batch	batch	6698368K	7857896K	00:15:28	COMPLETED
5704553_9.extern	extern	0	0	00:15:28	COMPLETED
