jobid	jobname	maxrss	maxvmsize	elapsed	state
5496507_0.batch	batch	6048044K	7911940K	00:13:34	COMPLETED
5496507_0.extern	extern	28K	28K	00:13:34	COMPLETED
5496507_1.batch	batch	6048580K	7909308K	00:13:35	COMPLETED
5496507_1.extern	extern	68K	68K	00:13:35	COMPLETED
5496507_2.batch	batch	6048792K	7912756K	00:13:29	COMPLETED
5496507_2.extern	extern	44K	44K	00:13:29	COMPLETED
5496507_3.batch	batch	6049904K	7924648K	00:13:40	COMPLETED
5496507_3.extern	extern	96K	96K	00:13:40	COMPLETED
5496507_4.batch	batch	6702280K	7864300K	00:15:25	COMPLETED
5496507_4.extern	extern	96K	96K	00:15:25	COMPLETED
5496507_5.batch	batch	6046516K	7764608K	00:13:27	COMPLETED
5496507_5.extern	extern	36K	36K	00:13:27	COMPLETED
5496507_6.batch	batch	6051012K	7914968K	00:13:28	COMPLETED
5496507_6.extern	extern	24K	24K	00:13:28	COMPLETED
5496507_7.batch	batch	6702948K	7862636K	00:15:23	COMPLETED
5496507_7.extern	extern	12K	12K	00:15:23	COMPLETED
5496507_8.batch	batch	6044532K	7755632K	00:13:27	COMPLETED
5496507_8.extern	extern	24K	24K	00:13:27	COMPLETED
5496507_9.batch	batch	6699408K	7869000K	00:15:24	COMPLETED
5496507_9.extern	extern	80K	80K	00:15:24	COMPLETED
