transcript_id	gene_id	utr5_length	n_uorfs	n_overlapping_uorfs	has_uorf	total_classical_uorf_codons	max_classical_uorf_codons	dist_cap_to_first_uatg	dist_last_uorf_stop_to_main_atg
ENST00000378546.9	ENSG00000162585	23	0	0	0	0	NA	NA	NA
ENST00000376957.7	ENSG00000116649	75	0	0	0	0	NA	NA	NA
ENST00000373709.8	ENSG00000168528	53	0	0	0	0	NA	NA	NA
ENST00000371226.8	ENSG00000162600	40	0	0	0	0	NA	NA	NA
ENST00000370360.8	ENSG00000174842	93	0	0	0	0	NA	NA	NA
ENST00000369099.8	ENSG00000118292	28	0	0	0	0	NA	NA	NA
ENST00000428931.6	ENSG00000143569	61	0	0	0	0	NA	NA	NA
ENST00000367429.9	ENSG00000000971	75	1	0	1	3	3	51	12
ENST00000310256.7	ENSG00000173409	12	0	0	0	0	NA	NA	NA
ENST00000408888.8	ENSG00000188739	24	0	0	0	0	NA	NA	NA
ENST00000349456.9	ENSG00000163001	84	0	0	0	0	NA	NA	NA
ENST00000244217.6	ENSG00000124370	10	0	0	0	0	NA	NA	NA
ENST00000244230.7	ENSG00000124383	32	1	0	1	8	8	0	5
ENST00000289359.6	ENSG00000158411	77	0	1	1	0	NA	2	NA
ENST00000295095.11	ENSG00000075884	62	0	1	1	0	NA	12	NA
ENST00000317647.12	ENSG00000163072	10	0	0	0	0	NA	NA	NA
ENST00000306125.12	ENSG00000172053	24	0	0	0	0	NA	NA	NA
ENST00000295899.10	ENSG00000163634	15	0	0	0	0	NA	NA	NA
ENST00000273668.7	ENSG00000145088	77	0	0	0	0	NA	NA	NA
ENST00000342480.7	ENSG00000114631	35	0	0	0	0	NA	NA	NA
ENST00000254730.11	ENSG00000132394	27	0	0	0	0	NA	NA	NA
ENST00000476781.6	ENSG00000136522	14	0	1	1	0	NA	4	NA
ENST00000307944.6	ENSG00000213139	54	0	1	1	0	NA	43	NA
ENST00000324642.4	ENSG00000164363	97	0	0	0	0	NA	NA	NA
ENST00000396027.9	ENSG00000152422	79	0	0	0	0	NA	NA	NA
ENST00000282611.8	ENSG00000152705	85	1	0	1	8	8	47	11
ENST00000305264.8	ENSG00000171720	59	0	0	0	0	NA	NA	NA
ENST00000438763.7	ENSG00000241106	51	0	0	0	0	NA	NA	NA
ENST00000372876.2	ENSG00000124659	30	0	0	0	0	NA	NA	NA
ENST00000369798.7	ENSG00000112742	67	0	0	0	0	NA	NA	NA
ENST00000326499.11	ENSG00000112303	21	0	0	0	0	NA	NA	NA
ENST00000344962.9	ENSG00000188732	20	0	0	0	0	NA	NA	NA
ENST00000297533.9	ENSG00000164897	90	1	0	1	9	9	38	22
ENST00000276585.9	ENSG00000147586	11	0	0	0	0	NA	NA	NA
ENST00000448384.3	ENSG00000214954	43	0	1	1	0	NA	8	NA
ENST00000257497.11	ENSG00000135046	74	0	0	0	0	NA	NA	NA
ENST00000323927.3	ENSG00000176248	28	0	0	0	0	NA	NA	NA
ENST00000380554.5	ENSG00000196139	31	0	0	0	0	NA	NA	NA
ENST00000378372.8	ENSG00000187522	97	1	0	1	7	7	20	53
ENST00000299166.9	ENSG00000166136	20	0	0	0	0	NA	NA	NA
ENST00000397298.8	ENSG00000214026	31	0	0	0	0	NA	NA	NA
ENST00000241051.8	ENSG00000121690	78	0	0	0	0	NA	NA	NA
ENST00000263774.9	ENSG00000213619	18	0	0	0	0	NA	NA	NA
ENST00000265471.10	ENSG00000149541	39	0	0	0	0	NA	NA	NA
ENST00000280350.10	ENSG00000150773	69	0	0	0	0	NA	NA	NA
ENST00000329406.5	ENSG00000183395	63	1	0	1	5	5	43	2
ENST00000229379.3	ENSG00000111775	14	0	0	0	0	NA	NA	NA
ENST00000299601.10	ENSG00000166477	33	0	0	0	0	NA	NA	NA
ENST00000219409.8	ENSG00000242173	90	0	0	0	0	NA	NA	NA
ENST00000394863.8	ENSG00000140682	37	0	0	0	0	NA	NA	NA
ENST00000458121.7	ENSG00000102981	79	0	0	0	0	NA	NA	NA
ENST00000302422.4	ENSG00000205544	13	0	0	0	0	NA	NA	NA
ENST00000293831.13	ENSG00000161960	17	0	0	0	0	NA	NA	NA
ENST00000261652.7	ENSG00000240505	43	0	0	0	0	NA	NA	NA
ENST00000422514.7	ENSG00000198242	21	0	0	0	0	NA	NA	NA
ENST00000314144.10	ENSG00000132141	67	0	0	0	0	NA	NA	NA
ENST00000333213.11	ENSG00000182173	33	0	0	0	0	NA	NA	NA
ENST00000300784.8	ENSG00000167363	22	0	0	0	0	NA	NA	NA
ENST00000233997.4	ENSG00000172232	10	0	0	0	0	NA	NA	NA
ENST00000233627.14	ENSG00000115286	20	0	0	0	0	NA	NA	NA
ENST00000300961.10	ENSG00000167476	65	0	0	0	0	NA	NA	NA
ENST00000292672.7	ENSG00000161082	79	0	0	0	0	NA	NA	NA
ENST00000294618.12	ENSG00000130158	84	0	0	0	0	NA	NA	NA
ENST00000291842.10	ENSG00000160410	27	0	0	0	0	NA	NA	NA
ENST00000270221.11	ENSG00000142227	74	0	0	0	0	NA	NA	NA
ENST00000345358.12	ENSG00000087088	54	0	0	0	0	NA	NA	NA
ENST00000376112.4	ENSG00000125968	99	0	0	0	0	NA	NA	NA
ENST00000217182.6	ENSG00000101210	97	0	0	0	0	NA	NA	NA
ENST00000300527.9	ENSG00000142173	89	0	0	0	0	NA	NA	NA
ENST00000248958.5	ENSG00000128228	35	0	0	0	0	NA	NA	NA
ENST00000216254.9	ENSG00000100412	30	0	1	1	0	NA	1	NA
ENST00000380903.7	ENSG00000073169	26	0	0	0	0	NA	NA	NA
ENST00000156109.7	ENSG00000068394	13	0	0	0	0	NA	NA	NA
ENST00000373829.8	ENSG00000147166	57	0	0	0	0	NA	NA	NA
