jobid	jobname	maxrss	maxvmsize	elapsed	state
5603926_0.batch	batch	6330884K	7546108K	00:14:55	COMPLETED
5603926_0.extern	extern	0	0	00:14:55	COMPLETED
5603926_1.batch	batch	6049912K	7870824K	00:14:06	COMPLETED
5603926_1.extern	extern	28K	28K	00:14:06	COMPLETED
5603926_2.batch	batch	6701552K	7852292K	00:15:26	COMPLETED
5603926_2.extern	extern	52K	52K	00:15:26	COMPLETED
5603926_3.batch	batch	6310544K	7534072K	00:14:54	COMPLETED
5603926_3.extern	extern	0	0	00:14:54	COMPLETED
5603926_4.batch	batch	6702568K	7861548K	00:15:26	COMPLETED
5603926_4.extern	extern	0	0	00:15:26	COMPLETED
5603926_5.batch	batch	6252064K	7475572K	00:14:54	COMPLETED
5603926_5.extern	extern	0	0	00:14:54	COMPLETED
5603926_6.batch	batch	6124552K	7344064K	00:14:56	COMPLETED
5603926_6.extern	extern	0	0	00:14:56	COMPLETED
5603926_7.batch	batch	6702384K	7862140K	00:15:25	COMPLETED
5603926_7.extern	extern	28K	28K	00:15:25	COMPLETED
5603926_8.batch	batch	6327152K	7550752K	00:14:54	COMPLETED
5603926_8.extern	extern	0	0	00:14:54	COMPLETED
5603926_9.batch	batch	6704140K	7863812K	00:15:25	COMPLETED
5603926_9.extern	extern	0	0	00:15:25	COMPLETED
