jobid	jobname	maxrss	maxvmsize	elapsed	state
5579059_0.batch	batch	6700672K	7862012K	00:15:28	COMPLETED
5579059_0.extern	extern	0	0	00:15:28	COMPLETED
5579059_1.batch	batch	6702352K	7862192K	00:15:33	COMPLETED
5579059_1.extern	extern	0	0	00:15:33	COMPLETED
5579059_2.batch	batch	6702424K	7861456K	00:15:25	COMPLETED
5579059_2.extern	extern	100K	100K	00:15:25	COMPLETED
5579059_3.batch	batch	6703848K	7863468K	00:15:22	COMPLETED
5579059_3.extern	extern	8K	8K	00:15:22	COMPLETED
5579059_4.batch	batch	6699872K	7847996K	00:15:25	COMPLETED
5579059_4.extern	extern	76K	76K	00:15:25	COMPLETED
5579059_5.batch	batch	6699280K	7858920K	00:15:25	COMPLETED
5579059_5.extern	extern	4K	4K	00:15:25	COMPLETED
5579059_6.batch	batch	6703208K	7862592K	00:15:26	COMPLETED
5579059_6.extern	extern	64K	64K	00:15:26	COMPLETED
5579059_7.batch	batch	6700076K	7859616K	00:15:23	COMPLETED
5579059_7.extern	extern	40K	40K	00:15:23	COMPLETED
5579059_8.batch	batch	6700516K	7860080K	00:15:28	COMPLETED
5579059_8.extern	extern	76K	76K	00:15:28	COMPLETED
5579059_9.batch	batch	6703640K	7851904K	00:15:26	COMPLETED
5579059_9.extern	extern	0	0	00:15:26	COMPLETED
