jobid	jobname	maxrss	maxvmsize	elapsed	state
5473715_0.batch	batch	6046968K	7879180K	00:13:33	COMPLETED
5473715_0.extern	extern	24K	24K	00:13:33	COMPLETED
5473715_1.batch	batch	6052456K	7847988K	00:13:34	COMPLETED
5473715_1.extern	extern	32K	32K	00:13:34	COMPLETED
5473715_2.batch	batch	6048712K	7844084K	00:13:33	COMPLETED
5473715_2.extern	extern	68K	68K	00:13:33	COMPLETED
5473715_3.batch	batch	6047212K	7876844K	00:13:32	COMPLETED
5473715_3.extern	extern	28K	28K	00:13:32	COMPLETED
5473715_4.batch	batch	6047200K	7911040K	00:13:30	COMPLETED
5473715_4.extern	extern	28K	28K	00:13:30	COMPLETED
5473715_5.batch	batch	6049392K	7878604K	00:13:31	COMPLETED
5473715_5.extern	extern	32K	32K	00:13:31	COMPLETED
5473715_6.batch	batch	6049648K	7909920K	00:13:28	COMPLETED
5473715_6.extern	extern	44K	44K	00:13:28	COMPLETED
5473715_7.batch	batch	6047576K	7843028K	00:13:34	COMPLETED
5473715_7.extern	extern	52K	52K	00:13:34	COMPLETED
5473715_8.batch	batch	6049048K	7727.50M	00:13:29	COMPLETED
5473715_8.extern	extern	24K	24K	00:13:29	COMPLETED
5473715_9.batch	batch	5912M	7883444K	00:13:32	COMPLETED
5473715_9.extern	extern	24K	24K	00:13:32	COMPLETED
