jobid	jobname	maxrss	maxvmsize	elapsed	state
5591857_0.batch	batch	6701868K	7861448K	00:15:37	COMPLETED
5591857_0.extern	extern	0	0	00:15:37	COMPLETED
5591857_1.batch	batch	6700792K	7851408K	00:15:32	COMPLETED
5591857_1.extern	extern	0	0	00:15:32	COMPLETED
5591857_2.batch	batch	6698704K	7846812K	00:15:25	COMPLETED
5591857_2.extern	extern	24K	24K	00:15:25	COMPLETED
5591857_3.batch	batch	6696956K	7856536K	00:15:28	COMPLETED
5591857_3.extern	extern	0	0	00:15:28	COMPLETED
5591857_4.batch	batch	6704740K	7864472K	00:15:27	COMPLETED
5591857_4.extern	extern	24K	24K	00:15:27	COMPLETED
5591857_5.batch	batch	6698848K	7858384K	00:15:27	COMPLETED
5591857_5.extern	extern	0	0	00:15:27	COMPLETED
5591857_6.batch	batch	6704184K	7852248K	00:15:29	COMPLETED
5591857_6.extern	extern	72K	72K	00:15:29	COMPLETED
5591857_7.batch	batch	6703120K	7862700K	00:15:28	COMPLETED
5591857_7.extern	extern	0	0	00:15:28	COMPLETED
5591857_8.batch	batch	6699084K	7847252K	00:15:28	COMPLETED
5591857_8.extern	extern	0	0	00:15:28	COMPLETED
5591857_9.batch	batch	6702016K	7861728K	00:15:27	COMPLETED
5591857_9.extern	extern	0	0	00:15:27	COMPLETED
