jobid	jobname	maxrss	maxvmsize	elapsed	state
5509128_0.batch	batch	6048924K	7878588K	00:13:31	COMPLETED
5509128_0.extern	extern	60K	60K	00:13:31	COMPLETED
5509128_1.batch	batch	6046096K	7874864K	00:13:31	COMPLETED
5509128_1.extern	extern	56K	56K	00:13:31	COMPLETED
5509128_2.batch	batch	6047208K	7876824K	00:13:31	COMPLETED
5509128_2.extern	extern	0	0	00:13:32	COMPLETED
5509128_3.batch	batch	6048224K	7921040K	00:13:39	COMPLETED
5509128_3.extern	extern	80K	80K	00:13:39	COMPLETED
5509128_4.batch	batch	6046096K	7909824K	00:13:35	COMPLETED
5509128_4.extern	extern	0	0	00:13:35	COMPLETED
5509128_5.batch	batch	6048964K	7872972K	00:13:31	COMPLETED
5509128_5.extern	extern	0	0	00:13:31	COMPLETED
5509128_6.batch	batch	6047212K	7910200K	00:13:30	COMPLETED
5509128_6.extern	extern	0	0	00:13:30	COMPLETED
5509128_7.batch	batch	6047856K	7877556K	00:13:30	COMPLETED
5509128_7.extern	extern	0	0	00:13:30	COMPLETED
5509128_8.batch	batch	6048052K	7877672K	00:13:32	COMPLETED
5509128_8.extern	extern	0	0	00:13:32	COMPLETED
5509128_9.batch	batch	6048316K	7878004K	00:13:32	COMPLETED
5509128_9.extern	extern	0	0	00:13:32	COMPLETED
