jobid	jobname	maxrss	maxvmsize	elapsed	state
5474649_0.batch	batch	6051188K	7911384K	00:13:29	COMPLETED
5474649_0.extern	extern	28K	28K	00:13:29	COMPLETED
5474649_1.batch	batch	6050240K	7879952K	00:13:31	COMPLETED
5474649_1.extern	extern	56K	56K	00:13:31	COMPLETED
5474649_2.batch	batch	6052748K	7916800K	00:13:28	COMPLETED
5474649_2.extern	extern	44K	44K	00:13:28	COMPLETED
5474649_3.batch	batch	6049264K	7873852K	00:13:33	COMPLETED
5474649_3.extern	extern	60K	60K	00:13:33	COMPLETED
5474649_4.batch	batch	6051168K	7915024K	00:13:31	COMPLETED
5474649_4.extern	extern	40K	40K	00:13:31	COMPLETED
5474649_5.batch	batch	6047000K	7765532K	00:13:26	COMPLETED
5474649_5.extern	extern	64K	64K	00:13:26	COMPLETED
5474649_6.batch	batch	6052248K	7916212K	00:13:30	COMPLETED
5474649_6.extern	extern	52K	52K	00:13:30	COMPLETED
5474649_7.batch	batch	6048708K	7768048K	00:13:27	COMPLETED
5474649_7.extern	extern	68K	68K	00:13:27	COMPLETED
5474649_8.batch	batch	6048020K	7911124K	00:13:30	COMPLETED
5474649_8.extern	extern	56K	56K	00:13:30	COMPLETED
5474649_9.batch	batch	6049388K	7910976K	00:13:28	COMPLETED
5474649_9.extern	extern	64K	64K	00:13:28	COMPLETED
