jobid	jobname	maxrss	maxvmsize	elapsed	state
5505958_0.batch	batch	6051092K	7915132K	00:13:30	COMPLETED
5505958_0.extern	extern	64K	64K	00:13:30	COMPLETED
5505958_1.batch	batch	6049296K	7844720K	00:13:37	COMPLETED
5505958_1.extern	extern	80K	80K	00:13:37	COMPLETED
5505958_2.batch	batch	6046656K	7910624K	00:13:30	COMPLETED
5505958_2.extern	extern	24K	24K	00:13:30	COMPLETED
5505958_3.batch	batch	6048648K	7923528K	00:13:39	COMPLETED
5505958_3.extern	extern	92K	92K	00:13:39	COMPLETED
5505958_4.batch	batch	6049964K	7879212K	00:13:31	COMPLETED
5505958_4.extern	extern	28K	28K	00:13:31	COMPLETED
5505958_5.batch	batch	6050288K	7925700K	00:13:38	COMPLETED
5505958_5.extern	extern	100K	100K	00:13:38	COMPLETED
5505958_6.batch	batch	6048900K	7911268K	00:13:30	COMPLETED
5505958_6.extern	extern	28K	28K	00:13:30	COMPLETED
5505958_7.batch	batch	6051220K	7926468K	00:13:38	COMPLETED
5505958_7.extern	extern	92K	92K	00:13:38	COMPLETED
5505958_8.batch	batch	6050032K	7913168K	00:13:31	COMPLETED
5505958_8.extern	extern	28K	28K	00:13:31	COMPLETED
5505958_9.batch	batch	6048424K	7843876K	00:13:37	COMPLETED
5505958_9.extern	extern	72K	72K	00:13:37	COMPLETED
