accession,bits_score,start,end,description,species,tax_id
D00530.1,57.6,3508,3559,"Potato leafroll virus genes for 28K, 70K, 17K and 53K proteins, RNA-dependent RNA polymerase and coat protein, complete and partial cds.",Potato leafroll virus (STRAIN 1),12046
KY038943.1,57.3,3500,3551,"Tobacco virus 2, complete genome.",Tobacco virus 2,1972995
KP326573.1,57,3445,3497,"KP326573.1 Pepper vein yellows virus isolate HN, complete genome",Pepper vein yellows virus,909827
KT962999.2,56,3527,3578,"KT962999.2 Phasey bean mild yellows virus isolate NSWCP15, complete genome",Phasey bean mild yellows virus,1756832
OP067680.1,53.8,3756,3807,"OP067680.1 Cnidium polerovirus 1 isolate SK, complete genome",Cnidium polerovirus 1,3019006
L25299.1,52.7,3565,3614,Cereal yellow dwarf virus - RPV complete genome.,Cereal yellow dwarf virus - RPV,191217
KT962089.1,52.6,3328,3378,"Barley virus G isolate Gimje, complete genome.",Barley virus G,1825924
X76931.1,52.2,3321,3371,Cucurbit aphid-borne yellows virus genomic RNA,Cucurbit aphid-borne yellows virus,91753
AF352024.1,50.7,3424,3475,"Beet chlorosis virus isolate BChV-2a, complete genome.",Beet chlorosis virus,131082
X83110.1,50,3413,3465,X83110.1 Beet mild yellowing virus genomic RNA,Beet mild yellowing virus,156690
KX882909.1,49.8,3357,3412,"Hubei polero-like virus 1 strain WHCC118254 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds.",Hubei polero-like virus 1,1923169
AF473561.1,49.7,3346,3394,"Beet western yellows virus strain USA, complete genome.",Beet western yellows virus,12042
LC428352.1,49.7,3349,3397,"LC428352.1 Beet leaf yellowing virus TB RNA, complete genome",Beet leaf yellowing virus,2480685
KX882844.1,48.8,3705,3755,"Hubei polero-like virus 2 strain QTM26674 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, hypothetical protein 4, and hypothetical protein 5 genes, complete cds.",Hubei polero-like virus 2,1923170
KC921392.1,48,3335,3386,"KC921392.1 Maize yellow dwarf virus-RMV, complete genome",Maize yellow dwarf virus RMV (),2170101
