jobid	jobname	maxrss	maxvmsize	elapsed	state
5707356_0.batch	batch	7626668K	8860644K	00:16:22	COMPLETED
5707356_0.extern	extern	0	0	00:16:22	COMPLETED
5707356_1.batch	batch	6048960K	7908848K	00:13:28	COMPLETED
5707356_1.extern	extern	64K	64K	00:13:29	COMPLETED
5707356_2.batch	batch	6048516K	7874740K	00:13:31	COMPLETED
5707356_2.extern	extern	56K	56K	00:13:31	COMPLETED
5707356_3.batch	batch	6047208K	7874304K	00:13:31	COMPLETED
5707356_3.extern	extern	72K	72K	00:13:31	COMPLETED
5707356_4.batch	batch	6050876K	7880284K	00:13:32	COMPLETED
5707356_4.extern	extern	64K	64K	00:13:32	COMPLETED
5707356_5.batch	batch	6049608K	7913216K	00:13:30	COMPLETED
5707356_5.extern	extern	68K	68K	00:13:30	COMPLETED
5707356_6.batch	batch	6050940K	7911436K	00:13:31	COMPLETED
5707356_6.extern	extern	68K	68K	00:13:31	COMPLETED
5707356_7.batch	batch	6050264K	7913896K	00:13:30	COMPLETED
5707356_7.extern	extern	68K	68K	00:13:30	COMPLETED
5707356_8.batch	batch	6052428K	7878304K	00:13:32	COMPLETED
5707356_8.extern	extern	64K	64K	00:13:32	COMPLETED
5707356_9.batch	batch	6053260K	7916292K	00:13:30	COMPLETED
5707356_9.extern	extern	68K	68K	00:13:30	COMPLETED
