jobid	jobname	maxrss	maxvmsize	elapsed	state
5682396_0.batch	batch	6698960K	7858496K	00:15:28	COMPLETED
5682396_0.extern	extern	92K	92K	00:15:28	COMPLETED
5682396_1.batch	batch	6386560K	7632016K	00:14:47	COMPLETED
5682396_1.extern	extern	28K	28K	00:14:47	COMPLETED
5682396_2.batch	batch	6381436K	7626668K	00:14:47	COMPLETED
5682396_2.extern	extern	0	0	00:14:47	COMPLETED
5682396_3.batch	batch	6701152K	7860704K	00:15:30	COMPLETED
5682396_3.extern	extern	0	0	00:15:30	COMPLETED
5682396_4.batch	batch	6338800K	7547216K	00:14:49	COMPLETED
5682396_4.extern	extern	0	0	00:14:49	COMPLETED
5682396_5.batch	batch	6698096K	7857656K	00:15:27	COMPLETED
5682396_5.extern	extern	24K	24K	00:15:27	COMPLETED
5682396_6.batch	batch	6380884K	7626216K	00:14:46	COMPLETED
5682396_6.extern	extern	0	0	00:14:46	COMPLETED
5682396_7.batch	batch	6705116K	7926412K	00:15:40	COMPLETED
5682396_7.extern	extern	100K	100K	00:15:40	COMPLETED
5682396_8.batch	batch	6330128K	7542848K	00:14:50	COMPLETED
5682396_8.extern	extern	0	0	00:14:50	COMPLETED
5682396_9.batch	batch	6697628K	7845732K	00:15:28	COMPLETED
5682396_9.extern	extern	64K	64K	00:15:28	COMPLETED
