jobid	jobname	maxrss	maxvmsize	elapsed	state
5683575_0.batch	batch	6699940K	7951012K	00:15:40	COMPLETED
5683575_0.extern	extern	24K	24K	00:15:40	COMPLETED
5683575_1.batch	batch	6381472K	7625944K	00:14:46	COMPLETED
5683575_1.extern	extern	28K	28K	00:14:46	COMPLETED
5683575_2.batch	batch	6384352K	7629708K	00:14:47	COMPLETED
5683575_2.extern	extern	0	0	00:14:47	COMPLETED
5683575_3.batch	batch	6700012K	7848132K	00:15:41	COMPLETED
5683575_3.extern	extern	0	0	00:15:41	COMPLETED
5683575_4.batch	batch	6386888K	7629404K	00:14:46	COMPLETED
5683575_4.extern	extern	4K	4K	00:14:46	COMPLETED
5683575_5.batch	batch	6701516K	7928892K	00:15:46	COMPLETED
5683575_5.extern	extern	32K	32K	00:15:46	COMPLETED
5683575_6.batch	batch	7576.50M	8929424K	00:15:21	COMPLETED
5683575_6.extern	extern	0	0	00:15:21	COMPLETED
5683575_7.batch	batch	7757476K	9837156K	00:16:25	COMPLETED
5683575_7.extern	extern	0	0	00:16:25	COMPLETED
5683575_8.batch	batch	7623908K	8869168K	00:16:51	COMPLETED
5683575_8.extern	extern	0	0	00:16:51	COMPLETED
5683575_9.batch	batch	7418144K	8650044K	00:14:51	COMPLETED
5683575_9.extern	extern	0	0	00:14:51	COMPLETED
