jobid	jobname	maxrss	maxvmsize	elapsed	state
5577432_0.batch	batch	6699888K	7868480K	00:15:33	COMPLETED
5577432_0.extern	extern	0	0	00:15:33	COMPLETED
5577432_1.batch	batch	6698708K	7849292K	00:15:28	COMPLETED
5577432_1.extern	extern	0	0	00:15:28	COMPLETED
5577432_2.batch	batch	6701396K	7849488K	00:15:28	COMPLETED
5577432_2.extern	extern	76K	76K	00:15:28	COMPLETED
5577432_3.batch	batch	6701232K	7860724K	00:15:27	COMPLETED
5577432_3.extern	extern	16K	16K	00:15:27	COMPLETED
5577432_4.batch	batch	6700508K	7848856K	00:15:30	COMPLETED
5577432_4.extern	extern	28K	28K	00:15:30	COMPLETED
5577432_5.batch	batch	6703124K	7858528K	00:15:25	COMPLETED
5577432_5.extern	extern	0	0	00:15:25	COMPLETED
5577432_6.batch	batch	6699004K	7847160K	00:15:27	COMPLETED
5577432_6.extern	extern	0	0	00:15:27	COMPLETED
5577432_7.batch	batch	6702136K	7861768K	00:15:27	COMPLETED
5577432_7.extern	extern	56K	56K	00:15:27	COMPLETED
5577432_8.batch	batch	6701352K	7849504K	00:15:29	COMPLETED
5577432_8.extern	extern	4K	4K	00:15:29	COMPLETED
5577432_9.batch	batch	6700776K	7848824K	00:15:28	COMPLETED
5577432_9.extern	extern	100K	100K	00:15:28	COMPLETED
