transcript_id	codon_AAA	codon_AAC	codon_AAG	codon_AAT	codon_ACA	codon_ACC	codon_ACG	codon_ACT	codon_AGA	codon_AGC	codon_AGG	codon_AGT	codon_ATA	codon_ATC	codon_ATG	codon_ATT	codon_CAA	codon_CAC	codon_CAG	codon_CAT	codon_CCA	codon_CCC	codon_CCG	codon_CCT	codon_CGA	codon_CGC	codon_CGG	codon_CGT	codon_CTA	codon_CTC	codon_CTG	codon_CTT	codon_GAA	codon_GAC	codon_GAG	codon_GAT	codon_GCA	codon_GCC	codon_GCG	codon_GCT	codon_GGA	codon_GGC	codon_GGG	codon_GGT	codon_GTA	codon_GTC	codon_GTG	codon_GTT	codon_TAA	codon_TAC	codon_TAG	codon_TAT	codon_TCA	codon_TCC	codon_TCG	codon_TCT	codon_TGA	codon_TGC	codon_TGG	codon_TGT	codon_TTA	codon_TTC	codon_TTG	codon_TTT	codon_other	aa_A	aa_C	aa_D	aa_E	aa_F	aa_G	aa_H	aa_I	aa_K	aa_L	aa_M	aa_N	aa_P	aa_Q	aa_R	aa_S	aa_T	aa_V	aa_W	aa_Y	cds_length_codons	n_codons_scored	n_stops	aa_total
ENSBTAT00000037243	8	6	6	2	1	6	0	4	5	8	4	3	3	6	4	2	1	5	6	2	3	6	4	2	0	0	1	0	2	3	3	2	11	6	6	3	4	6	0	3	1	2	2	0	0	5	4	0	0	3	0	5	0	3	2	2	1	0	1	2	5	4	0	9	0	13	2	9	17	13	5	7	11	14	15	4	8	15	7	10	18	11	9	1	8	198	198	1	197
ENSBTAT00000073708	9	1	12	5	3	5	3	4	1	3	2	5	1	4	8	6	2	1	4	0	3	2	1	3	2	2	1	3	2	1	7	4	7	1	6	3	6	3	1	6	4	3	0	2	5	4	6	7	1	2	0	3	2	3	1	8	0	2	0	0	3	4	8	3	0	16	2	4	13	7	9	1	11	21	25	8	6	9	6	11	22	15	22	0	5	214	214	1	213
ENSBTAT00000049667	16	7	11	13	15	10	4	9	8	6	6	9	5	10	15	9	9	8	13	9	13	14	12	17	7	14	12	4	4	14	18	8	18	9	24	14	9	18	10	12	12	18	11	7	8	1	10	6	0	3	0	7	6	7	3	18	1	4	10	5	9	10	11	11	0	49	9	23	42	21	48	17	24	27	64	15	20	56	22	51	49	38	25	10	10	621	621	1	620
ENSBTAT00000011175	65	20	46	31	65	40	12	48	47	43	36	43	20	11	122	30	25	7	69	27	86	30	16	91	18	17	20	16	21	10	39	19	100	37	123	60	84	28	16	74	35	14	36	22	42	17	70	32	0	13	0	25	77	57	21	100	1	2	6	9	51	11	49	21	0	202	11	97	223	32	107	34	61	111	189	122	51	223	94	154	341	165	161	6	38	2423	2423	1	2422
ENSBTAT00000116578	42	11	20	20	11	13	7	24	16	8	11	8	8	21	20	30	11	7	28	11	15	13	0	17	5	1	4	6	6	19	26	24	36	23	33	26	33	35	3	35	37	19	17	27	16	22	24	24	0	7	0	7	13	7	1	19	1	11	7	16	15	20	13	18	0	106	27	49	69	38	100	18	59	62	103	20	31	45	39	43	56	55	86	7	14	1028	1028	1	1027
ENSBTAT00000133069	25	6	13	13	8	3	1	11	12	1	6	8	13	4	12	11	11	4	14	5	5	2	2	5	4	0	2	3	2	4	8	5	24	6	7	14	9	4	0	4	6	3	4	4	2	4	5	7	0	7	0	6	6	2	0	5	1	0	4	3	4	3	2	12	0	17	3	20	31	15	17	9	28	38	25	12	19	14	25	27	22	23	18	4	13	381	381	1	380
ENSBTAT00000001660	1	2	1	5	3	3	0	3	5	3	0	1	4	3	6	3	1	1	3	1	2	0	2	0	1	0	0	1	2	2	4	1	2	2	5	3	5	2	0	8	3	2	1	7	1	0	7	4	0	1	0	4	1	2	0	2	1	1	7	3	0	6	4	11	0	15	4	5	7	17	13	2	10	2	13	6	7	4	4	7	9	9	12	7	5	159	159	1	158
ENSBTAT00000080092	7	12	15	3	7	9	4	3	4	13	7	7	2	9	1	4	6	6	11	2	10	6	6	7	2	1	3	2	0	7	16	4	13	8	10	10	8	11	2	10	9	4	8	1	2	7	12	7	0	8	0	6	4	5	4	8	1	3	12	7	6	9	4	7	0	31	10	18	23	16	22	8	15	22	37	1	15	29	17	19	41	23	28	12	14	402	402	1	401
ENSBTAT00000029080	26	14	10	21	5	7	5	19	10	10	4	16	12	10	6	17	10	3	6	5	11	4	4	10	2	1	1	4	7	6	11	4	36	7	17	17	10	4	1	9	10	1	4	4	4	14	12	15	0	4	0	17	15	8	0	13	1	3	12	9	3	4	5	22	0	24	12	24	53	26	19	8	39	36	36	6	35	29	16	22	62	36	45	12	21	562	562	1	561
ENSBTAT00000003986	49	15	25	28	14	7	1	14	14	9	10	15	11	10	18	22	13	7	28	8	8	14	18	11	12	10	9	7	5	11	20	21	58	19	37	41	18	18	4	10	13	18	14	9	8	7	14	14	0	13	1	16	19	10	3	19	0	2	8	7	11	13	17	18	0	50	9	60	95	31	54	15	43	74	85	18	43	51	41	62	75	36	43	8	29	923	923	1	922
ENSBTAT00000027668	16	21	34	8	5	16	5	2	6	20	13	2	4	20	16	7	4	13	25	6	6	31	13	14	6	12	7	2	3	21	41	5	13	25	29	11	4	26	12	5	7	24	14	4	0	8	25	2	1	15	0	4	1	22	5	4	0	8	4	6	1	15	8	6	0	47	14	36	42	21	49	19	31	50	79	16	29	64	29	46	54	28	35	4	19	713	713	1	712
ENSBTAT00000083963	29	20	28	20	19	10	4	22	25	6	17	11	11	10	26	23	27	10	61	13	64	28	27	75	20	4	8	9	2	9	10	20	39	24	23	26	23	27	2	31	28	18	16	17	14	7	23	23	1	3	0	12	14	10	1	31	0	0	7	6	6	15	8	21	0	83	6	50	62	36	79	23	44	57	55	26	40	194	88	83	73	55	67	7	15	1144	1144	1	1143
ENSBTAT00000032452	6	3	6	5	9	2	3	5	1	4	5	5	3	5	3	8	6	5	7	4	3	11	5	7	4	5	8	5	2	5	7	0	8	8	6	7	2	8	8	4	16	14	6	9	3	7	8	7	1	2	0	2	5	6	1	3	0	3	1	6	2	6	7	8	0	22	9	15	14	14	45	9	16	12	23	3	8	26	13	28	24	19	25	1	4	331	331	1	330
ENSBTAT00000023716	17	8	37	4	2	10	7	10	7	14	12	8	1	16	13	6	5	9	25	7	4	12	8	7	6	9	6	0	1	10	33	15	18	22	34	19	10	21	8	12	8	7	7	2	6	11	13	5	0	8	0	5	2	15	6	6	1	6	6	4	2	13	6	13	0	51	10	41	52	26	24	16	23	54	67	13	12	31	30	40	51	29	35	6	13	625	625	1	624
ENSBTAT00000005416	24	8	25	8	5	9	12	13	7	16	9	16	5	10	6	11	11	11	33	2	5	19	5	17	6	7	7	1	2	9	27	6	28	28	42	18	11	17	10	16	8	21	4	6	2	8	22	2	1	13	0	2	11	14	8	12	0	17	3	18	11	10	13	14	0	54	35	46	70	24	39	13	26	49	68	6	16	46	44	37	77	39	34	3	15	742	742	1	741
ENSBTAT00000096559	24	11	17	14	14	2	2	9	8	0	4	4	11	5	18	13	9	3	7	12	2	2	1	12	1	0	2	2	4	8	16	12	28	6	16	24	19	11	4	22	19	9	1	13	14	6	14	20	1	6	0	7	6	3	2	13	0	5	4	5	6	2	6	13	0	56	10	30	44	15	42	15	29	41	52	18	25	17	16	17	28	27	54	4	13	554	554	1	553
ENSBTAT00000026801	52	19	29	38	15	6	6	17	19	4	4	18	10	5	18	16	20	7	22	17	13	2	1	16	5	2	4	0	8	6	13	21	60	10	23	37	15	8	1	16	13	8	5	11	9	7	16	20	1	10	0	11	13	8	1	13	0	5	5	19	12	7	17	14	0	40	24	47	83	21	37	24	31	81	77	18	57	32	42	34	57	44	52	5	21	828	828	1	827
ENSBTAT00000026800	10	6	5	6	4	3	1	2	7	4	4	8	1	6	10	8	3	3	9	3	4	0	0	8	3	1	1	0	1	7	12	2	17	8	12	3	6	8	0	3	6	3	3	5	2	5	4	8	0	7	0	1	4	3	0	6	1	1	5	6	6	4	2	10	0	17	7	11	29	14	17	6	15	15	30	10	12	12	12	16	25	10	19	5	8	291	291	1	290
ENSBTAT00000074692	7	5	4	2	3	4	4	4	4	2	3	2	6	0	5	5	6	2	2	3	8	5	3	6	0	6	1	2	3	6	7	7	11	5	6	5	9	6	7	4	3	10	5	4	1	8	9	3	0	2	1	3	3	2	1	3	0	2	2	3	2	6	6	2	0	26	5	10	17	8	22	5	11	11	31	5	7	22	8	16	13	15	21	2	5	261	261	1	260
ENSBTAT00000000944	20	15	32	13	10	23	11	14	12	23	9	5	6	16	13	8	7	24	35	6	7	29	18	10	6	14	14	1	4	17	35	5	12	35	37	23	8	39	26	9	28	37	16	11	3	13	31	7	1	15	0	6	6	21	7	8	0	23	14	24	5	25	11	8	0	82	47	58	49	33	92	30	30	52	77	13	28	64	42	56	70	58	54	14	21	971	971	1	970
ENSBTAT00000085054	15	24	27	7	6	30	9	5	4	5	7	7	3	17	24	5	7	15	29	11	8	13	2	13	7	9	4	4	4	10	23	8	43	25	51	22	14	31	5	12	9	15	9	5	1	15	36	15	0	13	1	7	2	8	4	8	0	11	9	7	3	12	8	8	0	62	18	47	94	20	38	26	25	42	56	24	31	36	36	35	34	50	67	9	20	771	771	1	770
ENSBTAT00000025345	14	6	14	8	12	2	6	9	6	4	4	10	9	8	7	17	17	4	17	4	8	3	2	5	5	0	1	4	5	5	14	10	31	8	14	18	13	4	6	11	13	4	2	2	11	5	5	10	0	5	0	6	4	2	1	5	1	3	8	6	3	1	6	7	0	34	9	26	45	8	21	8	34	28	43	7	14	18	34	20	26	29	31	8	11	455	455	1	454
ENSBTAT00000001832	12	11	16	8	5	3	1	4	1	3	2	5	5	3	5	6	10	7	12	10	7	2	0	2	3	1	1	0	1	7	8	4	14	6	11	9	5	3	0	2	4	4	1	4	5	2	2	5	0	1	0	5	5	3	4	6	1	4	3	6	7	2	6	7	0	10	10	15	25	9	13	17	14	28	33	5	19	11	22	8	26	13	14	3	6	302	302	1	301
ENSBTAT00000024895	15	3	9	12	3	4	0	1	4	3	3	2	3	1	5	7	3	6	3	3	11	3	3	10	2	2	1	1	2	1	4	3	12	3	7	8	3	4	1	4	5	2	1	1	3	4	6	6	0	4	1	7	3	3	1	3	0	3	5	5	2	4	4	5	0	12	8	11	19	9	9	9	11	24	16	5	15	27	6	13	15	8	19	5	11	253	253	1	252
ENSBTAT00000067490	18	4	13	10	8	4	3	6	7	5	1	5	6	4	8	12	2	2	13	4	8	3	3	12	3	3	0	1	1	5	12	5	17	10	3	10	1	7	4	7	9	3	7	5	3	4	12	8	0	6	1	9	12	10	0	4	0	4	3	4	5	1	5	6	0	19	8	20	20	7	24	6	22	31	33	8	14	26	15	15	36	21	27	3	15	371	371	1	370
