transcript_id	gene_id	strand	n_exons	n_internal_exons	first_exon_length	last_exon_length	internal_exon_mean	internal_exon_median	internal_exon_sd	intron_mean	intron_median	intron_sd
ENSBTAT00000037243	ENSBTAG00000020035	+	4	2	309	1774	167.0	167.0	9.899494936611665	2976.0	3183	363.7430411705494
ENSBTAT00000073708	ENSBTAG00000018278	+	6	4	1424	179	110.25	112.0	17.68945071692919	1056.6	946	705.4759386400077
ENSBTAT00000049667	ENSBTAG00000035175	+	10	8	682	800	155.25	179.0	56.26150675957002	858.8888888888889	902	347.5677791612898
ENSBTAT00000011175	ENSBTAG00000008482	-	12	10	276	1061	713.2	147.5	1824.170057861931	2057.818181818182	1755	2047.0390723277276
ENSBTAT00000116578	ENSBTAG00000009188	+	22	20	132	783	144.1	134.5	51.380827880486805	1068.2857142857142	969	934.7371899553982
ENSBTAT00000133069	ENSBTAG00000009187	+	2	0	619	3658	NA	NA	NA	942.0	942	NA
ENSBTAT00000001660	ENSBTAG00000001258	+	8	6	108	1475	339.8333333333333	103.0	601.9260475063915	4745.428571428572	2775	4817.757564716281
ENSBTAT00000080092	ENSBTAG00000012899	-	7	5	318	1023	161.2	158	28.82186669874108	3750.3333333333335	3958.5	2210.90765674794
ENSBTAT00000029080	ENSBTAG00000021819	-	11	9	258	1662	152.55555555555554	151	26.78670897624002	2515.6	1901.0	2401.5631113459785
ENSBTAT00000003986	ENSBTAG00000003064	+	18	16	557	1975	143.3125	137.0	47.51942585231153	1658.8235294117646	1260	1362.0744856327663
ENSBTAT00000027668	ENSBTAG00000020762	-	11	9	463	1651	136.11111111111111	136	74.42688433026812	12564.4	7062.0	12222.151921818024
ENSBTAT00000083963	ENSBTAG00000018855	+	20	18	443	1310	136.38888888888889	148.5	43.333371040707576	3039.1052631578946	689	5791.8936348307525
ENSBTAT00000032452	ENSBTAG00000018854	-	5	3	629	426	93.0	91	24.06241883103193	1953.0	1693.5	1172.702576672079
ENSBTAT00000023716	ENSBTAG00000048631	+	13	11	443	780	119.54545454545455	109	42.33287997848395	3881.1666666666665	3375.0	3645.494824458199
ENSBTAT00000005416	ENSBTAG00000004139	-	6	4	132	1448	471.25	250.5	586.8954336165856	7226.2	5308	6183.08165076283
ENSBTAT00000096559	ENSBTAG00000014233	+	16	14	119	225	115.28571428571429	110.5	41.43842247411039	784.7333333333333	573	843.5733067194124
ENSBTAT00000026801	ENSBTAG00000020122	-	18	16	63	413	150.0	103.0	142.58658188389725	1351.8823529411766	1180	999.8451681606095
ENSBTAT00000026800	ENSBTAG00000020121	+	6	4	160	1250	207.25	199.0	122.95358202725667	2111.2	1912	2077.933997989349
ENSBTAT00000074692	ENSBTAG00000001412	-	7	5	251	233	100.8	91	23.805461558222305	3319.3333333333335	3395.5	2473.692354895141
ENSBTAT00000000944	ENSBTAG00000000706	+	9	7	1180	2024	210.57142857142858	176	76.626490508303	554.875	413.5	515.7691724848571
ENSBTAT00000085054	ENSBTAG00000017753	+	18	16	207	1222	134.625	132.0	50.160907753614936	18169.0	11853	18020.94740850214
ENSBTAT00000025345	ENSBTAG00000019043	-	10	8	88	378	145.25	143.0	63.99274512451727	3714.777777777778	3903	2044.3859577986846
ENSBTAT00000001832	ENSBTAG00000001395	+	5	3	204	4811	244.66666666666666	134	255.64493606041432	6781.25	1321.0	11541.61272309897
ENSBTAT00000024895	ENSBTAG00000018704	+	5	3	175	660	175.0	179	35.17101079013795	4411.75	4653.0	689.3012766562963
ENSBTAT00000067490	ENSBTAG00000004869	-	7	5	58	1136	158.0	156	31.144823004794873	2911.5	989.0	3312.414451725508
ENSBTAT00000109948	ENSBTAG00000019314	-	26	24	244	1174	131.54166666666666	126.0	49.13953439522713	6299.88	4125	6755.247024350775
ENSBTAT00000114020	ENSBTAG00000047293	+	4	2	3947	8039	102.5	102.5	28.991378028648448	32006.666666666668	28555	14238.808388813066
ENSBTAT00000139161	ENSBTAG00000073338	+	5	3	33	4160	241.0	214	89.60468737739114	2011.25	2184.5	807.7133876980539
ENSBTAT00000101606	ENSBTAG00000009851	-	32	30	386	1692	166.6	154.0	90.13269910679399	41582.290322580644	3357	111030.15600853477
ENSBTAT00000083071	ENSBTAG00000036262	-	16	14	351	1058	136.35714285714286	127.0	34.706698849861034	20585.266666666666	7680	22322.002318233866
ENSBTAT00000154212	ENSBTAG00000073909	+	6	4	37	1699	124.25	105.0	47.591140632124656	2835.8	3697	2631.8417885579674
ENSBTAT00000109204	ENSBTAG00000046959	-	3	1	1135	4339	205.0	205	NA	1232.0	1232.0	914.9961748553925
ENSBTAT00000006796	ENSBTAG00000005155	+	10	8	359	120	144.25	116.0	70.63538166427037	8849.888888888889	3173	9669.235562396394
ENSBTAT00000020876	ENSBTAG00000015728	+	6	4	139	2093	182.75	138.5	109.17073783757257	11541.2	8620	15729.58682547002
ENSBTAT00000013306	ENSBTAG00000010091	+	9	7	443	2684	82.14285714285714	69	46.73124783064886	4461.125	3650.5	3694.719298732797
ENSBTAT00000151826	ENSBTAG00000073969	+	1	0	905	905	NA	NA	NA	NA	NA	NA
ENSBTAT00000113470	ENSBTAG00000015546	-	10	8	381	452	158.375	112.0	128.34322008917005	3478.6666666666665	1817	3444.182486454514
ENSBTAT00000080474	ENSBTAG00000020996	-	5	3	363	1396	186.33333333333334	138	107.94597414138859	1320.0	1391.0	925.5067080614093
ENSBTAT00000005398	ENSBTAG00000004124	-	7	5	665	723	144.2	142	45.38391785643897	1858.5	1702.0	1214.2203671492255
ENSBTAT00000005868	ENSBTAG00000004471	+	13	11	278	504	208.1818181818182	104	307.3453491373566	6942.25	3710.5	8504.322025513637
ENSBTAT00000134326	ENSBTAG00000014889	-	17	15	243	1686	114.53333333333333	125	56.733545967930105	4954.3125	1834.5	7020.070633251017
ENSBTAT00000018161	ENSBTAG00000013664	-	5	3	243	300	1043.0	179	1500.8241069492453	27762.75	12748.0	38569.32285616813
ENSBTAT00000134465	ENSBTAG00000015010	+	20	18	108	1644	117.94444444444444	117.5	46.33315700347319	3114.4210526315787	1908	3918.0666762489077
ENSBTAT00000087123	ENSBTAG00000004833	+	10	8	79	469	91.5	91.5	21.987009151509703	1567.888888888889	1428	1317.098462952224
ENSBTAT00000019001	ENSBTAG00000014302	-	12	10	402	419	134.9	125.0	33.83111651193978	3181.2727272727275	2437	3204.26778190928
ENSBTAT00000074340	ENSBTAG00000004459	+	6	4	316	167	184.0	188.5	27.98809270624444	21526.0	9406	35688.272107234334
ENSBTAT00000068901	ENSBTAG00000016363	+	9	7	164	813	128.85714285714286	141	61.35532731944465	3790.625	3808.5	1557.6035565206296
ENSBTAT00000022522	ENSBTAG00000016932	-	24	22	99	1819	134.8181818181818	124.0	73.37096633750097	6096.608695652174	4246	6065.406100015296
ENSBTAT00000143378	ENSBTAG00000015069	+	6	4	326	908	119.5	103.5	71.38860786801584	2674.4	2679	1716.313724235753
ENSBTAT00000017903	ENSBTAG00000013460	-	11	9	906	556	259.0	180	221.8766549234056	2617.3	1164.0	3269.5043134327802
ENSBTAT00000130779	ENSBTAG00000013461	-	7	5	42	122	96.0	92	28.922309727959142	809.6666666666666	502.0	909.8106762764804
ENSBTAT00000101506	ENSBTAG00000013464	+	12	10	120	1061	250.7	151.0	254.32003023312532	1805.0	1643	1410.7366869830812
ENSBTAT00000150377	ENSBTAG00000013465	+	9	7	126	1506	208.71428571428572	101	246.49862358352314	6514.875	3926.0	7131.816647701241
ENSBTAT00000014591	ENSBTAG00000010987	+	12	10	484	1381	181.7	125.5	213.3828327990172	682.4545454545455	484	720.2566714215653
ENSBTAT00000000097	ENSBTAG00000000088	+	16	14	749	2427	121.92857142857143	123.0	44.59296992837511	15091.066666666668	2626	40283.93047121301
ENSBTAT00000062945	ENSBTAG00000013057	-	20	18	130	490	154.5	139.5	68.4064410452012	11536.736842105263	5762	17811.354283908357
ENSBTAT00000009058	ENSBTAG00000006893	+	18	16	143	589	181.0	114.5	228.50557980058167	17011.647058823528	5371	32722.44611299172
ENSBTAT00000131152	ENSBTAG00000003585	-	12	10	164	1010	94.7	91.5	94.80746571634302	5632.545454545455	1572	7029.309558749513
ENSBTAT00000007606	ENSBTAG00000005787	-	11	9	318	385	99.88888888888889	91	35.64913899536862	7187.8	3246.0	8254.179261979285
ENSBTAT00000129215	ENSBTAG00000006158	+	34	32	51	1735	116.1875	102.0	98.27625234100834	3700.181818181818	2209	5048.813421578291
ENSBTAT00000132201	ENSBTAG00000013769	+	6	4	376	3951	227.25	224.5	108.98126750348735	13681.8	6619	17883.129387777743
ENSBTAT00000068946	ENSBTAG00000001209	+	21	19	115	938	198.26315789473685	141	290.6947314634113	5763.95	2010.0	8016.221084217465
ENSBTAT00000006038	ENSBTAG00000004601	+	5	3	413	829	144.66666666666666	138	36.46002377033418	2932.0	3105.0	2004.1788010720668
ENSBTAT00000011976	ENSBTAG00000009084	-	12	10	491	245	79.1	70.0	39.90391236736345	3005.7272727272725	2679	2788.285318646895
ENSBTAT00000011977	ENSBTAG00000009085	+	7	5	200	1677	245.6	134	300.857607515582	2876.1666666666665	2150.5	2208.4852199339407
ENSBTAT00000118693	ENSBTAG00000005723	-	9	7	329	1458	161.28571428571428	132	111.30246221552376	1697.875	1656.5	1338.5859743454232
ENSBTAT00000120788	ENSBTAG00000007784	-	5	3	306	2345	107.0	120	35.34119409414458	7241.5	558.0	13536.017865925956
ENSBTAT00000055158	ENSBTAG00000002703	+	16	14	180	2341	141.14285714285714	133.5	45.632068924011264	3733.0666666666666	1505	7248.475115169956
ENSBTAT00000065613	ENSBTAG00000004971	+	17	15	100	1658	109.53333333333333	119	60.04387284866514	6001.125	2512.5	8085.661522101948
ENSBTAT00000047259	ENSBTAG00000001390	-	8	6	28	910	185.0	155.5	117.35586904795176	4112.714285714285	2407	3196.6278958868365
ENSBTAT00000071475	ENSBTAG00000000210	+	12	10	732	3679	182.6	134.0	151.70893183988872	10315.818181818182	4006	19870.384595262276
ENSBTAT00000083926	ENSBTAG00000000213	-	10	8	281	397	169.0	171.0	93.42835299231783	3000.8888888888887	2407	2464.1058948655414
