transcript_id	gene_id	utr5_length	n_uorfs	n_overlapping_uorfs	has_uorf	total_classical_uorf_codons	max_classical_uorf_codons	dist_cap_to_first_uatg	dist_last_uorf_stop_to_main_atg
ENSBTAT00000037243	ENSBTAG00000020035	222	1	0	1	37	37	43	65
ENSBTAT00000073708	ENSBTAG00000018278	1337	17	0	1	283	50	1	46
ENSBTAT00000049667	ENSBTAG00000035175	199	0	0	0	0	NA	NA	NA
ENSBTAT00000011175	ENSBTAG00000008482	199	0	1	1	0	NA	144	NA
ENSBTAT00000116578	ENSBTAG00000009188	122	3	0	1	31	20	7	26
ENSBTAT00000133069	ENSBTAG00000009187	669	2	1	1	17	15	492	62
ENSBTAT00000001660	ENSBTAG00000001258	1716	41	1	1	1202	91	136	2
ENSBTAT00000080092	ENSBTAG00000012899	149	2	1	1	15	14	16	4
ENSBTAT00000029080	ENSBTAG00000021819	185	1	0	1	1	1	154	25
ENSBTAT00000003986	ENSBTAG00000003064	199	0	0	0	0	NA	NA	NA
ENSBTAT00000027668	ENSBTAG00000020762	199	0	0	0	0	NA	NA	NA
ENSBTAT00000083963	ENSBTAG00000018855	413	2	0	1	20	19	140	43
ENSBTAT00000032452	ENSBTAG00000018854	23	0	0	0	0	NA	NA	NA
ENSBTAT00000023716	ENSBTAG00000048631	353	4	1	1	77	30	187	24
ENSBTAT00000005416	ENSBTAG00000004139	238	3	2	1	22	11	86	54
ENSBTAT00000096559	ENSBTAG00000014233	59	0	0	0	0	NA	NA	NA
ENSBTAT00000026801	ENSBTAG00000020122	104	2	0	1	31	16	36	9
ENSBTAT00000026800	ENSBTAG00000020121	351	5	0	1	59	20	150	35
ENSBTAT00000074692	ENSBTAG00000001412	6	0	0	0	0	NA	NA	NA
ENSBTAT00000000944	ENSBTAG00000000706	441	0	0	0	0	NA	NA	NA
ENSBTAT00000085054	ENSBTAG00000017753	150	0	0	0	0	NA	NA	NA
ENSBTAT00000025345	ENSBTAG00000019043	114	0	0	0	0	NA	NA	NA
ENSBTAT00000001832	ENSBTAG00000001395	199	1	0	1	9	9	75	94
ENSBTAT00000024895	ENSBTAG00000018704	181	0	0	0	0	NA	NA	NA
ENSBTAT00000067490	ENSBTAG00000004869	NA	NA	NA	NA	NA	NA	NA	NA
ENSBTAT00000109948	ENSBTAG00000019314	199	0	0	0	0	NA	NA	NA
ENSBTAT00000114020	ENSBTAG00000047293	4507	73	0	1	1240	92	63	117
ENSBTAT00000139161	ENSBTAG00000073338	8	0	0	0	0	NA	NA	NA
ENSBTAT00000101606	ENSBTAG00000009851	437	2	1	1	79	59	113	144
ENSBTAT00000083071	ENSBTAG00000036262	199	1	0	1	3	3	40	147
ENSBTAT00000154212	ENSBTAG00000073909	NA	NA	NA	NA	NA	NA	NA	NA
ENSBTAT00000109204	ENSBTAG00000046959	1359	10	1	1	528	106	33	139
ENSBTAT00000006796	ENSBTAG00000005155	300	0	1	1	0	NA	271	NA
ENSBTAT00000020876	ENSBTAG00000015728	124	2	0	1	30	20	17	44
ENSBTAT00000013306	ENSBTAG00000010091	470	0	0	0	0	NA	NA	NA
ENSBTAT00000151826	ENSBTAG00000073969	265	3	0	1	16	9	21	166
ENSBTAT00000113470	ENSBTAG00000015546	199	2	0	1	24	13	88	69
ENSBTAT00000080474	ENSBTAG00000020996	138	0	1	1	0	NA	115	NA
ENSBTAT00000005398	ENSBTAG00000004124	124	0	0	0	0	NA	NA	NA
ENSBTAT00000005868	ENSBTAG00000004471	531	3	0	1	107	65	168	16
ENSBTAT00000134326	ENSBTAG00000014889	199	0	0	0	0	NA	NA	NA
ENSBTAT00000018161	ENSBTAG00000013664	NA	NA	NA	NA	NA	NA	NA	NA
ENSBTAT00000134465	ENSBTAG00000015010	15	0	0	0	0	NA	NA	NA
ENSBTAT00000087123	ENSBTAG00000004833	15	0	0	0	0	NA	NA	NA
ENSBTAT00000019001	ENSBTAG00000014302	75	0	0	0	0	NA	NA	NA
ENSBTAT00000074340	ENSBTAG00000004459	318	3	0	1	40	21	5	116
ENSBTAT00000068901	ENSBTAG00000016363	207	0	0	0	0	NA	NA	NA
ENSBTAT00000022522	ENSBTAG00000016932	59	0	0	0	0	NA	NA	NA
ENSBTAT00000143378	ENSBTAG00000015069	199	1	1	1	5	5	105	27
ENSBTAT00000017903	ENSBTAG00000013460	596	4	0	1	202	116	40	56
ENSBTAT00000130779	ENSBTAG00000013461	37	0	0	0	0	NA	NA	NA
ENSBTAT00000101506	ENSBTAG00000013464	77	0	0	0	0	NA	NA	NA
ENSBTAT00000150377	ENSBTAG00000013465	383	8	2	1	92	28	120	52
ENSBTAT00000014591	ENSBTAG00000010987	195	0	0	0	0	NA	NA	NA
ENSBTAT00000000097	ENSBTAG00000000088	676	1	0	1	19	19	314	302
ENSBTAT00000062945	ENSBTAG00000013057	144	0	0	0	0	NA	NA	NA
ENSBTAT00000009058	ENSBTAG00000006893	298	4	1	1	68	43	2	12
ENSBTAT00000131152	ENSBTAG00000003585	118	0	0	0	0	NA	NA	NA
ENSBTAT00000007606	ENSBTAG00000005787	106	0	0	0	0	NA	NA	NA
ENSBTAT00000129215	ENSBTAG00000006158	199	2	1	1	26	16	84	51
ENSBTAT00000132201	ENSBTAG00000013769	216	0	0	0	0	NA	NA	NA
ENSBTAT00000068946	ENSBTAG00000001209	48	0	0	0	0	NA	NA	NA
ENSBTAT00000006038	ENSBTAG00000004601	199	2	1	1	27	24	17	107
ENSBTAT00000011976	ENSBTAG00000009084	419	0	0	0	0	NA	NA	NA
ENSBTAT00000011977	ENSBTAG00000009085	30	0	0	0	0	NA	NA	NA
ENSBTAT00000118693	ENSBTAG00000005723	76	0	0	0	0	NA	NA	NA
ENSBTAT00000120788	ENSBTAG00000007784	199	0	0	0	0	NA	NA	NA
ENSBTAT00000055158	ENSBTAG00000002703	392	8	0	1	103	31	12	1
ENSBTAT00000065613	ENSBTAG00000004971	399	7	0	1	119	52	73	18
ENSBTAT00000047259	ENSBTAG00000001390	236	1	1	1	13	13	30	164
ENSBTAT00000071475	ENSBTAG00000000210	632	4	0	1	60	25	29	84
ENSBTAT00000083926	ENSBTAG00000000213	355	3	0	1	26	10	14	48
ENSBTAT00000011287	ENSBTAG00000008562	54	0	0	0	0	NA	NA	NA
ENSBTAT00000084422	ENSBTAG00000048057	430	2	0	1	56	49	209	71
ENSBTAT00000047119	ENSBTAG00000033170	199	0	0	0	0	NA	NA	NA
ENSBTAT00000029891	ENSBTAG00000022155	79	0	0	0	0	NA	NA	NA
ENSBTAT00000070754	ENSBTAG00000016848	239	1	0	1	13	13	195	2
ENSBTAT00000017379	ENSBTAG00000013069	186	1	1	1	6	6	87	78
ENSBTAT00000111961	ENSBTAG00000013070	74	0	0	0	0	NA	NA	NA
ENSBTAT00000113503	ENSBTAG00000054326	251	3	1	1	111	54	35	29
ENSBTAT00000080763	ENSBTAG00000011143	259	1	0	1	3	3	240	7
ENSBTAT00000029045	ENSBTAG00000021791	376	0	3	1	0	NA	92	NA
ENSBTAT00000013108	ENSBTAG00000009933	72	0	0	0	0	NA	NA	NA
ENSBTAT00000022152	ENSBTAG00000016656	48	0	0	0	0	NA	NA	NA
ENSBTAT00000095463	ENSBTAG00000005066	220	0	0	0	0	NA	NA	NA
ENSBTAT00000006685	ENSBTAG00000005071	99	0	0	0	0	NA	NA	NA
ENSBTAT00000106951	ENSBTAG00000018877	39	0	0	0	0	NA	NA	NA
ENSBTAT00000019691	ENSBTAG00000014797	171	1	1	1	15	15	90	33
ENSBTAT00000032276	ENSBTAG00000023607	199	3	1	1	69	32	32	15
ENSBTAT00000090379	ENSBTAG00000014567	251	0	2	1	0	NA	229	NA
ENSBTAT00000109092	ENSBTAG00000000566	147	0	0	0	0	NA	NA	NA
ENSBTAT00000125275	ENSBTAG00000013727	77	0	0	0	0	NA	NA	NA
ENSBTAT00000018278	ENSBTAG00000013755	45	0	0	0	0	NA	NA	NA
ENSBTAT00000146576	ENSBTAG00000021396	199	1	0	1	1	1	172	21
ENSBTAT00000018208	ENSBTAG00000000496	428	0	0	0	0	NA	NA	NA
ENSBTAT00000070820	ENSBTAG00000050482	202	4	0	1	49	20	7	2
ENSBTAT00000103845	ENSBTAG00000006471	161	2	0	1	17	9	12	93
ENSBTAT00000018888	ENSBTAG00000014208	34	0	0	0	0	NA	NA	NA
ENSBTAT00000023995	ENSBTAG00000018025	175	1	0	1	5	5	141	16
ENSBTAT00000046614	ENSBTAG00000014874	59	0	0	0	0	NA	NA	NA
ENSBTAT00000025116	ENSBTAG00000032839	199	1	0	1	2	2	159	31
ENSBTAT00000002461	ENSBTAG00000001890	180	1	0	1	12	12	39	102
ENSBTAT00000028482	ENSBTAG00000021364	297	0	0	0	0	NA	NA	NA
ENSBTAT00000118037	ENSBTAG00000032719	308	7	1	1	134	52	15	77
ENSBTAT00000022580	ENSBTAG00000016979	280	5	0	1	49	27	64	19
ENSBTAT00000009970	ENSBTAG00000007577	182	0	4	1	0	NA	31	NA
ENSBTAT00000017712	ENSBTAG00000013317	325	4	0	1	53	27	218	9
ENSBTAT00000050590	ENSBTAG00000006388	57	0	0	0	0	NA	NA	NA
