jobid	jobname	maxrss	maxvmsize	elapsed	state
5498314_0.batch	batch	6701408K	7860956K	00:15:26	COMPLETED
5498314_0.extern	extern	0	0	00:15:26	COMPLETED
5498314_1.batch	batch	6048404K	7763316K	00:13:27	COMPLETED
5498314_1.extern	extern	52K	52K	00:13:27	COMPLETED
5498314_2.batch	batch	6048344K	7912188K	00:13:28	COMPLETED
5498314_2.extern	extern	48K	48K	00:13:28	COMPLETED
5498314_3.batch	batch	6700720K	7860304K	00:15:26	COMPLETED
5498314_3.extern	extern	24K	24K	00:15:26	COMPLETED
5498314_4.batch	batch	6045688K	7908120K	00:13:29	COMPLETED
5498314_4.extern	extern	28K	28K	00:13:29	COMPLETED
5498314_5.batch	batch	6698972K	7858544K	00:15:26	COMPLETED
5498314_5.extern	extern	0	0	00:15:26	COMPLETED
5498314_6.batch	batch	6046368K	7910360K	00:13:28	COMPLETED
5498314_6.extern	extern	24K	24K	00:13:28	COMPLETED
5498314_7.batch	batch	6701228K	7864912K	00:15:22	COMPLETED
5498314_7.extern	extern	4K	4K	00:15:22	COMPLETED
5498314_8.batch	batch	6047476K	7911384K	00:13:29	COMPLETED
5498314_8.extern	extern	64K	64K	00:13:29	COMPLETED
5498314_9.batch	batch	6702968K	7862524K	00:15:25	COMPLETED
5498314_9.extern	extern	16K	16K	00:15:25	COMPLETED
