transcript_id	gene_id	utr5_length	n_uorfs	n_overlapping_uorfs	has_uorf	total_classical_uorf_codons	max_classical_uorf_codons	dist_cap_to_first_uatg	dist_last_uorf_stop_to_main_atg
ENSBTAT00000016954	ENSBTAG00000012756	15	0	0	0	0	NA	NA	NA
ENSBTAT00000000705	ENSBTAG00000000542	18	0	0	0	0	NA	NA	NA
ENSBTAT00000123609	ENSBTAG00000005614	63	0	0	0	0	NA	NA	NA
ENSBTAT00000021769	ENSBTAG00000016367	16	0	0	0	0	NA	NA	NA
ENSBTAT00000075590	ENSBTAG00000038748	55	0	0	0	0	NA	NA	NA
ENSBTAT00000006085	ENSBTAG00000004639	92	0	1	1	0	NA	85	NA
ENSBTAT00000071202	ENSBTAG00000004203	85	1	0	1	6	6	39	25
ENSBTAT00000014321	ENSBTAG00000010812	23	0	0	0	0	NA	NA	NA
ENSBTAT00000027892	ENSBTAG00000020942	38	0	0	0	0	NA	NA	NA
ENSBTAT00000120713	ENSBTAG00000012966	48	1	1	1	7	7	9	15
ENSBTAT00000025606	ENSBTAG00000019231	19	0	0	0	0	NA	NA	NA
ENSBTAT00000109481	ENSBTAG00000001160	73	1	0	1	1	1	64	3
ENSBTAT00000029279	ENSBTAG00000021960	24	0	0	0	0	NA	NA	NA
ENSBTAT00000107270	ENSBTAG00000000944	33	0	0	0	0	NA	NA	NA
ENSBTAT00000080945	ENSBTAG00000004834	77	0	0	0	0	NA	NA	NA
ENSBTAT00000080248	ENSBTAG00000053755	15	0	0	0	0	NA	NA	NA
ENSBTAT00000057413	ENSBTAG00000015829	57	0	0	0	0	NA	NA	NA
ENSBTAT00000012047	ENSBTAG00000009142	41	0	1	1	0	NA	9	NA
ENSBTAT00000023981	ENSBTAG00000018016	15	0	0	0	0	NA	NA	NA
ENSBTAT00000032984	ENSBTAG00000005708	84	0	0	0	0	NA	NA	NA
ENSBTAT00000083851	ENSBTAG00000002191	10	0	0	0	0	NA	NA	NA
ENSBTAT00000021222	ENSBTAG00000015961	16	0	0	0	0	NA	NA	NA
ENSBTAT00000102574	ENSBTAG00000006491	63	0	0	0	0	NA	NA	NA
ENSBTAT00000045218	ENSBTAG00000006911	63	0	0	0	0	NA	NA	NA
ENSBTAT00000000024	ENSBTAG00000000022	60	0	0	0	0	NA	NA	NA
ENSBTAT00000000851	ENSBTAG00000000647	19	0	0	0	0	NA	NA	NA
ENSBTAT00000124922	ENSBTAG00000011611	58	0	0	0	0	NA	NA	NA
ENSBTAT00000109376	ENSBTAG00000019939	16	0	0	0	0	NA	NA	NA
ENSBTAT00000075870	ENSBTAG00000011509	41	0	1	1	0	NA	33	NA
ENSBTAT00000078707	ENSBTAG00000013244	64	0	0	0	0	NA	NA	NA
