transcript_id	gene_id	strand	n_exons	n_5UTR_junctions	n_CDS_junctions	n_3UTR_junctions	stop_dist_closest_upstream	stop_dist_closest_downstream	stop_dist_last_downstream	start_dist_closest_upstream	start_dist_closest_downstream
ENSBTAT00000016954	ENSBTAG00000012756	-	12	0	11	0	221	NA	NA	NA	6
ENSBTAT00000000705	ENSBTAG00000000542	+	10	0	9	0	137	NA	NA	NA	115
ENSBTAT00000123609	ENSBTAG00000005614	+	14	0	13	0	274	NA	NA	NA	94
ENSBTAT00000021769	ENSBTAG00000016367	-	5	0	4	0	159	NA	NA	NA	113
ENSBTAT00000075590	ENSBTAG00000038748	+	5	0	4	0	128	NA	NA	NA	86
ENSBTAT00000006085	ENSBTAG00000004639	-	2	0	1	0	379	NA	NA	NA	670
ENSBTAT00000071202	ENSBTAG00000004203	+	14	0	13	0	154	NA	NA	NA	102
ENSBTAT00000014321	ENSBTAG00000010812	-	12	0	11	0	26	NA	NA	NA	134
ENSBTAT00000027892	ENSBTAG00000020942	-	6	0	5	0	569	NA	NA	NA	155
ENSBTAT00000120713	ENSBTAG00000012966	-	9	0	8	0	170	NA	NA	NA	217
ENSBTAT00000025606	ENSBTAG00000019231	+	5	0	4	0	78	NA	NA	NA	450
ENSBTAT00000109481	ENSBTAG00000001160	-	9	0	8	0	700	NA	NA	NA	128
ENSBTAT00000029279	ENSBTAG00000021960	-	3	0	2	0	163	NA	NA	NA	204
ENSBTAT00000107270	ENSBTAG00000000944	+	13	0	12	0	455	NA	NA	NA	135
ENSBTAT00000080945	ENSBTAG00000004834	+	19	0	18	0	151	NA	NA	NA	202
ENSBTAT00000080248	ENSBTAG00000053755	-	4	0	3	0	34	NA	NA	NA	16
ENSBTAT00000057413	ENSBTAG00000015829	-	4	1	2	0	427	NA	NA	35	829
ENSBTAT00000012047	ENSBTAG00000009142	+	10	0	9	0	37	NA	NA	NA	417
ENSBTAT00000023981	ENSBTAG00000018016	-	3	0	1	1	136	14	14	NA	112
ENSBTAT00000032984	ENSBTAG00000005708	+	33	0	32	0	77	NA	NA	NA	23
ENSBTAT00000083851	ENSBTAG00000002191	-	34	0	33	0	102	NA	NA	NA	271
ENSBTAT00000021222	ENSBTAG00000015961	+	9	0	7	1	98	21	21	NA	69
ENSBTAT00000102574	ENSBTAG00000006491	-	34	0	33	0	141	NA	NA	NA	82
ENSBTAT00000045218	ENSBTAG00000006911	-	28	0	27	0	107	NA	NA	NA	8
ENSBTAT00000000024	ENSBTAG00000000022	-	9	0	8	0	113	NA	NA	NA	156
ENSBTAT00000000851	ENSBTAG00000000647	+	9	0	8	0	173	NA	NA	NA	569
ENSBTAT00000124922	ENSBTAG00000011611	-	4	0	3	0	18	NA	NA	NA	211
ENSBTAT00000109376	ENSBTAG00000019939	-	13	0	12	0	102	NA	NA	NA	158
ENSBTAT00000075870	ENSBTAG00000011509	-	16	1	14	0	136	NA	NA	1	91
ENSBTAT00000078707	ENSBTAG00000013244	+	29	0	28	0	68	NA	NA	NA	240
