jobid	jobname	maxrss	maxvmsize	elapsed	state
5639612_0.batch	batch	6542.50M	7859192K	00:15:28	COMPLETED
5639612_0.extern	extern	0	0	00:15:28	COMPLETED
5639612_1.batch	batch	6701640K	7861252K	00:15:30	COMPLETED
5639612_1.extern	extern	0	0	00:15:30	COMPLETED
5639612_2.batch	batch	6697536K	7857080K	00:15:26	COMPLETED
5639612_2.extern	extern	0	0	00:15:26	COMPLETED
5639612_3.batch	batch	6699912K	7859560K	00:15:27	COMPLETED
5639612_3.extern	extern	0	0	00:15:27	COMPLETED
5639612_4.batch	batch	6699332K	7858924K	00:15:27	COMPLETED
5639612_4.extern	extern	4K	4K	00:15:27	COMPLETED
5639612_5.batch	batch	6703000K	7862588K	00:15:27	COMPLETED
5639612_5.extern	extern	0	0	00:15:27	COMPLETED
5639612_6.batch	batch	6702924K	7862460K	00:15:26	COMPLETED
5639612_6.extern	extern	0	0	00:15:26	COMPLETED
5639612_7.batch	batch	6702536K	7862196K	00:15:28	COMPLETED
5639612_7.extern	extern	0	0	00:15:28	COMPLETED
5639612_8.batch	batch	6702228K	7861804K	00:15:25	COMPLETED
5639612_8.extern	extern	0	0	00:15:25	COMPLETED
5639612_9.batch	batch	6704416K	7863964K	00:15:27	COMPLETED
5639612_9.extern	extern	64K	64K	00:15:27	COMPLETED
