jobid	jobname	maxrss	maxvmsize	elapsed	state
5679470_0.batch	batch	6702460K	7873496K	00:15:23	COMPLETED
5679470_0.extern	extern	4K	4K	00:15:23	COMPLETED
5679470_1.batch	batch	6381104K	7629048K	00:14:49	COMPLETED
5679470_1.extern	extern	64K	64K	00:14:49	COMPLETED
5679470_2.batch	batch	6385284K	7630536K	00:14:44	COMPLETED
5679470_2.extern	extern	0	0	00:14:44	COMPLETED
5679470_3.batch	batch	6702956K	7862600K	00:15:24	COMPLETED
5679470_3.extern	extern	0	0	00:15:24	COMPLETED
5679470_4.batch	batch	6379716K	7625120K	00:14:45	COMPLETED
5679470_4.extern	extern	0	0	00:14:45	COMPLETED
5679470_5.batch	batch	6704084K	7875308K	00:15:23	COMPLETED
5679470_5.extern	extern	0	0	00:15:23	COMPLETED
5679470_6.batch	batch	6381932K	7627372K	00:14:47	COMPLETED
5679470_6.extern	extern	0	0	00:14:47	COMPLETED
5679470_7.batch	batch	6701352K	7860888K	00:15:24	COMPLETED
5679470_7.extern	extern	4K	4K	00:15:24	COMPLETED
5679470_8.batch	batch	6387708K	7633020K	00:14:47	COMPLETED
5679470_8.extern	extern	0	0	00:14:47	COMPLETED
5679470_9.batch	batch	6704496K	7864200K	00:15:24	COMPLETED
5679470_9.extern	extern	4K	4K	00:15:25	COMPLETED
