transcript_id	gene_id	strand	model	cds_length	zone_length	n_transition_fragile_codons	n_transversion_fragile_codons	n_snv_fragile_codons	n_alt_stop_codons	transition_fragile_codon_density	transversion_fragile_codon_density	snv_fragile_codon_density	alt_stop_codon_density	transition_fraction_of_snv_fragile
ENST00000338591.8	ENSG00000187961	+	full	1929	1650	29	89	118	34	0.017575757575757574	0.05393939393939394	0.07151515151515152	0.020606060606060607	0.2457627118644068
ENST00000304952.11	ENSG00000188290	-	full	666	242	2	18	20	1	0.008264462809917356	0.0743801652892562	0.08264462809917356	0.004132231404958678	0.1
ENST00000649529.1	ENSG00000187608	+	full	498	0	0	0	0	0	NA	NA	NA	NA	NA
ENST00000379370.7	ENSG00000188157	+	full	6138	5930	107	392	499	82	0.018043844856661044	0.06610455311973018	0.08414839797639123	0.013827993254637436	0.21442885771543085
ENST00000379198.5	ENSG00000176022	+	full	990	0	0	0	0	0	NA	NA	NA	NA	NA
ENST00000349431.11	ENSG00000160087	-	full	780	445	8	32	40	13	0.017977528089887642	0.07191011235955057	0.0898876404494382	0.029213483146067417	0.2
ENST00000354700.10	ENSG00000131584	-	full	2505	2310	55	152	207	48	0.023809523809523808	0.0658008658008658	0.08961038961038961	0.02077922077922078	0.26570048309178745
ENST00000343938.9	ENSG00000224051	+	full	645	72	1	7	8	3	0.013888888888888888	0.09722222222222222	0.1111111111111111	0.041666666666666664	0.125
ENST00000378888.10	ENSG00000107404	-	full	2088	1664	24	82	106	26	0.014423076923076924	0.04927884615384615	0.06370192307692307	0.015625	0.22641509433962265
ENST00000309212.11	ENSG00000162576	-	full	1329	1253	22	70	92	10	0.017557861133280128	0.055865921787709494	0.07342378292098962	0.007980845969672785	0.2391304347826087
ENST00000400809.8	ENSG00000221978	-	full	1563	1161	21	92	113	22	0.01808785529715762	0.07924203273040482	0.09732988802756244	0.018949181739879414	0.18584070796460178
ENST00000476993.2	ENSG00000179403	+	full	1338	581	10	24	34	6	0.01721170395869191	0.04130808950086059	0.058519793459552494	0.010327022375215147	0.29411764705882354
ENST00000378756.8	ENSG00000197785	+	full	1761	1564	41	111	152	32	0.026214833759590793	0.07097186700767263	0.09718670076726342	0.020460358056265986	0.26973684210526316
ENST00000341832.11	ENSG00000248333	-	full	2349	2206	38	256	294	64	0.017225747960108794	0.11604714415231188	0.13327289211242066	0.02901178603807797	0.1292517006802721
ENST00000617444.5	ENSG00000189339	-	full	1218	930	10	57	67	17	0.010752688172043012	0.06129032258064516	0.07204301075268817	0.01827956989247312	0.14925373134328357
ENST00000341426.9	ENSG00000008130	-	full	1341	1134	19	72	91	31	0.01675485008818342	0.06349206349206349	0.08024691358024691	0.027336860670194002	0.2087912087912088
ENST00000378609.9	ENSG00000078369	-	full	1023	982	21	52	73	23	0.021384928716904276	0.05295315682281059	0.07433808553971487	0.023421588594704685	0.2876712328767123
ENST00000378567.8	ENSG00000067606	+	full	1779	1641	29	124	153	36	0.017672151127361365	0.07556368068251067	0.09323583180987204	0.021937842778793418	0.1895424836601307
ENST00000378536.5	ENSG00000157933	+	full	2187	1948	30	159	189	20	0.015400410677618069	0.08162217659137577	0.09702258726899383	0.01026694045174538	0.15873015873015872
ENST00000378531.8	ENSG00000116151	-	full	1494	1247	28	94	122	10	0.022453889334402566	0.07538091419406576	0.09783480352846832	0.00801924619085806	0.22950819672131148
ENST00000605895.6	ENSG00000157916	+	full	591	451	12	30	42	11	0.026607538802660754	0.06651884700665188	0.09312638580931264	0.024390243902439025	0.2857142857142857
ENST00000447513.7	ENSG00000157911	-	full	981	862	20	48	68	8	0.02320185614849188	0.05568445475638051	0.07888631090487239	0.009280742459396751	0.29411764705882354
ENST00000378378.9	ENSG00000130762	+	full	2130	1940	52	122	174	41	0.026804123711340205	0.06288659793814433	0.08969072164948454	0.021134020618556702	0.2988505747126437
ENST00000270708.12	ENSG00000116213	-	full	1383	1190	33	87	120	26	0.02773109243697479	0.073109243697479	0.10084033613445378	0.021848739495798318	0.275
ENST00000378230.8	ENSG00000116198	-	full	2778	2612	51	270	321	100	0.019525267993874426	0.10336906584992343	0.12289433384379786	0.03828483920367534	0.1588785046728972
ENST00000378083.8	ENSG00000069424	+	full	1248	1108	27	80	107	28	0.024368231046931407	0.07220216606498195	0.09657039711191336	0.02527075812274368	0.2523364485981308
ENST00000343813.10	ENSG00000116237	-	full	855	622	12	34	46	16	0.01929260450160772	0.05466237942122187	0.07395498392282958	0.02572347266881029	0.2608695652173913
ENST00000361521.9	ENSG00000097021	-	full	1113	964	12	60	72	17	0.012448132780082987	0.06224066390041494	0.07468879668049792	0.017634854771784232	0.16666666666666666
ENST00000377728.8	ENSG00000171680	-	full	3021	2961	51	205	256	53	0.017223910840932118	0.06923336710570753	0.08645727794663965	0.01789935832489024	0.19921875
ENST00000377674.9	ENSG00000204859	+	full	2067	1720	39	149	188	40	0.022674418604651164	0.08662790697674419	0.10930232558139535	0.023255813953488372	0.2074468085106383
ENST00000377658.8	ENSG00000162413	-	full	1794	1450	29	77	106	22	0.02	0.05310344827586207	0.07310344827586207	0.015172413793103448	0.27358490566037735
ENST00000377648.5	ENSG00000116273	+	full	903	626	10	55	65	14	0.01597444089456869	0.0878594249201278	0.10383386581469649	0.022364217252396165	0.15384615384615385
ENST00000054650.9	ENSG00000041988	+	full	720	388	8	30	38	6	0.020618556701030927	0.07731958762886598	0.0979381443298969	0.015463917525773196	0.21052631578947367
