transcript_id	gene_id	strand	n_exons	n_5UTR_junctions	n_CDS_junctions	n_3UTR_junctions	stop_dist_closest_upstream	stop_dist_closest_downstream	stop_dist_last_downstream	start_dist_closest_upstream	start_dist_closest_downstream
ENST00000338591.8	ENSG00000187961	+	12	0	11	0	228	NA	NA	NA	107
ENST00000304952.11	ENSG00000188290	-	4	0	3	0	373	NA	NA	NA	108
ENST00000649529.1	ENSG00000187608	+	2	0	1	0	494	NA	NA	NA	3
ENST00000379370.7	ENSG00000188157	+	36	0	35	0	157	NA	NA	NA	201
ENST00000379198.5	ENSG00000176022	+	1	0	0	0	NA	NA	NA	NA	NA
ENST00000349431.11	ENSG00000160087	-	7	0	5	0	284	NA	NA	0	131
ENST00000354700.10	ENSG00000131584	-	24	0	23	0	144	NA	NA	NA	47
ENST00000343938.9	ENSG00000224051	+	3	1	1	0	522	NA	NA	75	122
ENST00000378888.10	ENSG00000107404	-	15	0	14	0	373	NA	NA	NA	170
ENST00000309212.11	ENSG00000162576	-	10	0	9	0	25	NA	NA	NA	49
ENST00000400809.8	ENSG00000221978	-	11	0	10	0	351	NA	NA	NA	288
ENST00000476993.2	ENSG00000179403	+	3	0	2	0	706	NA	NA	NA	73
ENST00000378756.8	ENSG00000197785	+	16	0	15	0	146	NA	NA	NA	205
ENST00000341832.11	ENSG00000248333	-	20	1	18	0	92	NA	NA	13	111
ENST00000617444.5	ENSG00000189339	-	10	2	7	0	237	NA	NA	147	322
ENST00000341426.9	ENSG00000008130	-	12	1	10	0	156	NA	NA	40	179
ENST00000378609.9	ENSG00000078369	-	12	2	8	1	106	10	10	46	57
ENST00000378567.8	ENSG00000067606	+	18	0	17	0	87	NA	NA	NA	71
ENST00000378536.5	ENSG00000157933	+	7	0	6	0	188	NA	NA	NA	969
ENST00000378531.8	ENSG00000116151	-	14	0	13	0	196	NA	NA	NA	76
ENST00000605895.6	ENSG00000157916	+	7	1	5	0	89	NA	NA	7	81
ENST00000447513.7	ENSG00000157911	-	6	0	5	0	68	NA	NA	NA	112
ENST00000378378.9	ENSG00000130762	+	15	1	13	0	139	NA	NA	19	588
ENST00000270708.12	ENSG00000116213	-	12	0	11	0	142	NA	NA	NA	69
ENST00000378230.8	ENSG00000116198	-	22	1	20	0	115	NA	NA	14	113
ENST00000378083.8	ENSG00000069424	+	16	1	14	0	89	NA	NA	26	218
ENST00000343813.10	ENSG00000116237	-	5	0	4	0	182	NA	NA	NA	195
ENST00000361521.9	ENSG00000097021	-	9	0	8	0	98	NA	NA	NA	143
ENST00000377728.8	ENSG00000171680	-	21	1	19	0	9	NA	NA	87	43
ENST00000377674.9	ENSG00000204859	+	11	1	9	0	296	NA	NA	69	690
ENST00000377658.8	ENSG00000162413	-	4	0	3	0	293	NA	NA	NA	1021
ENST00000377648.5	ENSG00000116273	+	4	0	3	0	226	NA	NA	NA	39
ENST00000054650.9	ENSG00000041988	+	6	1	4	0	281	NA	NA	69	74
ENST00000303635.12	ENSG00000171735	+	23	0	22	0	32	NA	NA	NA	45
ENST00000054666.11	ENSG00000049245	+	5	0	4	0	19	NA	NA	NA	2
ENST00000377482.10	ENSG00000116285	-	4	1	2	0	1186	NA	NA	73	125
ENST00000400908.7	ENSG00000142599	-	23	1	21	0	33	NA	NA	144	325
ENST00000234590.10	ENSG00000074800	-	12	1	10	0	69	NA	NA	9	85
ENST00000377403.7	ENSG00000049239	+	5	1	3	0	1360	NA	NA	10	627
ENST00000328089.11	ENSG00000171621	+	3	1	1	0	127	NA	NA	149	694
ENST00000302692.7	ENSG00000171612	+	7	0	6	0	202	NA	NA	NA	56
ENST00000340381.11	ENSG00000188807	+	11	0	10	0	97	NA	NA	NA	113
ENST00000377346.9	ENSG00000171608	+	24	2	21	0	137	NA	NA	32	141
ENST00000377298.9	ENSG00000171603	-	19	0	18	0	197	NA	NA	NA	91
ENST00000377263.6	ENSG00000178585	-	6	3	2	0	58	NA	NA	24	96
ENST00000377223.6	ENSG00000162441	-	8	2	5	0	58	NA	NA	8	101
ENST00000377205.6	ENSG00000173614	+	5	1	3	0	400	NA	NA	56	115
ENST00000343090.11	ENSG00000130939	+	28	0	27	0	61	NA	NA	NA	24
ENST00000676179.1	ENSG00000054523	+	49	1	47	0	42	NA	NA	79	106
ENST00000377038.8	ENSG00000160049	-	6	0	5	0	212	NA	NA	NA	136
ENST00000377022.8	ENSG00000130940	-	21	3	17	0	1117	NA	NA	23	16
ENST00000240185.8	ENSG00000120948	+	6	1	4	0	530	NA	NA	12	238
ENST00000376957.7	ENSG00000116649	-	8	0	7	0	20	NA	NA	NA	167
ENST00000361445.9	ENSG00000198793	-	58	1	56	0	15	NA	NA	14	162
ENST00000376810.6	ENSG00000120942	+	2	0	1	0	487	NA	NA	NA	529
ENST00000354287.5	ENSG00000116661	-	6	0	5	0	134	NA	NA	NA	22
ENST00000251547.10	ENSG00000132879	+	6	1	4	0	143	NA	NA	30	265
ENST00000376753.9	ENSG00000116663	+	6	1	4	0	236	NA	NA	3	286
ENST00000376692.9	ENSG00000116670	-	9	1	7	0	41	NA	NA	12	40
