transcript_id	gene_id	utr5_length	n_uorfs	n_overlapping_uorfs	has_uorf	total_classical_uorf_codons	max_classical_uorf_codons	dist_cap_to_first_uatg	dist_last_uorf_stop_to_main_atg
ENST00000338591.8	ENSG00000187961	110	0	0	0	0	NA	NA	NA
ENST00000304952.11	ENSG00000188290	124	0	0	0	0	NA	NA	NA
ENST00000649529.1	ENSG00000187608	77	0	0	0	0	NA	NA	NA
ENST00000379370.7	ENSG00000188157	53	0	0	0	0	NA	NA	NA
ENST00000379198.5	ENSG00000176022	42	0	0	0	0	NA	NA	NA
ENST00000349431.11	ENSG00000160087	189	0	0	0	0	NA	NA	NA
ENST00000354700.10	ENSG00000131584	115	0	0	0	0	NA	NA	NA
ENST00000343938.9	ENSG00000224051	376	1	0	1	6	6	304	51
ENST00000378888.10	ENSG00000107404	353	1	0	1	52	52	132	62
ENST00000309212.11	ENSG00000162576	51	0	0	0	0	NA	NA	NA
ENST00000400809.8	ENSG00000221978	29	0	0	0	0	NA	NA	NA
ENST00000476993.2	ENSG00000179403	59	0	0	0	0	NA	NA	NA
ENST00000378756.8	ENSG00000197785	107	0	0	0	0	NA	NA	NA
ENST00000341832.11	ENSG00000248333	104	0	0	0	0	NA	NA	NA
ENST00000617444.5	ENSG00000189339	912	8	1	1	314	95	120	251
ENST00000341426.9	ENSG00000008130	222	2	0	1	13	12	58	71
ENST00000378609.9	ENSG00000078369	363	2	0	1	15	10	23	52
ENST00000378567.8	ENSG00000067606	220	1	0	1	9	9	169	21
ENST00000378536.5	ENSG00000157933	448	2	0	1	36	32	132	134
ENST00000378531.8	ENSG00000116151	21	0	0	0	0	NA	NA	NA
ENST00000605895.6	ENSG00000157916	125	0	0	0	0	NA	NA	NA
ENST00000447513.7	ENSG00000157911	62	0	0	0	0	NA	NA	NA
ENST00000378378.9	ENSG00000130762	166	0	0	0	0	NA	NA	NA
ENST00000270708.12	ENSG00000116213	104	0	0	0	0	NA	NA	NA
ENST00000378230.8	ENSG00000116198	337	2	0	1	123	66	19	117
ENST00000378083.8	ENSG00000069424	322	3	0	1	39	20	91	75
ENST00000343813.10	ENSG00000116237	53	0	0	0	0	NA	NA	NA
ENST00000361521.9	ENSG00000097021	368	0	0	0	0	NA	NA	NA
ENST00000377728.8	ENSG00000171680	118	2	1	1	50	29	9	19
ENST00000377674.9	ENSG00000204859	212	0	0	0	0	NA	NA	NA
ENST00000377658.8	ENSG00000162413	52	0	0	0	0	NA	NA	NA
ENST00000377648.5	ENSG00000116273	336	0	0	0	0	NA	NA	NA
ENST00000054650.9	ENSG00000041988	156	1	1	1	11	11	26	94
ENST00000303635.12	ENSG00000171735	77	0	0	0	0	NA	NA	NA
