transcript_id	codon_AAA	codon_AAC	codon_AAG	codon_AAT	codon_ACA	codon_ACC	codon_ACG	codon_ACT	codon_AGA	codon_AGC	codon_AGG	codon_AGT	codon_ATA	codon_ATC	codon_ATG	codon_ATT	codon_CAA	codon_CAC	codon_CAG	codon_CAT	codon_CCA	codon_CCC	codon_CCG	codon_CCT	codon_CGA	codon_CGC	codon_CGG	codon_CGT	codon_CTA	codon_CTC	codon_CTG	codon_CTT	codon_GAA	codon_GAC	codon_GAG	codon_GAT	codon_GCA	codon_GCC	codon_GCG	codon_GCT	codon_GGA	codon_GGC	codon_GGG	codon_GGT	codon_GTA	codon_GTC	codon_GTG	codon_GTT	codon_TAA	codon_TAC	codon_TAG	codon_TAT	codon_TCA	codon_TCC	codon_TCG	codon_TCT	codon_TGA	codon_TGC	codon_TGG	codon_TGT	codon_TTA	codon_TTC	codon_TTG	codon_TTT	codon_other	aa_A	aa_C	aa_D	aa_E	aa_F	aa_G	aa_H	aa_I	aa_K	aa_L	aa_M	aa_N	aa_P	aa_Q	aa_R	aa_S	aa_T	aa_V	aa_W	aa_Y	cds_length_codons	n_codons_scored	n_stops	aa_total
ENST00000338591.8	3	14	12	5	3	12	12	3	1	29	9	5	0	8	15	1	0	21	19	3	5	17	14	6	5	20	13	2	2	14	44	2	3	26	30	5	4	40	8	12	7	23	11	6	1	8	50	1	0	14	0	6	4	20	3	1	1	12	8	2	0	8	4	6	0	64	14	31	33	14	47	24	9	15	66	15	19	42	19	50	62	30	60	8	20	643	643	1	642
ENST00000304952.11	3	2	7	0	0	4	2	0	2	8	2	0	0	2	4	1	0	5	4	0	3	9	15	1	1	13	5	2	0	7	22	0	0	6	11	0	4	18	11	2	2	9	3	2	0	3	5	1	0	2	0	0	0	6	4	0	1	2	2	1	0	3	0	0	0	35	3	6	11	3	16	5	3	10	29	4	2	28	4	25	18	6	9	2	2	222	222	1	221
ENST00000649529.1	1	2	7	2	1	5	3	0	0	11	2	0	0	3	4	0	1	3	11	0	0	4	2	2	0	2	3	1	0	2	21	1	2	7	7	0	0	3	3	1	1	11	4	2	1	3	12	0	1	2	0	0	1	2	1	0	0	1	2	0	0	5	0	0	0	7	1	7	9	5	18	3	3	8	24	4	4	8	12	8	15	9	16	2	2	166	166	1	165
ENST00000379370.7	5	36	39	7	16	66	25	11	2	51	20	13	0	21	13	5	3	35	82	5	19	92	46	25	10	46	54	16	3	38	116	4	13	78	104	20	28	102	35	28	24	116	71	18	4	39	97	5	0	26	0	3	15	38	14	15	1	93	14	50	1	36	13	21	0	193	143	98	117	57	229	40	26	44	175	13	43	182	85	148	146	118	145	14	29	2046	2046	1	2045
ENST00000379198.5	0	2	7	0	0	1	6	0	1	8	2	0	0	2	4	0	1	7	7	0	0	11	6	1	0	30	12	0	1	7	37	1	2	18	18	0	1	24	25	0	0	17	6	0	0	2	15	0	0	13	0	0	0	4	4	1	1	7	10	0	0	7	0	1	0	50	7	18	20	8	23	7	2	7	46	4	2	18	8	45	17	7	17	10	13	330	330	1	329
ENST00000349431.11	9	8	6	2	0	7	7	3	3	6	5	5	2	6	4	5	3	5	10	2	4	7	5	6	1	1	1	0	1	10	10	2	5	7	9	2	6	6	3	2	2	5	8	2	0	8	7	2	0	4	0	5	0	1	2	2	1	1	3	3	2	4	3	9	0	17	4	9	14	13	17	7	13	15	28	4	10	22	13	11	16	17	17	3	9	260	260	1	259
ENST00000354700.10	5	12	38	2	5	12	7	4	2	32	14	8	0	18	13	4	4	17	43	0	2	16	9	5	2	21	18	6	3	16	61	5	7	48	60	7	11	43	20	11	2	29	9	6	0	13	46	3	0	10	1	3	2	23	7	5	0	15	9	8	0	24	3	6	0	85	23	55	67	30	46	17	22	43	88	13	14	32	47	63	77	28	62	9	13	835	835	1	834
ENST00000343938.9	1	5	6	1	2	4	2	0	0	6	2	1	0	4	5	1	0	8	8	0	0	7	3	0	0	10	3	2	1	5	24	0	1	7	15	2	1	14	1	0	0	7	1	1	0	11	8	0	0	6	1	0	1	7	2	1	0	3	3	1	0	8	1	1	0	16	4	9	16	9	9	8	5	7	31	5	6	10	8	17	18	8	19	3	6	215	215	1	214
ENST00000378888.10	3	14	19	7	7	16	17	3	2	41	3	12	1	19	15	2	0	16	21	1	10	27	15	5	4	14	27	7	1	13	25	4	5	33	32	8	2	32	9	11	7	26	23	4	0	17	26	1	0	14	0	2	2	25	6	0	1	7	7	0	0	16	3	6	0	54	7	41	37	22	60	17	22	22	46	15	21	57	21	57	86	43	44	7	16	696	696	1	695
ENST00000309212.11	4	9	8	1	1	7	3	1	0	9	3	1	0	9	3	0	1	20	12	2	3	14	7	1	2	26	8	1	3	8	36	6	3	24	25	3	2	18	19	7	2	22	9	2	1	11	20	2	0	16	1	0	3	7	8	2	0	6	7	1	0	9	2	2	0	46	7	27	28	11	35	22	9	12	55	3	10	25	13	40	30	12	34	7	16	443	443	1	442
