transcript_id	gene_id	strand	n_exons	n_internal_exons	first_exon_length	last_exon_length	internal_exon_mean	internal_exon_median	internal_exon_sd	intron_mean	intron_median	intron_sd
ENST00000338591.8	ENSG00000187961	+	12	10	217	757	159.3	156.5	60.789344826576674	233.54545454545453	191	155.4370378232702
ENST00000304952.11	ENSG00000188290	-	4	2	232	469	92.0	92.0	5.656854249492381	83.0	78	8.660254037844387
ENST00000649529.1	ENSG00000187608	+	2	0	80	557	NA	NA	NA	407.0	407	NA
ENST00000379370.7	ENSG00000188157	+	36	34	254	1293	169.97058823529412	157.0	68.62258895433055	819.1714285714286	131	2296.348181297405
ENST00000379198.5	ENSG00000176022	+	1	0	2805	2805	NA	NA	NA	NA	NA	NA
ENST00000349431.11	ENSG00000160087	-	7	5	189	1576	99.0	103	39.774363602702685	2947.1666666666665	2670.5	2741.5749062658615
ENST00000354700.10	ENSG00000131584	-	24	22	162	1318	105.13636363636364	100.0	56.18616628125896	510.7391304347826	186	771.4849446119126
ENST00000343938.9	ENSG00000224051	+	3	1	301	1656	197.0	197	NA	970.5	970.5	1078.337841309485
ENST00000378888.10	ENSG00000107404	-	15	13	523	1238	118.76923076923077	122	43.143469660644755	774.0	205.0	1603.2320720728728
ENST00000309212.11	ENSG00000162576	-	10	8	100	939	156.75	91.5	154.2222422350291	396.8888888888889	121	574.2321926808972
ENST00000400809.8	ENSG00000221978	-	11	9	317	1872	102.55555555555556	105	23.22235512986953	1051.3	300.5	1127.1144130034004
ENST00000476993.2	ENSG00000179403	+	3	1	132	3802	558.0	558	NA	1350.5	1350.5	347.18942956259485
ENST00000378756.8	ENSG00000197785	+	16	14	312	760	100.64285714285714	89.5	41.52776113703874	1336.2	1150	1237.991414694441
ENST00000341832.11	ENSG00000248333	-	20	18	91	632	126.05555555555556	122.5	29.885019308760157	1094.1052631578948	548	1237.337234850927
ENST00000617444.5	ENSG00000189339	-	10	8	347	4542	193.125	132.0	158.2894613403829	2764.8888888888887	1191	4410.215030030975
ENST00000341426.9	ENSG00000008130	-	12	10	182	1829	122.4	104.5	43.739633692516854	2182.181818181818	572	3822.691847852291
ENST00000378609.9	ENSG00000078369	-	12	10	268	1768	112.7	105.0	62.77835791275702	9330.818181818182	2648	14743.240809389106
ENST00000378567.8	ENSG00000067606	+	18	16	291	474	101.25	90.0	34.061708706405206	7800.0	2450	17882.610124783238
ENST00000378536.5	ENSG00000157933	+	7	5	1417	3637	205.8	231	80.53384381736662	12635.333333333334	382.5	29694.79714473003
ENST00000378531.8	ENSG00000116151	-	14	12	97	327	101.75	98.0	31.121828060353103	5281.307692307692	1587	6644.528355278692
ENST00000605895.6	ENSG00000157916	+	7	5	118	2402	101.6	100	21.755459085020476	1761.3333333333333	1306.5	1120.115648791082
ENST00000447513.7	ENSG00000157911	-	6	4	174	1861	200.0	156.0	143.38991131410418	1151.2	1512	753.6402988163518
ENST00000378378.9	ENSG00000130762	+	15	13	147	666	154.53846153846155	130	143.60107670476998	1687.642857142857	1079.5	2103.523037746359
