jobid	jobname	maxrss	maxvmsize	elapsed	state
5670977_0.batch	batch	6699432K	7858992K	00:15:26	COMPLETED
5670977_0.extern	extern	104K	104K	00:15:26	COMPLETED
5670977_1.batch	batch	7410484K	8627692K	00:15:04	COMPLETED
5670977_1.extern	extern	0	0	00:15:04	COMPLETED
5670977_2.batch	batch	7421528K	8626132K	00:15:02	COMPLETED
5670977_2.extern	extern	0	0	00:15:02	COMPLETED
5670977_3.batch	batch	6703248K	7873084K	00:15:23	COMPLETED
5670977_3.extern	extern	8K	8K	00:15:23	COMPLETED
5670977_4.batch	batch	7444.50M	8861560K	00:17:21	COMPLETED
5670977_4.extern	extern	0	0	00:17:21	COMPLETED
5670977_5.batch	batch	6701864K	7861600K	00:15:25	COMPLETED
5670977_5.extern	extern	48K	48K	00:15:25	COMPLETED
5670977_6.batch	batch	6698300K	7857924K	00:15:27	COMPLETED
5670977_6.extern	extern	96K	96K	00:15:27	COMPLETED
5670977_7.batch	batch	7756984K	8983232K	00:16:24	COMPLETED
5670977_7.extern	extern	0	0	00:16:24	COMPLETED
5670977_8.batch	batch	6699792K	7870888K	00:15:23	COMPLETED
5670977_8.extern	extern	96K	96K	00:15:23	COMPLETED
5670977_9.batch	batch	6515540K	7765416K	00:14:43	COMPLETED
5670977_9.extern	extern	0	0	00:14:43	COMPLETED
